Feature,Type,Importance,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,0.9583825650427448,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.09005089657340269
person3_color=black,Main Effect,0.4796823726417714,Negative (Promotes 0),NEG,person3_color=black,-,0.045071591765572225
person3_color=white,Main Effect,0.4390325917183374,Positive (Promotes 1),POS,person3_color=white,-,0.04125208445065737
quantity_level=1vs5,Main Effect,0.33560622334876844,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.031534005741039664
person3_gender=female,Main Effect,0.3193142357005565,Negative (Promotes 0),NEG,person3_gender=female,-,0.03000318897934403
person3_gender=male,Main Effect,0.3007987755156221,Positive (Promotes 1),POS,person3_gender=male,-,0.02826345178989702
quantity_level=1vs10,Main Effect,0.29032419448753277,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.027279246267785783
person1_color=black,Main Effect,0.2463226525763349,Positive (Promotes 1),POS,person1_color=black,-,0.023144803046211946
person1_color=white,Main Effect,0.23350665724514216,Negative (Promotes 0),NEG,person1_color=white,-,0.021940595131595953
person2_color=black & person3_color=white,Interaction,0.2156185088840969,Interference (-),NEG,person2_color=black,person3_color=white,0.020259800992902158
person2_color=black & person3_color=black,Interaction,0.1824570976852885,Interference (-),NEG,person2_color=black,person3_color=black,0.017143910826474953
person2_color=white & person3_color=white,Interaction,0.16940224290921813,Interference (-),NEG,person2_color=white,person3_color=white,0.015917259361703916
person2_color=white & person3_color=black,Interaction,0.1587742388606126,Interference (-),NEG,person2_color=white,person3_color=black,0.014918638009154587
person2_gender=male,Main Effect,0.12396475669049177,Negative (Promotes 0),NEG,person2_gender=male,-,0.011647892909012402
person1_gender=male,Main Effect,0.11579128445390131,Positive (Promotes 1),POS,person1_gender=male,-,0.010879902620092696
person2_gender=female,Main Effect,0.11029140560653677,Positive (Promotes 1),POS,person2_gender=female,-,0.010363126711060816
person1_color=white & person2_color=white,Interaction,0.10689117796231845,Synergy (+),POS,person1_color=white,person2_color=white,0.01004363681309729
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.10566024731443867,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.009927976937276917
person1_color=black & person2_color=black,Interaction,0.10519307033651751,Synergy (+),POS,person1_color=black,person2_color=black,0.009884080368980752
person1_gender=female,Main Effect,0.09315359675228908,Negative (Promotes 0),NEG,person1_gender=female,-,0.008752835467334182
person1_color=white & person2_color=black,Interaction,0.07942729828623,Synergy (+),POS,person1_color=white,person2_color=black,0.007463094263154813
person1_color=black & person2_color=white,Interaction,0.0775801987217924,Synergy (+),POS,person1_color=black,person2_color=white,0.00728953833892895
person2_color=white,Main Effect,0.06879419796420173,Negative (Promotes 0),NEG,person2_color=white,-,0.006463994057997307
quantity_level=1vs10 & quantity_level=1vs5,Interaction,0.06530330348720913,Synergy (+),POS,quantity_level=1vs10,quantity_level=1vs5,0.006135984984207131
person1_profession=low,Main Effect,0.06202332962521833,Negative (Promotes 0),NEG,person1_profession=low,-,0.005827794291071532
person1_profession=high,Main Effect,0.060714770349720004,Positive (Promotes 1),POS,person1_profession=high,-,0.005704840326468878
person2_profession=high,Main Effect,0.05365335781414905,Negative (Promotes 0),NEG,person2_profession=high,-,0.0050413406415862885
