Feature,Type,Importance,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person3_color=black,Main Effect,1.1554442157484224,Negative (Promotes 0),NEG,person3_color=black,-,0.07354003768939592
quantity_level=1vs1,Main Effect,1.0280689778384455,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.06543304328073205
person2_color=black & person3_color=black,Interaction,0.8214274356049376,Interference (-),NEG,person2_color=black,person3_color=black,0.05228102209535288
person3_gender=female,Main Effect,0.7051325441464127,Negative (Promotes 0),NEG,person3_gender=female,-,0.0448792535076721
person1_color=black,Main Effect,0.561510790023459,Positive (Promotes 1),POS,person1_color=black,-,0.035738224397601374
quantity_level=1vs5,Main Effect,0.49354285707447276,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.031412299975970025
person1_color=black & person2_color=black,Interaction,0.4566560699549763,Synergy (+),POS,person1_color=black,person2_color=black,0.029064583246736664
quantity_level=1vs10,Main Effect,0.44411905026262055,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.028266645199947146
person1_gender=female,Main Effect,0.2670828524020362,Negative (Promotes 0),NEG,person1_gender=female,-,0.016998902036230935
person2_gender=female,Main Effect,0.23521091001590222,Positive (Promotes 1),POS,person2_gender=female,-,0.014970362871497354
quantity_level=1vs10 & person3_color=black,Interaction,0.20100225183089568,Interference (-),NEG,quantity_level=1vs10,person3_color=black,0.012793099808563996
quantity_level=1vs5 & person3_color=black,Interaction,0.19300113835302132,Synergy (+),POS,quantity_level=1vs5,person3_color=black,0.012283856542034781
person1_color=black & person3_color=black,Interaction,0.18979061324792257,Interference (-),NEG,person1_color=black,person3_color=black,0.012079517696408398
quantity_level=1vs5 & person1_color=black,Interaction,0.17079114116726227,Synergy (+),POS,quantity_level=1vs5,person1_color=black,0.01087026685258003
person3_color=black & person3_gender=female,Interaction,0.15793811041657108,Synergy (+),POS,person3_color=black,person3_gender=female,0.010052215792264197
quantity_level=1vs5 & person2_color=black,Interaction,0.15763311409756758,Synergy (+),POS,quantity_level=1vs5,person2_color=black,0.010032803828892071
person1_color=black & person1_gender=female,Interaction,0.15630999411854252,Interference (-),NEG,person1_color=black,person1_gender=female,0.009948591807403807
person2_color=black,Main Effect,0.155241027126302,Positive (Promotes 1),POS,person2_color=black,-,0.009880555746617291
quantity_level=1vs2,Main Effect,0.15474741548200216,Negative (Promotes 0),NEG,quantity_level=1vs2,-,0.009849139068571764
person2_profession=high,Main Effect,0.14432371004194014,Negative (Promotes 0),NEG,person2_profession=high,-,0.009185706182347313
person1_color=black & person1_profession=high,Interaction,0.14356045576067838,Interference (-),NEG,person1_color=black,person1_profession=high,0.009137127680810373
quantity_level=1vs10 & person3_gender=female,Interaction,0.13380274891667235,Synergy (+),POS,quantity_level=1vs10,person3_gender=female,0.008516083307321969
quantity_level=1vs10 & person1_profession=high,Interaction,0.13299342117548374,Synergy (+),POS,quantity_level=1vs10,person1_profession=high,0.008464572389028495
quantity_level=1vs10 & person2_color=black,Interaction,0.13229347490904766,Interference (-),NEG,quantity_level=1vs10,person2_color=black,0.00842002322420281
person1_gender=female & person2_gender=female,Interaction,0.13109385810126553,Synergy (+),POS,person1_gender=female,person2_gender=female,0.008343671753439691
person1_profession=high,Main Effect,0.12782842462861857,Positive (Promotes 1),POS,person1_profession=high,-,0.008135838179669862
person3_profession=high,Main Effect,0.12004083705074477,Negative (Promotes 0),NEG,person3_profession=high,-,0.0076401850999447156
person1_gender=female & person3_profession=high,Interaction,0.11620929326628608,Interference (-),NEG,person1_gender=female,person3_profession=high,0.007396320558085247
person1_color=black & person2_profession=high,Interaction,0.11421146281267576,Synergy (+),POS,person1_color=black,person2_profession=high,0.0072691655428512485
person1_profession=high & person2_profession=high,Interaction,0.11386202432610207,Interference (-),NEG,person1_profession=high,person2_profession=high,0.007246924988852621
person1_profession=high & person1_gender=female,Interaction,0.11327375369263344,Interference (-),NEG,person1_profession=high,person1_gender=female,0.007209483592749542
person1_profession=high & person2_color=black,Interaction,0.11315955304900557,Synergy (+),POS,person1_profession=high,person2_color=black,0.007202215115810475
person1_gender=female & person3_color=black,Interaction,0.11028789953459024,Synergy (+),POS,person1_gender=female,person3_color=black,0.0070194442777183905
person3_profession=high & person3_gender=female,Interaction,0.11010775121685021,Interference (-),NEG,person3_profession=high,person3_gender=female,0.007007978458862132
quantity_level=1vs10 & person1_gender=female,Interaction,0.1072971728067577,Synergy (+),POS,quantity_level=1vs10,person1_gender=female,0.006829094840432033
person2_gender=female & person3_gender=female,Interaction,0.10586160358672611,Interference (-),NEG,person2_gender=female,person3_gender=female,0.006737725812738665
person2_profession=high & person3_profession=high,Interaction,0.10475550471402544,Synergy (+),POS,person2_profession=high,person3_profession=high,0.006667326435877431
person2_profession=high & person2_gender=female,Interaction,0.10409748892192695,Synergy (+),POS,person2_profession=high,person2_gender=female,0.006625446001070117
person1_profession=high & person3_color=black,Interaction,0.10133970299664029,Synergy (+),POS,person1_profession=high,person3_color=black,0.0064499224421473685
person2_color=black & person2_gender=female,Interaction,0.10101248488349275,Synergy (+),POS,person2_color=black,person2_gender=female,0.006429096138250096
person2_color=black & person3_gender=female,Interaction,0.10092530885479035,Synergy (+),POS,person2_color=black,person3_gender=female,0.006423547684807682
person1_gender=female & person2_profession=high,Interaction,0.09838482670178007,Interference (-),NEG,person1_gender=female,person2_profession=high,0.0062618547612245225
