Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,0.0942364677334848,0.09240348184332427,0.09632027749516368,0.0019583978259197082,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.14432056702308557
person3_color=black,Main Effect,0.044522008578878274,0.04444777967216902,0.04459475047954631,7.348540368864315e-05,Negative (Promotes 0),NEG,person3_color=black,-,0.06818423565368056
person3_color=white,Main Effect,0.04244854120511838,0.04237444216051091,0.04251709616158971,7.132700053940136e-05,Positive (Promotes 1),POS,person3_color=white,-,0.06500877721087046
quantity_level=1vs5,Main Effect,0.031279980276687165,0.030712159722272436,0.031897386422550154,0.0005926133501388594,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.04790443231350398
quantity_level=1vs10,Main Effect,0.026403305390701317,0.02587867031138572,0.02691916719641625,0.000520248442515265,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.04043593841023942
person3_gender=female,Main Effect,0.02560688146516674,0.025534520291259466,0.025682591753744807,7.403573124267065e-05,Negative (Promotes 0),NEG,person3_gender=female,-,0.03921623700070685
person3_gender=male,Main Effect,0.02192152369954564,0.02186257653789774,0.021982785050355502,6.010425622888192e-05,Positive (Promotes 1),POS,person3_gender=male,-,0.033572212609623064
person1_color=white,Main Effect,0.0213230563002678,0.021269066077871452,0.021380237018187868,5.558547015820786e-05,Negative (Promotes 0),NEG,person1_color=white,-,0.03265567619345687
person1_color=black,Main Effect,0.021078654227521868,0.0210167576507661,0.02114189647410218,6.25694116680401e-05,Positive (Promotes 1),POS,person1_color=black,-,0.03228138111885724
person2_color=white & person3_color=black,Interaction,0.012147728445572107,0.012081292997565267,0.012210033136434454,6.437006943459372e-05,Interference (-),NEG,person2_color=white,person3_color=black,0.018603913107881526
person2_color=black & person3_color=black,Interaction,0.011447074065095382,0.011385237969468033,0.011506661774983879,6.0711902757922855e-05,Interference (-),NEG,person2_color=black,person3_color=black,0.017530880131267957
person2_color=white & person3_color=white,Interaction,0.01134806253368164,0.011283750454796609,0.011408533313487304,6.239142934534765e-05,Interference (-),NEG,person2_color=white,person3_color=white,0.017379246685117707
quantity_level=1vs1 & person3_color=black,Interaction,0.011126895439521847,0.01085324146048097,0.011418391496754866,0.00028257501813694786,Interference (-),NEG,quantity_level=1vs1,person3_color=black,0.017040535343280688
person2_color=black & person3_color=white,Interaction,0.010928770673601245,0.010869389302565823,0.010985852461719748,5.8231579576962546e-05,Interference (-),NEG,person2_color=black,person3_color=white,0.01673711269548107
person2_color=black,Main Effect,0.009923455320889856,0.009865206106069082,0.009983646439101735,5.9220166516326354e-05,Positive (Promotes 1),POS,person2_color=black,-,0.015197499791582218
person2_color=white,Main Effect,0.009696717033095142,0.009637118090827504,0.009761707162517043,6.229453584476966e-05,Negative (Promotes 0),NEG,person2_color=white,-,0.01485025631941683
quantity_level=1vs10 & quantity_level=1vs5,Interaction,0.008735132226081873,0.008559105794150697,0.008913864093855283,0.00017737914985229298,Synergy (+),POS,quantity_level=1vs10,quantity_level=1vs5,0.013377615547466207
quantity_level=1vs1 & person3_color=white,Interaction,0.008295635120208405,0.008112860175532902,0.008494339148420816,0.00019073948644395683,Interference (-),NEG,quantity_level=1vs1,person3_color=white,0.012704537777785263
quantity_level=1vs1 & quantity_level=1vs5,Interaction,0.007982677478515379,0.0077853841436763774,0.008169837463205659,0.0001922266597646407,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs5,0.012225251728661667
quantity_level=1vs1 & quantity_level=1vs10,Interaction,0.007550237805084626,0.007362852232157953,0.007731356722174893,0.00018425224500846988,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs10,0.011562982223300865
quantity_level=1vs1 & person3_gender=female,Interaction,0.007026405297549027,0.006845697786225779,0.007221163629360199,0.00018773292156721005,Interference (-),NEG,quantity_level=1vs1,person3_gender=female,0.010760747097866515
person2_gender=male,Main Effect,0.006942770466572062,0.0069139798499425476,0.006971652919549766,2.883653480360935e-05,Negative (Promotes 0),NEG,person2_gender=male,-,0.010632662646912644
person2_gender=female,Main Effect,0.006796924746987666,0.006767855207465176,0.006826292690220647,2.9218741377735804e-05,Positive (Promotes 1),POS,person2_gender=female,-,0.010409303925447845
quantity_level=1vs1 & person3_gender=male,Interaction,0.0063055974097184385,0.006139622933822672,0.006483444637571875,0.00017191085187460162,Interference (-),NEG,quantity_level=1vs1,person3_gender=male,0.009656849577209982
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.005082834665340164,0.004979958101725958,0.005175311414663909,9.767665646897563e-05,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.00778422195387354
quantity_level=1vs1 & person1_color=white,Interaction,0.004536224821833345,0.004414750859950891,0.004663871363646451,0.00012456025184777973,Synergy (+),POS,quantity_level=1vs1,person1_color=white,0.006947103962795936
quantity_level=1vs1 & person1_color=black,Interaction,0.004232957382633686,0.0041056210359162485,0.004359204068547031,0.00012679151631539128,Synergy (+),POS,quantity_level=1vs1,person1_color=black,0.006482658193152748
quantity_level=1vs2 & quantity_level=1vs5,Interaction,0.004073106716256102,0.0039857611088916734,0.004162420235865627,8.832956348697697e-05,Synergy (+),POS,quantity_level=1vs2,quantity_level=1vs5,0.006237851279592747
quantity_level=1vs10 & quantity_level=1vs2,Interaction,0.003951509062387248,0.003864030716237676,0.0040369107332789,8.644000852061186e-05,Synergy (+),POS,quantity_level=1vs10,quantity_level=1vs2,0.006051627806057414
person1_color=black & person3_color=white,Interaction,0.0037217068842834416,0.0036645294016644193,0.0037792928721947523,5.738173526516647e-05,Synergy (+),POS,person1_color=black,person3_color=white,0.005699692069874287
person1_color=white & person2_color=white,Interaction,0.003656951241091876,0.0036037246114432133,0.0037087784431605307,5.2526915858658665e-05,Interference (-),NEG,person1_color=white,person2_color=white,0.005600520577477288
quantity_level=1vs1 & person2_color=black,Interaction,0.0035202688516392847,0.0034163808902770336,0.003620823749551395,0.00010222142963718065,Interference (-),NEG,quantity_level=1vs1,person2_color=black,0.005391195244914351
person1_color=white & person3_color=black,Interaction,0.0035036353698553804,0.0034630636918068516,0.0035476679091968892,4.2302108695018836e-05,Interference (-),NEG,person1_color=white,person3_color=black,0.005365721523537077
person1_color=black & person2_color=white,Interaction,0.0034735185351498134,0.0034134317488991412,0.003533740238581479,6.0154244841168804e-05,Interference (-),NEG,person1_color=black,person2_color=white,0.005319598416780354
quantity_level=1vs1 & person2_color=white,Interaction,0.003349485062424772,0.003244108631206556,0.0034491988197698233,0.00010254509428163361,Synergy (+),POS,quantity_level=1vs1,person2_color=white,0.0051296445534400395
person1_color=black & person3_color=black,Interaction,0.003318650734905774,0.003274771554756166,0.0033683025728058337,4.676550902483383e-05,Synergy (+),POS,person1_color=black,person3_color=black,0.0050824226261082265
person1_color=white & person2_color=black,Interaction,0.00328965387890848,0.0032397630274139046,0.003336499517593115,4.83682450896051e-05,Interference (-),NEG,person1_color=white,person2_color=black,0.00503801473604117
person1_gender=male,Main Effect,0.003253002198630684,0.003234160962620906,0.003272579091769071,1.9209064574082476e-05,Positive (Promotes 1),POS,person1_gender=male,-,0.0049818836924307485
person1_color=white & person3_color=white,Interaction,0.0032026657041800436,0.0031551908390899854,0.0032487134077468735,4.676128432844402e-05,Synergy (+),POS,person1_color=white,person3_color=white,0.0049047947310573645
person1_gender=female,Main Effect,0.003059150754438227,0.0030401675913702083,0.003077637066730833,1.8734737680312303e-05,Negative (Promotes 0),NEG,person1_gender=female,-,0.004685005519712922
quantity_level=1vs5 & person3_gender=female,Interaction,0.003049650707173683,0.002975244211546078,0.0031275884129180745,7.617210068599817e-05,Synergy (+),POS,quantity_level=1vs5,person3_gender=female,0.004670456457752719
person1_color=black & person2_color=black,Interaction,0.0029816635425923103,0.0029252871564859895,0.0030369567252631962,5.583478438860338e-05,Interference (-),NEG,person1_color=black,person2_color=black,0.004566335978933148
quantity_level=1vs10 & person3_color=white,Interaction,0.0029497118311646105,0.002861757546841838,0.003031095327759271,8.466889045871651e-05,Interference (-),NEG,quantity_level=1vs10,person3_color=white,0.00451740280877608
quantity_level=1vs5 & person3_color=white,Interaction,0.002908356717044025,0.002841232590640953,0.002980905821353145,6.983661535609593e-05,Interference (-),NEG,quantity_level=1vs5,person3_color=white,0.00445406858517098
quantity_level=1vs2,Main Effect,0.0028379514535930533,0.0027996571613173316,0.002875289749288043,3.7816293985355786e-05,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.004346244854220128
quantity_level=1vs10 & person3_color=black,Interaction,0.00276576306813117,0.0026838124500123297,0.0028478858356947552,8.203669284121274e-05,Interference (-),NEG,quantity_level=1vs10,person3_color=black,0.00423569032079041
quantity_level=1vs5 & person3_color=black,Interaction,0.002687659917660633,0.0026208838230443988,0.0027589327788897795,6.902447792269035e-05,Interference (-),NEG,quantity_level=1vs5,person3_color=black,0.004116077486891797
quantity_level=1vs5 & person3_gender=male,Interaction,0.002438365278212406,0.00237934071254702,0.0025000613997544436,6.036034360371186e-05,Interference (-),NEG,quantity_level=1vs5,person3_gender=male,0.0037342895805078683
quantity_level=1vs1 & person2_gender=female,Interaction,0.0024289531497339203,0.0023713104900391214,0.0024916580560672757,6.017378301407714e-05,Synergy (+),POS,quantity_level=1vs1,person2_gender=female,0.0037198751637583906
quantity_level=1vs5 & person1_color=black,Interaction,0.0023155223113809137,0.0022576483176032828,0.0023742646889225562,5.8308185659636724e-05,Synergy (+),POS,quantity_level=1vs5,person1_color=black,0.003546158944308104
quantity_level=1vs5 & person1_color=white,Interaction,0.0022183386773218477,0.0021588530280180333,0.0022745218102867195,5.783439113434311e-05,Synergy (+),POS,quantity_level=1vs5,person1_color=white,0.0033973248728482635
quantity_level=1vs1 & person2_gender=male,Interaction,0.00210778045085542,0.002053714116605096,0.0021645135433892284,5.5399713392066154e-05,Synergy (+),POS,quantity_level=1vs1,person2_gender=male,0.003228007979755166
person1_profession=high,Main Effect,0.002084974531506712,0.002061496892842078,0.0021070609127075597,2.2782009932740882e-05,Positive (Promotes 1),POS,person1_profession=high,-,0.00319308133945285
person1_profession=low,Main Effect,0.001972670960694673,0.0019507528727826613,0.001993541413639061,2.13942704281999e-05,Negative (Promotes 0),NEG,person1_profession=low,-,0.0030210914993396925
quantity_level=1vs10 & person1_color=black,Interaction,0.0018962002085339184,0.0018407622143263634,0.0019488843297692485,5.406105772144253e-05,Synergy (+),POS,quantity_level=1vs10,person1_color=black,0.0029039786387034653
quantity_level=1vs5 & person2_color=black,Interaction,0.0017301950879356,0.001684803611853417,0.00177537498299618,4.528568557138151e-05,Synergy (+),POS,quantity_level=1vs5,person2_color=black,0.002649746347216885
person3_color=white & person3_gender=female,Interaction,0.0016051828893621244,0.0015530625036994736,0.0016604401295178223,5.3688812909174306e-05,Synergy (+),POS,person3_color=white,person3_gender=female,0.0024582935920695716
quantity_level=1vs10 & person1_color=white,Interaction,0.0016012683724572936,0.0015503966387499493,0.0016523938909412431,5.0998626095646914e-05,Synergy (+),POS,quantity_level=1vs10,person1_color=white,0.0024522986167387433
quantity_level=1vs1 & person1_gender=female,Interaction,0.0014778801192729847,0.0014360667631117207,0.0015222951783766191,4.311420763244923e-05,Synergy (+),POS,quantity_level=1vs1,person1_gender=female,0.0022633328894376124
person2_profession=high,Main Effect,0.0014381196279750954,0.0014171545880692106,0.0014581273092408992,2.0486360585844285e-05,Negative (Promotes 0),NEG,person2_profession=high,-,0.002202440786971967
quantity_level=1vs1 & person1_gender=male,Interaction,0.0014081161781030022,0.001368671329498213,0.0014500477409597865,4.068820573078678e-05,Synergy (+),POS,quantity_level=1vs1,person1_gender=male,0.0021564913259794834
person3_color=black & person3_gender=male,Interaction,0.0013461444162817043,0.0013060924931202805,0.001386673270156649,4.029038851818421e-05,Synergy (+),POS,person3_color=black,person3_gender=male,0.002061583271586318
quantity_level=1vs10 & person3_gender=male,Interaction,0.0012938250526021986,0.001246308710477295,0.001341607590279508,4.764943990110651e-05,Interference (-),NEG,quantity_level=1vs10,person3_gender=male,0.0019814576003454563
