Feature,Type,Importance,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,0.9581777,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.05979227
person2_color=black & person3_color=black,Interaction,0.9034225,Synergy (+),POS,person2_color=black,person3_color=black,0.05637543
person3_color=black,Main Effect,0.8553127,Negative (Promotes 0),NEG,person3_color=black,-,0.05337328
person3_gender=female,Main Effect,0.5720078,Negative (Promotes 0),NEG,person3_gender=female,-,0.03569447
person1_color=black,Main Effect,0.5468303,Positive (Promotes 1),POS,person1_color=black,-,0.034123342
person1_color=black & person2_color=black,Interaction,0.46937597,Synergy (+),POS,person1_color=black,person2_color=black,0.02929003
person2_color=black,Main Effect,0.32210988,Positive (Promotes 1),POS,person2_color=black,-,0.020100322
person2_gender=female,Main Effect,0.30886722,Positive (Promotes 1),POS,person2_gender=female,-,0.019273954
person1_gender=female,Main Effect,0.27437884,Negative (Promotes 0),NEG,person1_gender=female,-,0.017121807
person1_profession=high,Main Effect,0.25408086,Positive (Promotes 1),POS,person1_profession=high,-,0.01585517
person2_profession=high,Main Effect,0.24571323,Negative (Promotes 0),NEG,person2_profession=high,-,0.015333014
person3_profession=high,Main Effect,0.23249432,Positive (Promotes 1),POS,person3_profession=high,-,0.014508126
person3_color=black & person3_gender=female,Interaction,0.22928268,Synergy (+),POS,person3_color=black,person3_gender=female,0.014307713
person1_color=black & person3_color=black,Interaction,0.22431596,Synergy (+),POS,person1_color=black,person3_color=black,0.013997779
person1_color=black & person1_gender=female,Interaction,0.21303548,Synergy (+),POS,person1_color=black,person1_gender=female,0.013293854
person1_color=black & person1_profession=high,Interaction,0.19762647,Interference (-),NEG,person1_color=black,person1_profession=high,0.012332301
quantity_level=1vs5,Main Effect,0.19250506,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.012012714
person1_profession=high & person2_profession=high,Interaction,0.1917788,Synergy (+),POS,person1_profession=high,person2_profession=high,0.011967394
person1_gender=female & person2_gender=female,Interaction,0.19050382,Synergy (+),POS,person1_gender=female,person2_gender=female,0.011887833
person1_color=black & person2_profession=high,Interaction,0.18058835,Synergy (+),POS,person1_color=black,person2_profession=high,0.011269086
person1_profession=high & person1_gender=female,Interaction,0.17806046,Interference (-),NEG,person1_profession=high,person1_gender=female,0.0111113405
quantity_level=1vs2,Main Effect,0.1763723,Negative (Promotes 0),NEG,quantity_level=1vs2,-,0.011005997
person3_profession=high & person3_gender=female,Interaction,0.17571737,Synergy (+),POS,person3_profession=high,person3_gender=female,0.010965127
person1_profession=high & person3_color=black,Interaction,0.17226855,Synergy (+),POS,person1_profession=high,person3_color=black,0.010749914
person1_gender=female & person3_profession=high,Interaction,0.1714735,Interference (-),NEG,person1_gender=female,person3_profession=high,0.010700301
person1_profession=high & person2_color=black,Interaction,0.17059995,Synergy (+),POS,person1_profession=high,person2_color=black,0.01064579
person2_profession=high & person3_profession=high,Interaction,0.16762754,Synergy (+),POS,person2_profession=high,person3_profession=high,0.010460305
person2_color=black & person3_gender=female,Interaction,0.16620411,Synergy (+),POS,person2_color=black,person3_gender=female,0.01037148
quantity_level=1vs1 & person3_color=black,Interaction,0.16517317,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.010307147
person1_profession=high & person3_gender=female,Interaction,0.16482511,Synergy (+),POS,person1_profession=high,person3_gender=female,0.010285428
person2_profession=high & person3_gender=female,Interaction,0.16397262,Synergy (+),POS,person2_profession=high,person3_gender=female,0.01023223
person2_profession=high & person3_color=black,Interaction,0.16265945,Synergy (+),POS,person2_profession=high,person3_color=black,0.010150286
person2_gender=female & person3_gender=female,Interaction,0.16201134,Synergy (+),POS,person2_gender=female,person3_gender=female,0.010109843
person1_gender=female & person2_profession=high,Interaction,0.16196229,Synergy (+),POS,person1_gender=female,person2_profession=high,0.0101067815
quantity_level=1vs5 & person3_color=black,Interaction,0.1593617,Synergy (+),POS,quantity_level=1vs5,person3_color=black,0.0099444995
person2_color=black & person2_profession=high,Interaction,0.15792923,Synergy (+),POS,person2_color=black,person2_profession=high,0.00985511
person2_gender=female & person3_color=black,Interaction,0.15732741,Synergy (+),POS,person2_gender=female,person3_color=black,0.009817556
person2_profession=high & person2_gender=female,Interaction,0.15427873,Synergy (+),POS,person2_profession=high,person2_gender=female,0.0096273115
person1_color=black & person3_gender=female,Interaction,0.15398854,Synergy (+),POS,person1_color=black,person3_gender=female,0.009609203
quantity_level=1vs5 & person1_color=black,Interaction,0.15251546,Synergy (+),POS,quantity_level=1vs5,person1_color=black,0.009517279
person2_color=black & person2_gender=female,Interaction,0.15096997,Synergy (+),POS,person2_color=black,person2_gender=female,0.009420838
quantity_level=1vs5 & person2_color=black,Interaction,0.14938204,Synergy (+),POS,quantity_level=1vs5,person2_color=black,0.009321748
quantity_level=1vs10,Main Effect,0.14794652,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.009232169
person1_color=black & person3_profession=high,Interaction,0.14715008,Interference (-),NEG,person1_color=black,person3_profession=high,0.009182469
person1_gender=female & person3_color=black,Interaction,0.14681686,Synergy (+),POS,person1_gender=female,person3_color=black,0.009161675
quantity_level=1vs1 & person2_color=black,Interaction,0.14664914,Synergy (+),POS,quantity_level=1vs1,person2_color=black,0.009151209
person1_gender=female & person2_color=black,Interaction,0.14537284,Synergy (+),POS,person1_gender=female,person2_color=black,0.009071565
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.1433359,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.008944456
person1_color=black & person2_gender=female,Interaction,0.14264353,Synergy (+),POS,person1_color=black,person2_gender=female,0.008901251
person1_gender=female & person3_gender=female,Interaction,0.14194526,Synergy (+),POS,person1_gender=female,person3_gender=female,0.008857678
person1_profession=high & person2_gender=female,Interaction,0.14068432,Interference (-),NEG,person1_profession=high,person2_gender=female,0.008778992
person1_profession=high & person3_profession=high,Interaction,0.1383751,Interference (-),NEG,person1_profession=high,person3_profession=high,0.008634892
person3_color=black & person3_profession=high,Interaction,0.13656469,Synergy (+),POS,person3_color=black,person3_profession=high,0.008521919
quantity_level=1vs10 & person3_gender=female,Interaction,0.13235982,Synergy (+),POS,quantity_level=1vs10,person3_gender=female,0.008259526
person2_color=black & person3_profession=high,Interaction,0.13120145,Synergy (+),POS,person2_color=black,person3_profession=high,0.008187242
quantity_level=1vs5 & person2_gender=female,Interaction,0.13096741,Synergy (+),POS,quantity_level=1vs5,person2_gender=female,0.008172637
person2_gender=female & person3_profession=high,Interaction,0.12942556,Synergy (+),POS,person2_gender=female,person3_profession=high,0.008076422
quantity_level=1vs5 & person3_profession=high,Interaction,0.12805429,Synergy (+),POS,quantity_level=1vs5,person3_profession=high,0.007990852
quantity_level=1vs1 & person2_profession=high,Interaction,0.12534994,Synergy (+),POS,quantity_level=1vs1,person2_profession=high,0.007822095
quantity_level=1vs1 & person3_gender=female,Interaction,0.1217107,Synergy (+),POS,quantity_level=1vs1,person3_gender=female,0.0075949994
quantity_level=1vs5 & person2_profession=high,Interaction,0.12080493,Synergy (+),POS,quantity_level=1vs5,person2_profession=high,0.0075384774
quantity_level=1vs10 & person1_profession=high,Interaction,0.11556553,Synergy (+),POS,quantity_level=1vs10,person1_profession=high,0.007211528
quantity_level=1vs10 & person3_color=black,Interaction,0.11107925,Synergy (+),POS,quantity_level=1vs10,person3_color=black,0.006931575
