Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs2,Main Effect,0.37850213452799847,0.3704235972862745,0.3868324175138797,0.008204410113802602,Negative (Promotes 0),NEG,quantity_level=1vs2,-,0.04149003272718042
person1_color=black,Main Effect,0.2995201423374972,0.2972382580495815,0.3016832284043512,0.002222485177384853,Positive (Promotes 1),POS,person1_color=black,-,0.03283231288386101
person1_color=white,Main Effect,0.29544444161294386,0.2925022265464223,0.2981329811063866,0.0028153772799821564,Negative (Promotes 0),NEG,person1_color=white,-,0.0323855493361236
person3_gender=female,Main Effect,0.2042320375729241,0.20186119551596565,0.20687012428411036,0.002504464384072355,Negative (Promotes 0),NEG,person3_gender=female,-,0.022387176054914838
person3_color=white,Main Effect,0.18869516459299832,0.18615727927311898,0.19154440177358867,0.002693561250234844,Positive (Promotes 1),POS,person3_color=white,-,0.02068408032675196
quantity_level=1vs1,Main Effect,0.18610296559013342,0.18082502461828054,0.19095878845819916,0.005066881919959312,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.02039993286322881
person3_color=black,Main Effect,0.17844744001291213,0.17607913569795752,0.18087777262229215,0.002399318462167316,Negative (Promotes 0),NEG,person3_color=black,-,0.01956076188434181
person3_gender=male,Main Effect,0.15579843739614324,0.15331444569431,0.15838560633141563,0.0025355803185528186,Positive (Promotes 1),POS,person3_gender=male,-,0.017078060271629444
quantity_level=1vs10,Main Effect,0.15467137522894586,0.15002742629457774,0.1591577716212214,0.004565172663321834,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.016954515800048326
person1_color=white & person2_color=white,Interaction,0.13772172489896894,0.13619123788362061,0.13921261758806366,0.001510689852221525,Synergy (+),POS,person1_color=white,person2_color=white,0.015096556537065658
person2_color=black & person3_color=white,Interaction,0.11440887016867758,0.11303440499731292,0.11583992233258956,0.0014027586676383236,Synergy (+),POS,person2_color=black,person3_color=white,0.012541085860711409
person1_color=white & person2_color=black,Interaction,0.10908243164034578,0.10769017907395718,0.11033351087705796,0.0013216659015503895,Synergy (+),POS,person1_color=white,person2_color=black,0.011957220966170228
person1_color=black & person2_color=white,Interaction,0.10215917237948319,0.1012541654808169,0.1030800855708453,0.000912960045014205,Synergy (+),POS,person1_color=black,person2_color=white,0.011198318367985023
person2_gender=female,Main Effect,0.09734552703282276,0.09483559378499468,0.09972130650372792,0.00244285635936662,Positive (Promotes 1),POS,person2_gender=female,-,0.010670664004241383
person2_gender=male,Main Effect,0.0927985077212138,0.09061810618843236,0.09501389490009926,0.002197894355833452,Negative (Promotes 0),NEG,person2_gender=male,-,0.010172236220511614
person2_color=white & person3_color=black,Interaction,0.08512618368844561,0.08422117548485673,0.08613459861448935,0.0009567115648163108,Synergy (+),POS,person2_color=white,person3_color=black,0.009331223855785999
person1_color=white & person3_color=white,Interaction,0.08431559697980763,0.08284747995119955,0.08568304788065641,0.001417783964728428,Synergy (+),POS,person1_color=white,person3_color=white,0.009242370277426273
person1_color=black & person3_color=white,Interaction,0.08378953092343944,0.08264906464549597,0.08486181087350092,0.001106373114002475,Synergy (+),POS,person1_color=black,person3_color=white,0.009184704822190219
person1_color=black & person3_color=black,Interaction,0.08324449621794297,0.08212089413141882,0.0843575279456742,0.0011183169071276866,Synergy (+),POS,person1_color=black,person3_color=black,0.00912496009235746
person2_color=black & person3_color=black,Interaction,0.07869588079034151,0.07798303029565153,0.07954240869832702,0.0007796892013377452,Synergy (+),POS,person2_color=black,person3_color=black,0.008626357348175096
person1_color=black & person2_color=black,Interaction,0.07724654460890759,0.07648020767805623,0.07799746091230872,0.0007586266171262443,Synergy (+),POS,person1_color=black,person2_color=black,0.008467486366706611
person1_profession=high,Main Effect,0.07253439338308268,0.0702693572001095,0.07475810296873014,0.002244372884310321,Positive (Promotes 1),POS,person1_profession=high,-,0.007950957420790094
person2_color=white & person3_color=white,Interaction,0.06677386833818773,0.06571657113647023,0.06776187103752745,0.0010226499505286146,Interference (-),NEG,person2_color=white,person3_color=white,0.007319509534937406
person1_color=white & person3_color=black,Interaction,0.06408640266404894,0.06322941603226982,0.06493558258218245,0.0008530832749563122,Synergy (+),POS,person1_color=white,person3_color=black,0.007024919284046908
quantity_level=1vs2 & person1_color=white,Interaction,0.06320424332522243,0.06078993147432844,0.06570753317322588,0.002458800849448717,Synergy (+),POS,quantity_level=1vs2,person1_color=white,0.006928220173263445
person1_profession=low,Main Effect,0.06284950386351333,0.06087699482025936,0.06494527876331511,0.0020341419715278787,Negative (Promotes 0),NEG,person1_profession=low,-,0.006889334918641865
person2_color=white,Main Effect,0.06187909708831262,0.05974407974461923,0.06375870461083326,0.0020073124331070127,Positive (Promotes 1),POS,person2_color=white,-,0.006782962443591062
quantity_level=1vs2 & person1_profession=low,Interaction,0.06156196699633126,0.05937425622800558,0.06400115202038133,0.0023134478961878736,Interference (-),NEG,quantity_level=1vs2,person1_profession=low,0.0067481997918256015
person1_gender=female,Main Effect,0.059455952662187186,0.057561802509823866,0.0611706090740388,0.0018044032821074654,Positive (Promotes 1),POS,person1_gender=female,-,0.006517346130309235
person1_gender=male,Main Effect,0.059237668970484825,0.057358015165260005,0.061072511582378704,0.0018572482085593492,Negative (Promotes 0),NEG,person1_gender=male,-,0.00649341866283581
quantity_level=1vs2 & person1_profession=high,Interaction,0.0589033951791992,0.0568525142101679,0.06110807036070732,0.002127778075269711,Interference (-),NEG,quantity_level=1vs2,person1_profession=high,0.006456776780861817
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.05766328955768499,0.05591067270215159,0.05924391689923125,0.001666622098539832,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.00632084089535896
person2_profession=low,Main Effect,0.05395802259518479,0.05220862547920029,0.055787342478950244,0.001789358499874976,Negative (Promotes 0),NEG,person2_profession=low,-,0.0059146829545886105
quantity_level=1vs2 & person3_gender=female,Interaction,0.05391915353775768,0.05172436710849148,0.05605805681530502,0.00216684485340677,Synergy (+),POS,quantity_level=1vs2,person3_gender=female,0.005910422269330556
person3_profession=low,Main Effect,0.051733763153084124,0.04990723345889891,0.0534339424216294,0.001763354481365248,Positive (Promotes 1),POS,person3_profession=low,-,0.0056708676927233696
quantity_level=1vs1 & person1_profession=high,Interaction,0.05157726911509249,0.04934415943031134,0.053681263758329226,0.0021685521640089425,Interference (-),NEG,quantity_level=1vs1,person1_profession=high,0.005653713383234525
person2_profession=high,Main Effect,0.05153779148424484,0.05004342119325492,0.053127456734755114,0.0015420177707500989,Positive (Promotes 1),POS,person2_profession=high,-,0.005649385988362886
quantity_level=1vs1 & person2_color=white,Interaction,0.04922756680799373,0.04734777188922475,0.051179434599007534,0.0019158313548913904,Synergy (+),POS,quantity_level=1vs1,person2_color=white,0.005396147528969976
person3_profession=high,Main Effect,0.04884020523597074,0.047308057557580864,0.05052026524703938,0.0016061038447292564,Negative (Promotes 0),NEG,person3_profession=high,-,0.005353686356801086
quantity_level=1vs2 & person3_gender=male,Interaction,0.04855921845916011,0.046522869872719474,0.050612311851844075,0.0020447209895623,Synergy (+),POS,quantity_level=1vs2,person3_gender=male,0.005322885604302514
person2_color=black,Main Effect,0.048522894260366316,0.0468735106263104,0.05017651537791703,0.0016515023758033147,Negative (Promotes 0),NEG,person2_color=black,-,0.0053189038772281805
quantity_level=1vs2 & person2_gender=female,Interaction,0.047669130795608285,0.045644565352778416,0.049881166727920305,0.0021183006875709447,Interference (-),NEG,quantity_level=1vs2,person2_gender=female,0.005225317419285864
quantity_level=1vs5,Main Effect,0.04602449556299,0.04395649082855173,0.04810525569757893,0.002074382434513602,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.005045038463367429
person2_profession=high & person3_profession=low,Interaction,0.043181577387637636,0.041934611681916756,0.04436127665707348,0.0012133324875783606,Interference (-),NEG,person2_profession=high,person3_profession=low,0.004733408072476356
quantity_level=1vs2 & person1_gender=male,Interaction,0.043132432286872156,0.04133499966211798,0.044963157016918213,0.0018140786774001154,Synergy (+),POS,quantity_level=1vs2,person1_gender=male,0.004728020964576204
quantity_level=1vs2 & person2_gender=male,Interaction,0.042917031760115985,0.04102882815869825,0.044862515439748396,0.0019168436405250719,Synergy (+),POS,quantity_level=1vs2,person2_gender=male,0.0047044095391988805
quantity_level=1vs1 & person2_color=black,Interaction,0.041750302910914486,0.04006351994283935,0.04345591158907432,0.001696195823117485,Synergy (+),POS,quantity_level=1vs1,person2_color=black,0.004576516949643259
