Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person1_color=black,Main Effect,0.7127087230824299,0.7043030570809671,0.719845889215814,0.007771416067423487,Positive (Promotes 1),POS,person1_color=black,-,0.051109346109769034
quantity_level=1vs2,Main Effect,0.7097415045762715,0.6912961506463714,0.7285844683066576,0.018644158830143087,Negative (Promotes 0),NEG,quantity_level=1vs2,-,0.050896562692500515
person1_color=black & person2_color=black,Interaction,0.3997028629502236,0.39482967592757606,0.40486422243938186,0.005017273255902899,Synergy (+),POS,person1_color=black,person2_color=black,0.028663255130702038
person3_gender=female,Main Effect,0.3968540089982661,0.38956133364577983,0.4041605849202885,0.007299625637254337,Negative (Promotes 0),NEG,person3_gender=female,-,0.028458959802286448
person3_color=black,Main Effect,0.38501510593985927,0.37814513308620545,0.3926465573525575,0.007250712133176018,Negative (Promotes 0),NEG,person3_color=black,-,0.027609975393403135
person2_color=black & person3_color=black,Interaction,0.3676151948655585,0.3623955825768173,0.3730447907546,0.005324604088891349,Synergy (+),POS,person2_color=black,person3_color=black,0.02636220326914812
person1_color=black & person3_color=black,Interaction,0.33472711298735186,0.32904806245035256,0.34023246493196907,0.005592201240808253,Synergy (+),POS,person1_color=black,person3_color=black,0.024003752607382783
quantity_level=1vs1,Main Effect,0.3132944067301858,0.30404415088025716,0.32207213559532216,0.009013992357532502,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.022466783061915584
person2_gender=female,Main Effect,0.26815043410458594,0.26149876338483374,0.2745084925221886,0.0065048645686774376,Positive (Promotes 1),POS,person2_gender=female,-,0.01922944521692211
person1_profession=high,Main Effect,0.20083929958576427,0.19458762837223864,0.2070576414980963,0.00623500656292883,Positive (Promotes 1),POS,person1_profession=high,-,0.014402468978600145
quantity_level=1vs2 & person1_color=black,Interaction,0.19841067515212876,0.19168377295700018,0.2049419124157098,0.006629069729354814,Synergy (+),POS,quantity_level=1vs2,person1_color=black,0.014228308900675909
person1_gender=female,Main Effect,0.19473253776599395,0.18874584945258868,0.2005171145101283,0.0058856325287698075,Positive (Promotes 1),POS,person1_gender=female,-,0.013964544489467063
quantity_level=1vs2 & person1_profession=high,Interaction,0.185133209397765,0.17819971608603782,0.19305709735474585,0.0074286906343540154,Interference (-),NEG,quantity_level=1vs2,person1_profession=high,0.013276163135200414
person1_gender=female & person3_gender=female,Interaction,0.17387829551836273,0.16936213750024673,0.1785550198230982,0.0045964411614257406,Synergy (+),POS,person1_gender=female,person3_gender=female,0.012469057412668821
person3_profession=high,Main Effect,0.15632837308286945,0.15091442048741738,0.16162925147925314,0.0053574154959178805,Positive (Promotes 1),POS,person3_profession=high,-,0.011210527762469091
quantity_level=1vs2 & person2_gender=female,Interaction,0.1534284759410442,0.1470865457245031,0.15972059637090283,0.00631702532319986,Synergy (+),POS,quantity_level=1vs2,person2_gender=female,0.011002572055033284
quantity_level=1vs2 & person3_gender=female,Interaction,0.1494094213825277,0.14342438073474081,0.15535527477479144,0.0059654470200253135,Synergy (+),POS,quantity_level=1vs2,person3_gender=female,0.010714359993341558
person2_profession=high,Main Effect,0.1491106479088497,0.14462063643859951,0.15426716769791735,0.0048232656296589155,Positive (Promotes 1),POS,person2_profession=high,-,0.010692934526835993
person2_color=black,Main Effect,0.14654351463386647,0.1420510975802953,0.1513732454138169,0.004661073916760794,Negative (Promotes 0),NEG,person2_color=black,-,0.010508841784862007
person3_color=black & person3_gender=female,Interaction,0.14618745884144996,0.14161044104560344,0.15072431864368283,0.004556938799039692,Interference (-),NEG,person3_color=black,person3_gender=female,0.010483308522619476
person2_profession=high & person3_profession=high,Interaction,0.1407869842792905,0.1368500263985441,0.1444355803906581,0.0037927769960569985,Interference (-),NEG,person2_profession=high,person3_profession=high,0.01009603288726502
quantity_level=1vs2 & person1_gender=female,Interaction,0.1379487519829785,0.13185990952295293,0.14380911954674291,0.005974605011894993,Synergy (+),POS,quantity_level=1vs2,person1_gender=female,0.00989249925273231
person2_profession=high & person3_color=black,Interaction,0.13237195113762593,0.12808472694828493,0.13720211471784904,0.004558693884782056,Interference (-),NEG,person2_profession=high,person3_color=black,0.009492579011321972
person1_color=black & person1_gender=female,Interaction,0.13067975505693658,0.12629737196931604,0.1349045215148534,0.004303574772768687,Synergy (+),POS,person1_color=black,person1_gender=female,0.009371229247565055
person1_profession=high & person2_profession=high,Interaction,0.1286622826331488,0.1246595603290544,0.1328897344886538,0.004115087079799698,Interference (-),NEG,person1_profession=high,person2_profession=high,0.009226553459217284
person1_gender=female & person2_color=black,Interaction,0.12830686151516332,0.12396924668908434,0.13302233556339232,0.004526544437153994,Synergy (+),POS,person1_gender=female,person2_color=black,0.009201065710371898
person1_profession=high & person2_gender=female,Interaction,0.11945359527465133,0.11493595662626997,0.12412812184486506,0.004596082609297544,Interference (-),NEG,person1_profession=high,person2_gender=female,0.008566185521826867
person2_gender=female & person3_profession=high,Interaction,0.1166983257052167,0.11229453445086769,0.12104206464199346,0.004373765095562886,Synergy (+),POS,person2_gender=female,person3_profession=high,0.00836860126125979
person3_profession=high & person3_gender=female,Interaction,0.11668167693530491,0.11261135852148961,0.12067231834972858,0.004030479914119485,Interference (-),NEG,person3_profession=high,person3_gender=female,0.008367407354525992
quantity_level=1vs1 & person1_profession=high,Interaction,0.11635265126768278,0.11186062026639433,0.12082856580106151,0.004483972767333588,Synergy (+),POS,quantity_level=1vs1,person1_profession=high,0.008343812460594055
person2_color=black & person3_profession=high,Interaction,0.11495059113607196,0.11162631416365115,0.11865469761353818,0.0035141917249435148,Interference (-),NEG,person2_color=black,person3_profession=high,0.008243268754291027
