Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person3_color=white,Main Effect,0.769622476884188,0.767206781436816,0.7721959569621512,0.0024945877626675883,Positive (Promotes 1),POS,person3_color=white,-,0.05889730539433303
person3_gender=female,Main Effect,0.7137700872068194,0.7111697783812218,0.7167031871084386,0.00276670436360843,Negative (Promotes 0),NEG,person3_gender=female,-,0.05462306009792613
person3_color=black,Main Effect,0.6913441339141201,0.6886047384569782,0.6943692343551944,0.0028822479491080744,Negative (Promotes 0),NEG,person3_color=black,-,0.052906857336818464
person3_gender=male,Main Effect,0.4833478713220098,0.4809450508639735,0.4860061801512636,0.002530564643645067,Positive (Promotes 1),POS,person3_gender=male,-,0.0369894175962808
person1_color=black & person2_color=black,Interaction,0.28722160619854264,0.2847477638502116,0.28985457393553266,0.0025534050426605226,Synergy (+),POS,person1_color=black,person2_color=black,0.021980359415454044
person1_color=white & person2_color=black,Interaction,0.282278178745198,0.2802490444223844,0.28442667010985473,0.0020888128437351605,Synergy (+),POS,person1_color=white,person2_color=black,0.021602051134239197
person1_color=white,Main Effect,0.2812459329505455,0.27827265860053685,0.2840294735493353,0.002878407474399214,Negative (Promotes 0),NEG,person1_color=white,-,0.02152305591562786
person1_color=white & person2_color=white,Interaction,0.2799563899800108,0.2771739370849392,0.2829023021425304,0.0028641825287956113,Synergy (+),POS,person1_color=white,person2_color=white,0.02142437038027008
quantity_level=1vs5,Main Effect,0.2780237832619541,0.272214315250825,0.28396289511381145,0.005874289931493221,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.021276472766180967
person2_color=black,Main Effect,0.25042569733237346,0.24747912360171465,0.25314296780711004,0.002831922102697698,Positive (Promotes 1),POS,person2_color=black,-,0.019164459481597344
person2_color=black & person3_color=white,Interaction,0.24350689287217667,0.241701381214662,0.24532980524677306,0.0018142120160555275,Interference (-),NEG,person2_color=black,person3_color=white,0.018634980481834186
person2_color=black & person3_color=black,Interaction,0.23958227366926396,0.23752822760645423,0.2416596618238505,0.0020657171086981424,Interference (-),NEG,person2_color=black,person3_color=black,0.018334639077193536
