Feature,Type,Importance,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person3_color=black,Main Effect,1.792351868800338,Negative (Promotes 0),NEG,person3_color=black,-,0.09008995919767354
person3_gender=female,Main Effect,1.4424203604750458,Negative (Promotes 0),NEG,person3_gender=female,-,0.0725011610069999
person1_color=black & person2_color=black,Interaction,1.187847381613621,Synergy (+),POS,person1_color=black,person2_color=black,0.05970542057361806
person2_color=black & person3_color=black,Interaction,0.9220215387095483,Interference (-),NEG,person2_color=black,person3_color=black,0.046344071299636386
person2_color=black,Main Effect,0.6416695157439587,Positive (Promotes 1),POS,person2_color=black,-,0.032252584717339224
person1_color=black,Main Effect,0.6408431348795024,Positive (Promotes 1),POS,person1_color=black,-,0.03221104788539426
person3_color=black & person3_gender=female,Interaction,0.44104828801578894,Synergy (+),POS,person3_color=black,person3_gender=female,0.02216865056644323
person2_gender=female,Main Effect,0.41666255084002196,Positive (Promotes 1),POS,person2_gender=female,-,0.02094293696332105
person1_profession=high,Main Effect,0.404774229330685,Positive (Promotes 1),POS,person1_profession=high,-,0.020345387777612415
quantity_level=1vs5,Main Effect,0.359878472885604,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.018088767893597556
person1_gender=female,Main Effect,0.3136720596334601,Negative (Promotes 0),NEG,person1_gender=female,-,0.015766269751900246
person3_profession=high,Main Effect,0.2830370114544928,Negative (Promotes 0),NEG,person3_profession=high,-,0.01422644362260946
person2_profession=high & person3_profession=high,Interaction,0.22078341719642045,Interference (-),NEG,person2_profession=high,person3_profession=high,0.01109735727285599
person1_color=black & person3_color=black,Interaction,0.20396985713018526,Synergy (+),POS,person1_color=black,person3_color=black,0.010252248136250683
quantity_level=1vs1 & person3_color=black,Interaction,0.20274369817405227,Interference (-),NEG,quantity_level=1vs1,person3_color=black,0.010190617040118973
person1_gender=female & person3_gender=female,Interaction,0.19826765291848056,Synergy (+),POS,person1_gender=female,person3_gender=female,0.00996563513703356
person2_color=black & person3_gender=female,Interaction,0.19670588699071387,Interference (-),NEG,person2_color=black,person3_gender=female,0.00988713524470885
quantity_level=1vs1,Main Effect,0.18946220995925006,Positive (Promotes 1),POS,quantity_level=1vs1,-,0.009523042356718902
quantity_level=1vs1 & person1_color=black,Interaction,0.17097461293585445,Interference (-),NEG,quantity_level=1vs1,person1_color=black,0.008593790187826678
person1_color=black & person3_gender=female,Interaction,0.1701202277514751,Synergy (+),POS,person1_color=black,person3_gender=female,0.00855084575948106
quantity_level=1vs10,Main Effect,0.1630821159415216,Negative (Promotes 0),NEG,quantity_level=1vs10,-,0.008197085308297014
quantity_level=1vs1 & person2_color=black,Interaction,0.1625364520928029,Interference (-),NEG,quantity_level=1vs1,person2_color=black,0.008169658308765045
person2_gender=female & person3_gender=female,Interaction,0.15729960196017917,Interference (-),NEG,person2_gender=female,person3_gender=female,0.007906435655342542
person2_color=black & person2_profession=high,Interaction,0.1568218458344987,Interference (-),NEG,person2_color=black,person2_profession=high,0.007882421938717916
person2_profession=high,Main Effect,0.15270102442180877,Negative (Promotes 0),NEG,person2_profession=high,-,0.007675294845320447
person1_color=black & person1_gender=female,Interaction,0.14836561818930352,Interference (-),NEG,person1_color=black,person1_gender=female,0.007457381958129853
quantity_level=1vs10 & person3_color=black,Interaction,0.14255176166765735,Interference (-),NEG,quantity_level=1vs10,person3_color=black,0.007165156917983689
person3_gender=male,Main Effect,0.13172454614600249,Positive (Promotes 1),POS,person3_gender=male,-,0.006620942681064251
quantity_level=1vs5 & person2_color=black,Interaction,0.12740573073619788,Synergy (+),POS,quantity_level=1vs5,person2_color=black,0.006403863707440617
person1_color=white & person2_color=black,Interaction,0.1247197692335773,Synergy (+),POS,person1_color=white,person2_color=black,0.006268857760009339
person1_color=black & person2_gender=female,Interaction,0.11958891641542596,Interference (-),NEG,person1_color=black,person2_gender=female,0.006010962907395433
quantity_level=1vs1 & person3_gender=female,Interaction,0.11800217517446832,Interference (-),NEG,quantity_level=1vs1,person3_gender=female,0.0059312076672869045
quantity_level=1vs2,Main Effect,0.11221859981431778,Negative (Promotes 0),NEG,quantity_level=1vs2,-,0.005640504665670723
person2_gender=female & person3_color=black,Interaction,0.11158871796204702,Interference (-),NEG,person2_gender=female,person3_color=black,0.005608844570709341
person1_profession=high & person2_profession=high,Interaction,0.11091351650397142,Interference (-),NEG,person1_profession=high,person2_profession=high,0.005574906551692487
quantity_level=1vs10 & person3_gender=female,Interaction,0.10941305272827638,Interference (-),NEG,quantity_level=1vs10,person3_gender=female,0.005499487922860175
person3_color=black & person3_profession=high,Interaction,0.108346712793233,Synergy (+),POS,person3_color=black,person3_profession=high,0.005445889897321135
person2_profession=high & person3_color=black,Interaction,0.107101531630206,Interference (-),NEG,person2_profession=high,person3_color=black,0.005383302677633129
