Feature,Type,Importance,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person3_color=black,Main Effect,0.07454297924008513,Negative (Promotes 0),NEG,person3_color=black,-,0.09325040964547428
person3_color=white,Main Effect,0.07225523371137851,Positive (Promotes 1),POS,person3_color=white,-,0.09038852768299732
person3_gender=female,Main Effect,0.04465824356123205,Negative (Promotes 0),NEG,person3_gender=female,-,0.05586575085387608
person3_gender=male,Main Effect,0.04310112522104969,Positive (Promotes 1),POS,person3_gender=male,-,0.05391785549781813
person2_color=white,Main Effect,0.03272667461895005,Negative (Promotes 0),NEG,person2_color=white,-,0.04093981546836486
person2_color=black,Main Effect,0.031244609415617904,Positive (Promotes 1),POS,person2_color=black,-,0.03908580870956728
person2_color=white & person3_color=black,Interaction,0.02425363286973834,Interference (-),NEG,person2_color=white,person3_color=black,0.030340365029009234
person2_color=white & person3_color=white,Interaction,0.02338507573710296,Interference (-),NEG,person2_color=white,person3_color=white,0.029253833349642253
person1_color=white,Main Effect,0.02264839786570688,Negative (Promotes 0),NEG,person1_color=white,-,0.02833227757088556
person2_color=black & person3_color=black,Interaction,0.02208907360777224,Interference (-),NEG,person2_color=black,person3_color=black,0.02763258436424473
person1_color=black,Main Effect,0.021925007222192146,Positive (Promotes 1),POS,person1_color=black,-,0.02742734360488199
person2_color=black & person3_color=white,Interaction,0.020667872238270192,Interference (-),NEG,person2_color=black,person3_color=white,0.02585471592853417
person1_color=white & person2_color=black,Interaction,0.015458786857902536,Synergy (+),POS,person1_color=white,person2_color=black,0.019338349792522185
person1_color=black & person2_color=white,Interaction,0.015377426137372929,Synergy (+),POS,person1_color=black,person2_color=white,0.019236570649861395
person1_color=white & person2_color=white,Interaction,0.01463347115686728,Synergy (+),POS,person1_color=white,person2_color=white,0.018305911486555013
person1_profession=low,Main Effect,0.013847289445619358,Negative (Promotes 0),NEG,person1_profession=low,-,0.017322428301726447
person1_color=black & person2_color=black,Interaction,0.013289196391361347,Synergy (+),POS,person1_color=black,person2_color=black,0.01662427528369054
person1_profession=high,Main Effect,0.01309476422375321,Positive (Promotes 1),POS,person1_profession=high,-,0.01638104809499285
person2_gender=male,Main Effect,0.011394643261891995,Negative (Promotes 0),NEG,person2_gender=male,-,0.014254261940795732
person2_gender=female,Main Effect,0.01118433700541514,Positive (Promotes 1),POS,person2_gender=female,-,0.013991176875409357
