Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person1_color=black & person2_color=black,Interaction,1.3155942,1.2953066200017929,1.3381033301353455,0.021398355066776342,Synergy (+),POS,person1_color=black,person2_color=black,0.07030429
person3_color=black,Main Effect,1.2080363,1.1892154961824417,1.2279072284698487,0.019345866143703483,Negative (Promotes 0),NEG,person3_color=black,-,0.06455648
person2_color=black & person3_color=black,Interaction,1.0648217,1.0440515488386155,1.0852849334478378,0.02061669230461116,Synergy (+),POS,person2_color=black,person3_color=black,0.05690321
person3_gender=female,Main Effect,0.9508482,0.9328884154558181,0.9689732104539871,0.018042397499084484,Negative (Promotes 0),NEG,person3_gender=female,-,0.05081256
person1_color=black,Main Effect,0.5379367,0.5204488024115562,0.5555644035339355,0.017557800561189663,Positive (Promotes 1),POS,person1_color=black,-,0.028746901
person2_color=black,Main Effect,0.51115465,0.49483327344059946,0.5262746572494507,0.0157206919044256,Positive (Promotes 1),POS,person2_color=black,-,0.027315691
person3_color=black & person3_gender=female,Interaction,0.4046456,0.3870380863547325,0.4227536998689175,0.017857806757092476,Synergy (+),POS,person3_color=black,person3_gender=female,0.021623934
person2_gender=female,Main Effect,0.4032579,0.39157174676656725,0.41422256305813787,0.01132540814578531,Positive (Promotes 1),POS,person2_gender=female,-,0.021549776
person1_profession=high,Main Effect,0.40079454,0.390367416292429,0.4120387099683285,0.010835646837949742,Positive (Promotes 1),POS,person1_profession=high,-,0.021418136
person1_color=black & person3_gender=female,Interaction,0.32856488,0.31313339471817014,0.3447596102952957,0.01581310778856279,Synergy (+),POS,person1_color=black,person3_gender=female,0.017558241
person3_profession=high,Main Effect,0.2995055,0.2895264118909836,0.30963036641478536,0.01005197726190088,Negative (Promotes 0),NEG,person3_profession=high,-,0.016005332
person1_gender=female,Main Effect,0.2913531,0.2822683185338974,0.3008389241993427,0.009285302832722664,Negative (Promotes 0),NEG,person1_gender=female,-,0.015569674
person2_profession=high & person3_profession=high,Interaction,0.29055512,0.28246756717562677,0.2993738442659378,0.00845313854515553,Interference (-),NEG,person2_profession=high,person3_profession=high,0.01552703
person1_color=black & person3_color=black,Interaction,0.28266004,0.27047272175550463,0.2946535013616085,0.012090389803051937,Synergy (+),POS,person1_color=black,person3_color=black,0.015105124
person2_profession=high,Main Effect,0.24916354,0.2407090026885271,0.2577055975794792,0.008498297445476047,Negative (Promotes 0),NEG,person2_profession=high,-,0.013315097
person2_color=black & person3_gender=female,Interaction,0.23669243,0.22699498236179352,0.24663373455405235,0.009819376096129415,Synergy (+),POS,person2_color=black,person3_gender=female,0.012648652
person1_gender=female & person3_gender=female,Interaction,0.2333723,0.2249504428356886,0.24211244359612466,0.008581000380218029,Synergy (+),POS,person1_gender=female,person3_gender=female,0.012471227
quantity_level=1vs1 & person1_color=black,Interaction,0.21516396,0.2031670406460762,0.22754692658782005,0.01218994297087192,Interference (-),NEG,quantity_level=1vs1,person1_color=black,0.011498188
person2_color=black & person2_profession=high,Interaction,0.2123153,0.20482337810099124,0.2199486568570137,0.007562639378011229,Synergy (+),POS,person2_color=black,person2_profession=high,0.011345958
person1_color=black & person2_gender=female,Interaction,0.21068548,0.20262392088770867,0.2183234639465809,0.007849771529436111,Synergy (+),POS,person1_color=black,person2_gender=female,0.011258861
person2_color=black & person2_gender=female,Interaction,0.20892872,0.2015663083642721,0.21592951975762845,0.007181605696678167,Synergy (+),POS,person2_color=black,person2_gender=female,0.011164982
person2_gender=female & person3_gender=female,Interaction,0.2056773,0.19929980337619782,0.21228788420557976,0.006494040414690969,Synergy (+),POS,person2_gender=female,person3_gender=female,0.010991229
quantity_level=1vs1,Main Effect,0.20394215,0.19358075708150863,0.21459683664143087,0.01050803977996112,Positive (Promotes 1),POS,quantity_level=1vs1,-,0.0108985035
person3_color=black & person3_profession=high,Interaction,0.20220923,0.19529242664575577,0.20950011275708674,0.007103843055665485,Synergy (+),POS,person3_color=black,person3_profession=high,0.010805897
