Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,0.9349490011439701,0.9141045511525974,0.9549547891990431,0.02042511902322286,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.09426433185541601
person2_color=black & person3_color=white,Interaction,0.40650767532028337,0.4029870277745439,0.41025584098241213,0.003634406603934104,Synergy (+),POS,person2_color=black,person3_color=white,0.040985309745535776
quantity_level=1vs5,Main Effect,0.38071012513489294,0.37234854498050207,0.3897166270763714,0.00868404104793466,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.038384324206477555
person3_color=white,Main Effect,0.38048785127110085,0.37767683969975446,0.3832138847811089,0.0027685225406772207,Positive (Promotes 1),POS,person3_color=white,-,0.03836191389614657
person3_color=black,Main Effect,0.27203122214199627,0.2696464673884204,0.27435504844500447,0.00235429052829203,Negative (Promotes 0),NEG,person3_color=black,-,0.02742699480683103
person2_color=white & person3_color=black,Interaction,0.2525313471527584,0.25022350636655266,0.2550159508706537,0.0023962222520505227,Synergy (+),POS,person2_color=white,person3_color=black,0.025460959563330516
person2_color=black,Main Effect,0.2252248873973365,0.222551259010401,0.22787003247742155,0.00265938673351028,Negative (Promotes 0),NEG,person2_color=black,-,0.02270784128518683
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.21367552700457218,0.20831348696018379,0.21929364364353765,0.005490078341676932,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.021543400508792342
quantity_level=1vs10,Main Effect,0.2106640523147648,0.2057322154407784,0.21528104756665534,0.0047744160629384635,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.0212397746969172
person2_color=black & person3_color=black,Interaction,0.20086802541011328,0.19872152711138485,0.20305979149799722,0.002169132193306181,Synergy (+),POS,person2_color=black,person3_color=black,0.020252110204121557
