Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person2_color=black & person3_color=black,Interaction,1.213134303861087,1.2008240528284082,1.2256351175142086,0.012405532342900205,Synergy (+),POS,person2_color=black,person3_color=black,0.08718990777109348
quantity_level=1vs1,Main Effect,0.9684317371702814,0.9450071277753463,0.9914978931016789,0.02324538266316628,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.06960274190395443
person3_color=black,Main Effect,0.7900170801871225,0.782115477305235,0.797682004002367,0.007783263348565994,Negative (Promotes 0),NEG,person3_color=black,-,0.05677979440518007
quantity_level=1vs5,Main Effect,0.4738150369858154,0.46094825744076173,0.4862271126571577,0.012639427608197973,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.034053846506413694
person2_color=black,Main Effect,0.4593388684687561,0.4518497726982349,0.46631228808092556,0.007231257691345333,Negative (Promotes 0),NEG,person2_color=black,-,0.0330134210614617
quantity_level=1vs2,Main Effect,0.3951962350418251,0.3886044780829196,0.4017056957659674,0.006550608841523892,Negative (Promotes 0),NEG,quantity_level=1vs2,-,0.028403387139504806
person1_color=black,Main Effect,0.3708717028560438,0.36507284123056655,0.3762983064102217,0.005612732589827585,Negative (Promotes 0),NEG,person1_color=black,-,0.026655144005085847
person3_gender=female,Main Effect,0.28680398162903636,0.2812835600182176,0.29195732719117806,0.00533688358648024,Negative (Promotes 0),NEG,person3_gender=female,-,0.020613062071552377
quantity_level=1vs10,Main Effect,0.22562967426483158,0.2183692634140563,0.2326759662040773,0.007153351395010499,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.016216366503658933
person1_color=black & person3_color=black,Interaction,0.20860911707549473,0.20486706021831738,0.21217688214789243,0.003654910964787525,Synergy (+),POS,person1_color=black,person3_color=black,0.014993071764710694
person1_profession=high,Main Effect,0.2035753963808309,0.19809176178133553,0.2087556657572766,0.00533195198797054,Negative (Promotes 0),NEG,person1_profession=high,-,0.014631290186433405
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.19623164594737566,0.19200536017088823,0.20017362865535984,0.004084134242235804,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.0141034830665218
person1_gender=female,Main Effect,0.18945271818838316,0.1838807221437838,0.19497646739999294,0.005547872628104578,Negative (Promotes 0),NEG,person1_gender=female,-,0.013616270657959706
person1_profession=high & person2_profession=high,Interaction,0.17383701015145903,0.16963961686597878,0.17789585323815196,0.004128118186086591,Synergy (+),POS,person1_profession=high,person2_profession=high,0.012493944680377223
quantity_level=1vs1 & person3_color=black,Interaction,0.17378502294033812,0.16870719472531226,0.17893253749662233,0.005112671385655035,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.012490208276148539
quantity_level=1vs1 & person2_color=black,Interaction,0.1688126445292116,0.1638232599956707,0.17397694041492767,0.00507684020962848,Synergy (+),POS,quantity_level=1vs1,person2_color=black,0.012132835466156067
quantity_level=1vs10 & person3_color=black,Interaction,0.15529739584540023,0.1493680705498872,0.16166090442720632,0.006146416938659555,Synergy (+),POS,quantity_level=1vs10,person3_color=black,0.011161472870527215
quantity_level=1vs5 & person1_gender=female,Interaction,0.15394138365934315,0.14701372433097523,0.16066319620330752,0.006824735936166143,Interference (-),NEG,quantity_level=1vs5,person1_gender=female,0.011064014100247207
person3_profession=high,Main Effect,0.15088243576556173,0.1466015012440347,0.15538053520979977,0.004389516982882535,Positive (Promotes 1),POS,person3_profession=high,-,0.010844162609866861
person1_gender=female & person2_color=black,Interaction,0.13799034831500612,0.1338771000133186,0.14254645820379003,0.004334679095235716,Synergy (+),POS,person1_gender=female,person2_color=black,0.009917587611358263
quantity_level=1vs5 & person1_color=black,Interaction,0.13469878111546046,0.12912342210110583,0.14025984003932265,0.00556820896910841,Synergy (+),POS,quantity_level=1vs5,person1_color=black,0.009681017398449995
person1_gender=female & person3_color=black,Interaction,0.12812047498118914,0.1229864670272579,0.1330313581234508,0.005022445548096444,Synergy (+),POS,person1_gender=female,person3_color=black,0.009208223987768558
quantity_level=1vs5 & person1_profession=high,Interaction,0.12217613837542957,0.11756626578804723,0.12690641957754917,0.00467007689475097,Interference (-),NEG,quantity_level=1vs5,person1_profession=high,0.00878099498371934
quantity_level=1vs5 & person3_color=black,Interaction,0.11786174050663076,0.11277965163228688,0.12301365162263785,0.005116999995175481,Synergy (+),POS,quantity_level=1vs5,person3_color=black,0.00847091229042552
person1_gender=female & person2_gender=female,Interaction,0.1135201996576042,0.11015113210573575,0.11699842760564519,0.0034236477499547183,Interference (-),NEG,person1_gender=female,person2_gender=female,0.008158878787616909
person2_gender=female,Main Effect,0.11249888963458297,0.10899206321846201,0.11608693790262072,0.0035474373420793515,Positive (Promotes 1),POS,person2_gender=female,-,0.008085475598514516
person2_profession=high & person3_profession=high,Interaction,0.11099923724131303,0.10752112093483927,0.11453893875826716,0.0035089089117139455,Synergy (+),POS,person2_profession=high,person3_profession=high,0.007977693176204184
person2_profession=high,Main Effect,0.11046725721846003,0.10697116709739561,0.11403442725838761,0.0035316300804959996,Negative (Promotes 0),NEG,person2_profession=high,-,0.007939458918891543
person2_gender=female & person3_gender=female,Interaction,0.10995351012865368,0.10619031463080478,0.11407578870321589,0.003942737036205554,Synergy (+),POS,person2_gender=female,person3_gender=female,0.007902535091714851
person2_color=black & person3_profession=high,Interaction,0.10976631456039652,0.1060567353849294,0.11353831366846467,0.0037407891417676406,Synergy (+),POS,person2_color=black,person3_profession=high,0.00788908104604196
person1_gender=female & person2_profession=high,Interaction,0.10719694848003765,0.1038481680551302,0.11061031921294531,0.003381075578907558,Interference (-),NEG,person1_gender=female,person2_profession=high,0.007704416585673754
quantity_level=1vs5 & person2_color=black,Interaction,0.10704842554169816,0.10251818961551723,0.11160763383097938,0.004544722107731075,Synergy (+),POS,quantity_level=1vs5,person2_color=black,0.007693742003927531
quantity_level=1vs10 & person2_color=black,Interaction,0.10304780842545003,0.09785851212776649,0.1079731687445241,0.005057328308378808,Synergy (+),POS,quantity_level=1vs10,person2_color=black,0.0074062112364906936
person3_color=black & person3_profession=high,Interaction,0.10148243012201442,0.0978813913445735,0.10490627152026372,0.003512440087845105,Synergy (+),POS,person3_color=black,person3_profession=high,0.007293704987620288
person1_color=black & person2_color=black,Interaction,0.09987018962407568,0.09657950166461408,0.10312025951185233,0.003270378923619123,Synergy (+),POS,person1_color=black,person2_color=black,0.00717783067768387
person2_profession=high & person3_color=black,Interaction,0.09223659040114447,0.08925331748420814,0.09537305072419303,0.0030598666199924407,Interference (-),NEG,person2_profession=high,person3_color=black,0.0066291916604781734
person1_color=black & person1_profession=high,Interaction,0.08871656840425064,0.0856497745478793,0.09145285419301305,0.0029015398225668773,Interference (-),NEG,person1_color=black,person1_profession=high,0.006376202034939948
