Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person2_color=black & person3_color=black,Interaction,1.2209462,1.2017228186130524,1.2410962104797363,0.019686695933341936,Synergy (+),POS,person2_color=black,person3_color=black,0.08433877
quantity_level=1vs1,Main Effect,0.86865103,0.8548468723893166,0.8841266065835953,0.01463986709713938,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.060003426
person3_color=black,Main Effect,0.4536917,0.4391032844781876,0.46784823313355445,0.014372474327683432,Negative (Promotes 0),NEG,person3_color=black,-,0.031339463
quantity_level=1vs2,Main Effect,0.35408324,0.3487142249941826,0.3594287306070328,0.0053572528064251,Negative (Promotes 0),NEG,quantity_level=1vs2,-,0.024458854
person2_color=black,Main Effect,0.35312366,0.3421586900949478,0.3648007199168205,0.011321014910936344,Negative (Promotes 0),NEG,person2_color=black,-,0.02439257
person1_color=black,Main Effect,0.32958263,0.31988398656249045,0.338919036090374,0.00951752476394177,Negative (Promotes 0),NEG,person1_color=black,-,0.022766436
person3_gender=female,Main Effect,0.29722264,0.2886939875781536,0.3067451946437359,0.009025603532791138,Negative (Promotes 0),NEG,person3_gender=female,-,0.020531118
quantity_level=1vs1 & person2_color=black,Interaction,0.27386263,0.26405698210000994,0.28370514065027236,0.009824079275131209,Synergy (+),POS,quantity_level=1vs1,person2_color=black,0.01891749
quantity_level=1vs1 & person3_color=black,Interaction,0.26925868,0.2616523452103138,0.2767350599169731,0.00754135735332967,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.018599464
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.26812238,0.26447957158088686,0.2723004147410393,0.0039104215800762065,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.018520972
person1_color=black & person3_color=black,Interaction,0.24322793,0.23548611626029015,0.2505026556551456,0.0075082696974277385,Synergy (+),POS,person1_color=black,person3_color=black,0.01680135
person1_profession=high,Main Effect,0.2295753,0.22127883024513723,0.2373620342463255,0.00804160200059413,Negative (Promotes 0),NEG,person1_profession=high,-,0.015858272
person1_gender=female,Main Effect,0.22801241,0.22033621966838837,0.2360238667577505,0.007843823544681064,Negative (Promotes 0),NEG,person1_gender=female,-,0.015750313
person3_profession=high,Main Effect,0.2214632,0.21379246562719345,0.22929518185555936,0.007751358114182955,Positive (Promotes 1),POS,person3_profession=high,-,0.015297917
person1_profession=high & person2_profession=high,Interaction,0.22052297,0.2137938603758812,0.22657388895750047,0.00639001429080964,Interference (-),NEG,person1_profession=high,person2_profession=high,0.015232969
person2_gender=female,Main Effect,0.21861912,0.2112624529749155,0.22674911431968212,0.007743330672383308,Positive (Promotes 1),POS,person2_gender=female,-,0.015101458
person2_profession=high,Main Effect,0.21239363,0.2054625302553177,0.21965234205126763,0.007094905897974971,Positive (Promotes 1),POS,person2_profession=high,-,0.014671422
person1_color=black & person2_color=black,Interaction,0.17845057,0.17195951752364635,0.18462227061390876,0.006331376545131204,Synergy (+),POS,person1_color=black,person2_color=black,0.012326752
person3_color=black & person3_profession=high,Interaction,0.16826232,0.1621545996516943,0.17493139654397966,0.006388398446142682,Synergy (+),POS,person3_color=black,person3_profession=high,0.011622982
person2_color=black & person3_profession=high,Interaction,0.16781092,0.16143271438777446,0.1743590511381626,0.0064631683751940755,Synergy (+),POS,person2_color=black,person3_profession=high,0.011591801
person2_gender=female & person3_gender=female,Interaction,0.1648216,0.15962265580892562,0.17072700075805186,0.005552172474563119,Synergy (+),POS,person2_gender=female,person3_gender=female,0.0113853095
person1_gender=female & person2_profession=high,Interaction,0.15868525,0.1534911535680294,0.1641603983938694,0.005334622412920001,Interference (-),NEG,person1_gender=female,person2_profession=high,0.010961432
person1_gender=female & person2_color=black,Interaction,0.15799148,0.15253399200737477,0.16324578151106833,0.005355894751846779,Synergy (+),POS,person1_gender=female,person2_color=black,0.010913509
person1_gender=female & person2_gender=female,Interaction,0.1567323,0.1516514390707016,0.1615412149578333,0.0049448879435658455,Synergy (+),POS,person1_gender=female,person2_gender=female,0.010826529
person3_profession=high & person3_gender=female,Interaction,0.15372509,0.14801553636789322,0.15957825481891633,0.005781359225511554,Synergy (+),POS,person3_profession=high,person3_gender=female,0.0106188
person2_profession=high & person3_profession=high,Interaction,0.15177889,0.14697781763970852,0.15693098232150077,0.004976582340896124,Synergy (+),POS,person2_profession=high,person3_profession=high,0.010484364
person2_profession=high & person3_gender=female,Interaction,0.15072829,0.14572675414383413,0.1560455985367298,0.005159422196447841,Synergy (+),POS,person2_profession=high,person3_gender=female,0.0104117915
person1_color=black & person3_profession=high,Interaction,0.14787652,0.14301410429179667,0.15302166230976583,0.005003779008984577,Synergy (+),POS,person1_color=black,person3_profession=high,0.010214801
person1_gender=female & person3_color=black,Interaction,0.14718895,0.14159608744084834,0.15278980173170567,0.005596857145428666,Synergy (+),POS,person1_gender=female,person3_color=black,0.010167306
quantity_level=1vs5,Main Effect,0.14710307,0.13821428529918195,0.15573447123169898,0.008760092966258515,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.010161375
person2_profession=high & person3_color=black,Interaction,0.14664312,0.14130966402590275,0.15235750786960126,0.005523921921849251,Synergy (+),POS,person2_profession=high,person3_color=black,0.010129603
person2_color=black & person2_gender=female,Interaction,0.1449721,0.14004188887774943,0.14995336756110192,0.0049557393416762435,Synergy (+),POS,person2_color=black,person2_gender=female,0.0100141745
quantity_level=1vs5 & person2_color=black,Interaction,0.14406377,0.13461513593792915,0.153853215649724,0.009619039855897432,Synergy (+),POS,quantity_level=1vs5,person2_color=black,0.00995143
person2_gender=female & person3_color=black,Interaction,0.14320178,0.1380457479506731,0.14841239377856255,0.0051833229139447295,Synergy (+),POS,person2_gender=female,person3_color=black,0.009891887
person1_gender=female & person3_gender=female,Interaction,0.14172491,0.13689569756388664,0.1463558066636324,0.004730054549872881,Interference (-),NEG,person1_gender=female,person3_gender=female,0.00978987
person2_profession=high & person2_gender=female,Interaction,0.14166985,0.1367670189589262,0.1465340681374073,0.0048835245892405454,Synergy (+),POS,person2_profession=high,person2_gender=female,0.009786067
person1_color=black & person1_profession=high,Interaction,0.14134753,0.13635175302624702,0.1466377880424261,0.005143017508089542,Interference (-),NEG,person1_color=black,person1_profession=high,0.0097638015
person1_profession=high & person3_gender=female,Interaction,0.13913946,0.1340911328792572,0.14412370957434179,0.005016288347542294,Synergy (+),POS,person1_profession=high,person3_gender=female,0.009611275
person1_profession=high & person3_color=black,Interaction,0.13896698,0.13377063311636447,0.1434409696608782,0.004835168272256857,Synergy (+),POS,person1_profession=high,person3_color=black,0.009599361
person1_profession=high & person1_gender=female,Interaction,0.13856988,0.13393722623586654,0.1436310838907957,0.004846928827464583,Interference (-),NEG,person1_profession=high,person1_gender=female,0.00957193
person1_profession=high & person2_color=black,Interaction,0.13837722,0.13362182341516018,0.1433326430618763,0.004855409823358053,Synergy (+),POS,person1_profession=high,person2_color=black,0.009558623
quantity_level=1vs10,Main Effect,0.136953,0.1289501290768385,0.14506129249930383,0.008055581711232662,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.009460242
person2_color=black & person3_gender=female,Interaction,0.13606627,0.13104413338005544,0.14119680225849152,0.005076334439218039,Synergy (+),POS,person2_color=black,person3_gender=female,0.00939899
person3_color=black & person3_gender=female,Interaction,0.13598865,0.1309263903647661,0.14102232605218887,0.005047967843711379,Synergy (+),POS,person3_color=black,person3_gender=female,0.009393629
person1_color=black & person2_gender=female,Interaction,0.13572459,0.13064478933811188,0.14051560647785663,0.004935408569872374,Interference (-),NEG,person1_color=black,person2_gender=female,0.009375388
person1_profession=high & person2_gender=female,Interaction,0.1356008,0.13067778684198855,0.14052819237112998,0.004925202764570716,Interference (-),NEG,person1_profession=high,person2_gender=female,0.009366837
quantity_level=1vs5 & person1_color=black,Interaction,0.13552214,0.12637629844248294,0.14511860497295856,0.009371153265237811,Synergy (+),POS,quantity_level=1vs5,person1_color=black,0.009361404
person2_gender=female & person3_profession=high,Interaction,0.13416274,0.13006835132837297,0.13837896324694157,0.004155305959284303,Synergy (+),POS,person2_gender=female,person3_profession=high,0.009267501
quantity_level=1vs5 & person3_color=black,Interaction,0.13409612,0.12555094435811043,0.14285107627511023,0.008650065958499903,Synergy (+),POS,quantity_level=1vs5,person3_color=black,0.009262899
quantity_level=1vs10 & person3_color=black,Interaction,0.12950438,0.1217016389593482,0.1379042647778988,0.0081013129092753,Synergy (+),POS,quantity_level=1vs10,person3_color=black,0.0089457175
person1_gender=female & person3_profession=high,Interaction,0.1289318,0.1247103800997138,0.1338109914213419,0.004550305660814047,Synergy (+),POS,person1_gender=female,person3_profession=high,0.008906166
person1_color=black & person2_profession=high,Interaction,0.12646107,0.12234660461544991,0.13092757426202298,0.004290484823286533,Synergy (+),POS,person1_color=black,person2_profession=high,0.008735497
person2_color=black & person2_profession=high,Interaction,0.12521909,0.12095680981874465,0.129496481269598,0.004269835725426677,Synergy (+),POS,person2_color=black,person2_profession=high,0.008649704
person1_color=black & person1_gender=female,Interaction,0.1240805,0.1202554613351822,0.12839021980762483,0.004067379236221316,Synergy (+),POS,person1_color=black,person1_gender=female,0.008571055
person1_profession=high & person3_profession=high,Interaction,0.120182246,0.1158967463299632,0.12475417014211417,0.00442871190607548,Synergy (+),POS,person1_profession=high,person3_profession=high,0.008301777
person1_color=black & person3_gender=female,Interaction,0.1198266,0.11584171764552594,0.12437749449163675,0.004267888423055408,Synergy (+),POS,person1_color=black,person3_gender=female,0.0082772095
quantity_level=1vs10 & person2_color=black,Interaction,0.11402909,0.10656348243355751,0.12130565252155065,0.00737108504399657,Synergy (+),POS,quantity_level=1vs10,person2_color=black,0.007876737
quantity_level=1vs5 & person1_profession=high,Interaction,0.11324566,0.105916859023273,0.12047125492244959,0.007277197949588296,Synergy (+),POS,quantity_level=1vs5,person1_profession=high,0.007822621
quantity_level=1vs5 & person1_gender=female,Interaction,0.103989765,0.09706768859177828,0.11086833458393812,0.00690032299607992,Synergy (+),POS,quantity_level=1vs5,person1_gender=female,0.0071832556
quantity_level=1vs10 & person2_profession=high,Interaction,0.09841658,0.09281123653054238,0.1038770753890276,0.005532919429242611,Synergy (+),POS,quantity_level=1vs10,person2_profession=high,0.006798279
quantity_level=1vs1 & person3_profession=high,Interaction,0.09702768,0.0936640502884984,0.10076925661414861,0.003552603162825102,Synergy (+),POS,quantity_level=1vs1,person3_profession=high,0.006702339
quantity_level=1vs1 & person2_profession=high,Interaction,0.09570074,0.0926827386021614,0.09876614026725292,0.003041700832545756,Synergy (+),POS,quantity_level=1vs1,person2_profession=high,0.006610678
