Feature,Type,Importance,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person2_color=black & person3_color=black,Interaction,0.7007058606200907,Synergy (+),POS,person2_color=black,person3_color=black,0.05457422610541613
person1_profession=high,Main Effect,0.6384076466481132,Negative (Promotes 0),NEG,person1_profession=high,-,0.04972215192373087
person3_color=black,Main Effect,0.5982557441331563,Negative (Promotes 0),NEG,person3_color=black,-,0.0465949353132194
person3_gender=female,Main Effect,0.4481195223866039,Negative (Promotes 0),NEG,person3_gender=female,-,0.03490162921619556
person2_color=black,Main Effect,0.3054985748156747,Negative (Promotes 0),NEG,person2_color=black,-,0.023793647568637145
person1_color=black & person3_color=black,Interaction,0.2610056520582302,Synergy (+),POS,person1_color=black,person3_color=black,0.02032833214440652
person1_color=black,Main Effect,0.2526879821690045,Positive (Promotes 1),POS,person1_color=black,-,0.019680513390895445
quantity_level=1vs2,Main Effect,0.23286449565144707,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.018136568211887718
person2_profession=high,Main Effect,0.208604121839635,Negative (Promotes 0),NEG,person2_profession=high,-,0.016247057648017052
person2_gender=female & person3_gender=female,Interaction,0.18384552510158114,Interference (-),NEG,person2_gender=female,person3_gender=female,0.014318743169186179
person1_profession=high & person3_gender=female,Interaction,0.17323037646964232,Synergy (+),POS,person1_profession=high,person3_gender=female,0.013491986103005279
person2_color=black & person3_gender=female,Interaction,0.17167057583406578,Synergy (+),POS,person2_color=black,person3_gender=female,0.01337050158667771
person1_profession=high & person2_profession=high,Interaction,0.16249296373783761,Synergy (+),POS,person1_profession=high,person2_profession=high,0.01265570654100174
person3_color=black & person3_gender=female,Interaction,0.15746931216084445,Interference (-),NEG,person3_color=black,person3_gender=female,0.012264441229198815
person2_profession=high & person3_profession=high,Interaction,0.15584876034849407,Interference (-),NEG,person2_profession=high,person3_profession=high,0.012138225129130114
person3_profession=high,Main Effect,0.15221455318024957,Positive (Promotes 1),POS,person3_profession=high,-,0.011855176199671776
person1_gender=female,Main Effect,0.1443796689218795,Positive (Promotes 1),POS,person1_gender=female,-,0.011244959032874194
quantity_level=1vs10,Main Effect,0.1368585710031671,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.010659181003254817
person1_gender=female & person3_profession=high,Interaction,0.13349701118523996,Synergy (+),POS,person1_gender=female,person3_profession=high,0.010397367115458748
person2_color=black & person3_profession=high,Interaction,0.13191839192281912,Synergy (+),POS,person2_color=black,person3_profession=high,0.01027441691708952
person1_profession=high & person2_color=black,Interaction,0.13051144626909542,Interference (-),NEG,person1_profession=high,person2_color=black,0.01016483745652043
person2_gender=female,Main Effect,0.12930685717518534,Positive (Promotes 1),POS,person2_gender=female,-,0.01007101846445864
person1_profession=high & person1_gender=female,Interaction,0.12808404558914965,Interference (-),NEG,person1_profession=high,person1_gender=female,0.009975780220095194
person1_gender=female & person2_gender=female,Interaction,0.12421083651883719,Interference (-),NEG,person1_gender=female,person2_gender=female,0.009674116712714618
