Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person1_profession=low,Main Effect,0.017315522836225894,0.017263889146967415,0.01736879677692497,5.245381497877809e-05,Positive (Promotes 1),POS,person1_profession=low,-,0.06475248087631534
person1_profession=high,Main Effect,0.016269264775141325,0.01622206122990676,0.016318561390246344,4.825008016979236e-05,Negative (Promotes 0),NEG,person1_profession=high,-,0.0608399334047291
person3_color=white,Main Effect,0.015393959735635088,0.015334469604320534,0.015447578064519824,5.6554230099644526e-05,Positive (Promotes 1),POS,person3_color=white,-,0.05756667545187114
person3_color=black,Main Effect,0.0138152804516685,0.013763319483186487,0.013866343562489303,5.151203965140811e-05,Negative (Promotes 0),NEG,person3_color=black,-,0.05166310550993329
person1_color=white,Main Effect,0.010329582898739607,0.0102843004506854,0.010373568956907156,4.4634253110877736e-05,Negative (Promotes 0),NEG,person1_color=white,-,0.03862812145132644
person1_color=black,Main Effect,0.009644435700364967,0.009600905493641919,0.009688609960253603,4.3852233305842134e-05,Positive (Promotes 1),POS,person1_color=black,-,0.036065970641337694
person3_gender=female,Main Effect,0.007981897078781797,0.007950577222248062,0.008012183728717332,3.0803253234634904e-05,Negative (Promotes 0),NEG,person3_gender=female,-,0.02984880346028224
person3_gender=male,Main Effect,0.007504597020000147,0.0074772901861951905,0.0075317293884116275,2.7219601108218524e-05,Positive (Promotes 1),POS,person3_gender=male,-,0.028063910031372104
person2_color=black & person3_color=white,Interaction,0.007180359284192605,0.007109074033797786,0.007246805349243909,6.886565772306176e-05,Synergy (+),POS,person2_color=black,person3_color=white,0.02685140273454746
person2_color=white & person3_color=white,Interaction,0.006337547841696691,0.006272937191049259,0.006399226379141025,6.314459404588302e-05,Synergy (+),POS,person2_color=white,person3_color=white,0.023699656620454874
person2_color=white & person3_color=black,Interaction,0.005994769718492992,0.005932741887794944,0.006054724493096449,6.099130265075237e-05,Synergy (+),POS,person2_color=white,person3_color=black,0.022417816385106565
person2_color=black & person3_color=black,Interaction,0.005869921553050935,0.005813007088970221,0.005924403702181196,5.5698306605487385e-05,Synergy (+),POS,person2_color=black,person3_color=black,0.02195093886014285
