Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person2_color=black & person3_color=black,Interaction,0.86178875,0.8467977613210678,0.8773544892668724,0.015278363972902331,Synergy (+),POS,person2_color=black,person3_color=black,0.053767666
person1_profession=high,Main Effect,0.5243966,0.5079110234975814,0.5415855914354324,0.016837283968925476,Negative (Promotes 0),NEG,person1_profession=high,-,0.032717507
person3_color=black,Main Effect,0.47085884,0.45450344532728193,0.4848478436470032,0.015172199159860622,Negative (Promotes 0),NEG,person3_color=black,-,0.029377246
person3_gender=female,Main Effect,0.39803508,0.3854337505996227,0.41025504022836684,0.012410644814372068,Negative (Promotes 0),NEG,person3_gender=female,-,0.024833716
person1_color=black,Main Effect,0.3755423,0.362906564027071,0.38833531737327576,0.012714376673102379,Positive (Promotes 1),POS,person1_color=black,-,0.023430375
person2_color=black,Main Effect,0.3436596,0.3325790673494339,0.3546012707054615,0.011011101678013807,Negative (Promotes 0),NEG,person2_color=black,-,0.021441188
person3_profession=high,Main Effect,0.31834567,0.30842708274722097,0.32818678990006445,0.009879853576421738,Positive (Promotes 1),POS,person3_profession=high,-,0.019861832
person2_profession=high,Main Effect,0.3165909,0.30632342770695686,0.3267440654337406,0.010210318863391882,Negative (Promotes 0),NEG,person2_profession=high,-,0.019752352
person1_color=black & person3_color=black,Interaction,0.3060476,0.29743074253201485,0.3143207974731922,0.008445027470588673,Synergy (+),POS,person1_color=black,person3_color=black,0.019094545
person2_gender=female,Main Effect,0.29466665,0.28489669412374496,0.3045137979090214,0.009808551892638212,Positive (Promotes 1),POS,person2_gender=female,-,0.018384479
person1_gender=female,Main Effect,0.28927705,0.27912971675395964,0.2997751638293266,0.010322723537683487,Positive (Promotes 1),POS,person1_gender=female,-,0.018048218
person1_profession=high & person3_gender=female,Interaction,0.26012084,0.24975217692553997,0.2704464577138424,0.010347140394151216,Synergy (+),POS,person1_profession=high,person3_gender=female,0.01622914
person1_profession=high & person2_profession=high,Interaction,0.25939512,0.2500427201390266,0.2692818000912666,0.00961953997612,Synergy (+),POS,person1_profession=high,person2_profession=high,0.016183862
person2_gender=female & person3_gender=female,Interaction,0.25891402,0.2512531027197838,0.26746506318449975,0.008105980232357979,Synergy (+),POS,person2_gender=female,person3_gender=female,0.016153846
