Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person3_color=black,Main Effect,2.489017350974382,2.478177078433145,2.49929280964393,0.010557865605392625,Negative (Promotes 0),NEG,person3_color=black,-,0.08819280298553098
person2_color=black & person3_color=black,Interaction,1.6275532232592362,1.614017197818714,1.641389151113583,0.013685976647434539,Synergy (+),POS,person2_color=black,person3_color=black,0.05766873449523217
person1_gender=female,Main Effect,0.8548560435635363,0.8465715875083365,0.8634857680887751,0.008457090290219293,Negative (Promotes 0),NEG,person1_gender=female,-,0.030289925701592835
person2_gender=female,Main Effect,0.8223025610841426,0.8138170902462094,0.8314032688294801,0.008793089291635359,Positive (Promotes 1),POS,person2_gender=female,-,0.029136465334723877
quantity_level=1vs5,Main Effect,0.7017890702425194,0.6853334142803765,0.7191807036718676,0.016923644695745532,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.02486633738614484
person3_gender=female,Main Effect,0.6091310174912997,0.6006708799385911,0.6167781088150571,0.008053614438232992,Negative (Promotes 0),NEG,person3_gender=female,-,0.021583205033486784
person3_color=white,Main Effect,0.4937408390715206,0.49003059921623315,0.4978816127127148,0.003925506748240826,Positive (Promotes 1),POS,person3_color=white,-,0.017494610284295102
quantity_level=1vs1,Main Effect,0.4775261721026479,0.4650899460932995,0.4912650388797127,0.013087546393206584,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.01692007956481178
person2_profession=high,Main Effect,0.43465497073447384,0.42562339178144304,0.4438085680596743,0.00909258813911562,Positive (Promotes 1),POS,person2_profession=high,-,0.01540103373954412
person1_color=black & person3_color=black,Interaction,0.3374385889902342,0.32981051651019655,0.34564859185031893,0.00791903767006119,Synergy (+),POS,person1_color=black,person3_color=black,0.011956387120757193
person2_color=black & person2_profession=high,Interaction,0.3284558251423958,0.32012616616016193,0.3366454076898794,0.008259620764858727,Interference (-),NEG,person2_color=black,person2_profession=high,0.0116381028299756
person1_gender=male,Main Effect,0.3152087722525545,0.3110675029275507,0.31923145917204127,0.004081978122245283,Positive (Promotes 1),POS,person1_gender=male,-,0.0111687229258157
person3_profession=low,Main Effect,0.30384179094150543,0.2994460176542335,0.30818336659692946,0.0043686744713479775,Negative (Promotes 0),NEG,person3_profession=low,-,0.010765959183364038
person1_gender=female & person2_color=black,Interaction,0.27032857828518764,0.2641733047105282,0.27633765488519624,0.006082175087334024,Synergy (+),POS,person1_gender=female,person2_color=black,0.009578492908750166
person1_profession=high,Main Effect,0.2661882598789434,0.25887348007081623,0.27426883794784285,0.007697678938513308,Negative (Promotes 0),NEG,person1_profession=high,-,0.009431789919574007
quantity_level=1vs1 & person2_color=black,Interaction,0.25057244688163194,0.2410533991590291,0.2605003081502156,0.00972345449559324,Synergy (+),POS,quantity_level=1vs1,person2_color=black,0.00887847826082175
person1_color=black,Main Effect,0.24342324081807812,0.2363239450282509,0.2503510619910875,0.007013558481418283,Negative (Promotes 0),NEG,person1_color=black,-,0.008625162018723584
person2_gender=male,Main Effect,0.24077673103624106,0.23775470369228874,0.24365823570873357,0.0029517660082224173,Negative (Promotes 0),NEG,person2_gender=male,-,0.008531388821161313
person2_profession=low,Main Effect,0.23914907280895215,0.23493031831830385,0.24322617223726622,0.004147926959481185,Negative (Promotes 0),NEG,person2_profession=low,-,0.00847371636608145
person2_profession=high & person3_profession=high,Interaction,0.2326728466789998,0.22679105949710268,0.23835370984576887,0.0057813251743330935,Synergy (+),POS,person2_profession=high,person3_profession=high,0.008244245673583046
person1_gender=female & person2_gender=female,Interaction,0.22410603835085652,0.21807056440771577,0.23020314346069312,0.006066289526488675,Interference (-),NEG,person1_gender=female,person2_gender=female,0.007940699843015422
person2_color=black,Main Effect,0.2164237531414543,0.20881637260815533,0.22351163425159154,0.007347630821718104,Positive (Promotes 1),POS,person2_color=black,-,0.007668495125082766
person1_gender=female & person3_color=black,Interaction,0.20244017322514438,0.19786572411305153,0.20709940671492086,0.004616841300934663,Interference (-),NEG,person1_gender=female,person3_color=black,0.007173018021193248
quantity_level=1vs10,Main Effect,0.20181053199361698,0.1946005823927441,0.20993838857932745,0.007668903093291671,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.007150708082268184
quantity_level=1vs2,Main Effect,0.19900873833382754,0.19099662120385913,0.2070067660264809,0.00800507241131089,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.007051432745297476
quantity_level=1vs2 & person3_color=black,Interaction,0.19304935780305987,0.18483537085367086,0.20086681120186733,0.00801572017409824,Interference (-),NEG,quantity_level=1vs2,person3_color=black,0.006840275328954013
person2_gender=female & person3_color=black,Interaction,0.19290614335650677,0.18843148273658153,0.19743230097689843,0.0045004091201584495,Synergy (+),POS,person2_gender=female,person3_color=black,0.006835200843047117
quantity_level=1vs1 & person2_profession=high,Interaction,0.19252845269378832,0.1867825096597977,0.19848791210369712,0.00585270122194971,Interference (-),NEG,quantity_level=1vs1,person2_profession=high,0.006821818213073259
person3_color=black & person3_profession=low,Interaction,0.1862479495060356,0.1825230306062735,0.19001989799429317,0.003748433694009831,Synergy (+),POS,person3_color=black,person3_profession=low,0.006599282528430225
person2_color=black & person3_gender=female,Interaction,0.1858873496073472,0.18088828460855802,0.19084526660445422,0.004978490997948101,Interference (-),NEG,person2_color=black,person3_gender=female,0.006586505471729846
person3_gender=male,Main Effect,0.18207083432380977,0.17747882331891657,0.18659046750860653,0.00455582209484498,Positive (Promotes 1),POS,person3_gender=male,-,0.006451275727204151
person1_profession=high & person1_gender=female,Interaction,0.17814080620053957,0.17437982755917825,0.18231808785914758,0.003969130149984665,Synergy (+),POS,person1_profession=high,person1_gender=female,0.006312023907257022
person1_color=black & person2_color=black,Interaction,0.17785969998883805,0.17232962787874082,0.18346849570420126,0.005569433912730223,Synergy (+),POS,person1_color=black,person2_color=black,0.006302063532839826
person1_profession=high & person2_color=black,Interaction,0.17575487242764337,0.17114775242911587,0.18012940419160375,0.004490825881243943,Interference (-),NEG,person1_profession=high,person2_color=black,0.006227483641964302
person2_profession=high & person3_color=black,Interaction,0.17521557577319763,0.1701936178125883,0.18043199682741012,0.005119189507410915,Synergy (+),POS,person2_profession=high,person3_color=black,0.006208374862518602
quantity_level=1vs1 & person3_color=black,Interaction,0.1696906869888812,0.16314120673983343,0.17731002505663374,0.007084409158400154,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.006012612696424645
person1_gender=female & person3_gender=female,Interaction,0.16488551522938416,0.15928210162515757,0.17075429762748168,0.005736098001162052,Interference (-),NEG,person1_gender=female,person3_gender=female,0.005842352104978361
person2_color=white & person3_color=black,Interaction,0.16247267184416522,0.15998177871428892,0.1649775632026339,0.0024978922441724893,Synergy (+),POS,person2_color=white,person3_color=black,0.005756858357325597
person3_profession=high,Main Effect,0.1605829842397057,0.15506834255667654,0.16563082147437416,0.005281239458848813,Positive (Promotes 1),POS,person3_profession=high,-,0.0056899014731001596
quantity_level=1vs1 & person1_color=black,Interaction,0.15825150594196682,0.1512938013269913,0.16487669074926295,0.0067914447111358245,Synergy (+),POS,quantity_level=1vs1,person1_color=black,0.005607290716651623
person1_profession=high & person3_profession=high,Interaction,0.15297834831076937,0.14786215066547143,0.15796688576834322,0.005052367551435899,Synergy (+),POS,person1_profession=high,person3_profession=high,0.005420448085001107
quantity_level=1vs10 & person1_color=black,Interaction,0.14413560053590724,0.13933810897701548,0.14886600277082246,0.004763946896903487,Synergy (+),POS,quantity_level=1vs10,person1_color=black,0.005107124952860682
