Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person3_color=black,Main Effect,0.03279269732317671,0.032700399141366646,0.032880447009826126,9.002393422974028e-05,Negative (Promotes 0),NEG,person3_color=black,-,0.0762787081553577
person3_color=white,Main Effect,0.030858395684105474,0.03076552862618587,0.030947320249577307,9.089581169571814e-05,Positive (Promotes 1),POS,person3_color=white,-,0.0717793518274211
person2_color=black,Main Effect,0.02094968327855724,0.020857496081975933,0.021037637240644554,9.007057933431081e-05,Positive (Promotes 1),POS,person2_color=black,-,0.048730812259924254
quantity_level=1vs1,Main Effect,0.019456890945826942,0.01902374604219519,0.019889807184897412,0.00043303057135111143,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.04525844554477722
person2_color=white,Main Effect,0.01901363951825998,0.01892943865022274,0.019097180345471563,8.387084762441141e-05,Negative (Promotes 0),NEG,person2_color=white,-,0.0442274036042617
person2_color=black & person3_color=black,Interaction,0.013009217914628913,0.012892643001201675,0.013121793166895275,0.00011457508284680017,Synergy (+),POS,person2_color=black,person3_color=black,0.03026058902260806
person2_color=white & person3_color=black,Interaction,0.011872595606385655,0.011769472110734203,0.011967785095816334,9.915649254106564e-05,Synergy (+),POS,person2_color=white,person3_color=black,0.027616705218878383
person2_color=white & person3_color=white,Interaction,0.011810988095242147,0.011702531666024547,0.01191200863341604,0.0001047384836957467,Synergy (+),POS,person2_color=white,person3_color=white,0.02747340071067093
person2_color=black & person3_color=white,Interaction,0.01159269766970017,0.011491237959921642,0.011692068421849099,0.00010041523096372858,Synergy (+),POS,person2_color=black,person3_color=white,0.026965637915225098
quantity_level=1vs5,Main Effect,0.011236812771673302,0.010990772465966454,0.011481278249083585,0.0002452528915585653,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.02613781823311848
person2_gender=female,Main Effect,0.010939310507578279,0.010873299175185036,0.011003174283054445,6.493755393470468e-05,Positive (Promotes 1),POS,person2_gender=female,-,0.02544580171020733
person2_gender=male,Main Effect,0.01019002635764467,0.010130650054881543,0.010248857240120151,5.910359261930391e-05,Negative (Promotes 0),NEG,person2_gender=male,-,0.02370290064796912
quantity_level=1vs1 & person3_color=black,Interaction,0.007936158881373726,0.0077325722376461944,0.008150970078024105,0.00020919892018895526,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.018460205978817413
quantity_level=1vs1 & person3_color=white,Interaction,0.0076067423440748586,0.007410025192665313,0.00781973801943923,0.00020485641338695813,Synergy (+),POS,quantity_level=1vs1,person3_color=white,0.01769395403977946
quantity_level=1vs10,Main Effect,0.006356561616393044,0.006228445450775831,0.006497955933777502,0.00013475524150083568,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.014785923330122184
person1_gender=female,Main Effect,0.005773858061447454,0.005739611390763826,0.005807658750936279,3.402368008622626e-05,Negative (Promotes 0),NEG,person1_gender=female,-,0.0134305034337122
person1_gender=male,Main Effect,0.005245178443467739,0.005212673934556344,0.0052745656139313556,3.094583968750583e-05,Positive (Promotes 1),POS,person1_gender=male,-,0.01220074798266978
quantity_level=1vs5 & person3_color=black,Interaction,0.0051968940044376825,0.005048161803759264,0.005338663777011419,0.0001452509866260777,Interference (-),NEG,quantity_level=1vs5,person3_color=black,0.012088434116051198
person2_profession=high,Main Effect,0.005131308742793744,0.005092767886207118,0.005169186275174697,3.8209194483789736e-05,Positive (Promotes 1),POS,person2_profession=high,-,0.01193587700911584
person2_profession=low,Main Effect,0.004992805028758258,0.004957058736577091,0.00502677056706074,3.485591524182447e-05,Negative (Promotes 0),NEG,person2_profession=low,-,0.011613705146361534
person3_gender=male,Main Effect,0.004527635154698467,0.004494776178237149,0.004560614994728179,3.291940824551526e-05,Positive (Promotes 1),POS,person3_gender=male,-,0.010531678964849666
person3_gender=female,Main Effect,0.004304693334101401,0.004275058728263176,0.004335516121681578,3.0228696709200947e-05,Negative (Promotes 0),NEG,person3_gender=female,-,0.01001309661398801
person2_gender=female & person3_color=black,Interaction,0.004097376868279869,0.004016495729932193,0.004173847480644603,7.86758753562049e-05,Interference (-),NEG,person2_gender=female,person3_color=black,0.009530860217379545
person2_gender=male & person3_color=white,Interaction,0.004001891573267311,0.0039222530313634575,0.004077509356062981,7.762816234976183e-05,Interference (-),NEG,person2_gender=male,person3_color=white,0.009308752993944666
quantity_level=1vs5 & person3_color=white,Interaction,0.003979729732153965,0.003867143779381725,0.0040877070005351,0.00011028161057668757,Interference (-),NEG,quantity_level=1vs5,person3_color=white,0.009257202595579736
person2_gender=female & person3_color=white,Interaction,0.00365993725046596,0.003586789963583982,0.00373044588725366,7.182796183483899e-05,Interference (-),NEG,person2_gender=female,person3_color=white,0.008513337059281917
quantity_level=1vs1 & person2_profession=high,Interaction,0.0033562720135787913,0.0032611716276622063,0.003458492502308403,9.866043732309829e-05,Interference (-),NEG,quantity_level=1vs1,person2_profession=high,0.007806984917731397
quantity_level=1vs2,Main Effect,0.003343969806784279,0.003277786854797702,0.0034109692068787292,6.659117604051372e-05,Negative (Promotes 0),NEG,quantity_level=1vs2,-,0.007778368898972787
quantity_level=1vs1 & person2_color=white,Interaction,0.0033087882550795764,0.0031980575901128347,0.003424146334154178,0.00011304437202067173,Synergy (+),POS,quantity_level=1vs1,person2_color=white,0.007696533504693129
quantity_level=1vs1 & person2_color=black,Interaction,0.003242725663884031,0.0031333242396219636,0.00335954706584316,0.00011311141311059819,Synergy (+),POS,quantity_level=1vs1,person2_color=black,0.0075428660870931075
quantity_level=1vs10 & person3_color=black,Interaction,0.0031428946431929744,0.003054179015629641,0.0032321889298031962,8.900495708677762e-05,Synergy (+),POS,quantity_level=1vs10,person3_color=black,0.007310650322189785
person2_gender=male & person3_color=black,Interaction,0.0031358879577067953,0.003071802742406209,0.0031975536367535987,6.287544717369477e-05,Interference (-),NEG,person2_gender=male,person3_color=black,0.007294352153360627
quantity_level=1vs10 & person3_color=white,Interaction,0.0029642891068834645,0.0028812261201933828,0.0030498748613664362,8.432437058652673e-05,Synergy (+),POS,quantity_level=1vs10,person3_color=white,0.006895198081563778
quantity_level=1vs1 & person2_profession=low,Interaction,0.002839729017409643,0.002761076588921563,0.002925154363473405,8.203888727592113e-05,Interference (-),NEG,quantity_level=1vs1,person2_profession=low,0.006605460320160916
person2_color=black & person2_gender=male,Interaction,0.0027179000838474946,0.0026417978166187995,0.0027951540891502018,7.667813626570114e-05,Synergy (+),POS,person2_color=black,person2_gender=male,0.006322075468451945
quantity_level=1vs5 & person2_color=white,Interaction,0.0026640219116949994,0.0025707169874991304,0.0027605588574578428,9.492093497935616e-05,Synergy (+),POS,quantity_level=1vs5,person2_color=white,0.006196750084905052
quantity_level=1vs5 & person2_color=black,Interaction,0.0026553020003582907,0.0025644667097119286,0.002748425247840854,9.197926906446261e-05,Synergy (+),POS,quantity_level=1vs5,person2_color=black,0.006176466801543567
person3_profession=high,Main Effect,0.0025598101198880305,0.0025360438191268176,0.002582808097567022,2.3382139220102204e-05,Positive (Promotes 1),POS,person3_profession=high,-,0.005954344259752861
person2_color=white & person2_gender=female,Interaction,0.0024704620066280333,0.0023967080147786484,0.002549468413590487,7.638019940591932e-05,Synergy (+),POS,person2_color=white,person2_gender=female,0.005746512662723046
person3_profession=low,Main Effect,0.0024580180148230575,0.00243650520480712,0.0024784222794494684,2.0958537321174274e-05,Negative (Promotes 0),NEG,person3_profession=low,-,0.005717566839516592
quantity_level=1vs10 & person2_color=black,Interaction,0.0024523053947768762,0.002369639006221522,0.0025372631809401735,8.381208735932567e-05,Synergy (+),POS,quantity_level=1vs10,person2_color=black,0.005704278781111067
quantity_level=1vs10 & quantity_level=1vs5,Interaction,0.0022796381467011504,0.0022079989067286987,0.002359003246786363,7.550217002883224e-05,Synergy (+),POS,quantity_level=1vs10,quantity_level=1vs5,0.005302639523011722
person2_color=black & person2_gender=female,Interaction,0.002225113731125114,0.002156613649239506,0.002300556858649884,7.197160470518902e-05,Synergy (+),POS,person2_color=black,person2_gender=female,0.005175810920226234
quantity_level=1vs2 & person3_color=white,Interaction,0.0020454133955186585,0.001976076025748144,0.002113976015001082,6.894999462646908e-05,Interference (-),NEG,quantity_level=1vs2,person3_color=white,0.0047578120798119445
quantity_level=1vs10 & person2_color=white,Interaction,0.0019849140598633213,0.0019232590148489093,0.0020503177086731417,6.352934691211622e-05,Synergy (+),POS,quantity_level=1vs10,person2_color=white,0.004617085285594107
person2_color=white & person2_gender=male,Interaction,0.00191776063967548,0.0018551593075420195,0.0019841026250443016,6.447165875114107e-05,Synergy (+),POS,person2_color=white,person2_gender=male,0.004460880503484826
quantity_level=1vs1 & person3_gender=male,Interaction,0.0018327550654702192,0.0017755476952643673,0.0018969027344989161,6.067751961727442e-05,Synergy (+),POS,quantity_level=1vs1,person3_gender=male,0.004263150035555341
quantity_level=1vs1 & person3_gender=female,Interaction,0.0017441095453153736,0.0016904956014179057,0.0018072727219037355,5.838856024291492e-05,Synergy (+),POS,quantity_level=1vs1,person3_gender=female,0.004056952732096795
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.0016541527402687967,0.0015964732499627655,0.0017154675182468693,5.9497134142051894e-05,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.0038477052642501472
person3_color=black & person3_gender=male,Interaction,0.0014565836881891923,0.001420276978806872,0.0014911330920830323,3.5428056638080185e-05,Synergy (+),POS,person3_color=black,person3_gender=male,0.003388142212281877
quantity_level=1vs5 & person2_gender=female,Interaction,0.0014295949794824263,0.0013820651164487589,0.0014794797992253256,4.870734138828336e-05,Interference (-),NEG,quantity_level=1vs5,person2_gender=female,0.0033253640938903056
quantity_level=1vs2 & person2_color=white,Interaction,0.001390641991721676,0.0013410520702443755,0.0014414821127212692,5.021502123844681e-05,Synergy (+),POS,quantity_level=1vs2,person2_color=white,0.0032347560064890446
quantity_level=1vs1 & person3_profession=high,Interaction,0.0013855798770554507,0.0013423326746078586,0.0014330645261955053,4.536592579382334e-05,Interference (-),NEG,quantity_level=1vs1,person3_profession=high,0.0032229810810088812
person1_profession=low,Main Effect,0.0013670257035101395,0.0013472914585568123,0.0013863891620951056,1.9548851769146626e-05,Positive (Promotes 1),POS,person1_profession=low,-,0.0031798224358087386
quantity_level=1vs2 & person2_color=black,Interaction,0.001351495225396351,0.0012988969766664174,0.0014036087441135694,5.2355883723576e-05,Synergy (+),POS,quantity_level=1vs2,person2_color=black,0.003143697173044288
quantity_level=1vs1 & person3_profession=low,Interaction,0.0013392611646618287,0.0012996373503512731,0.0013821067948031928,4.123472222595983e-05,Interference (-),NEG,quantity_level=1vs1,person3_profession=low,0.003115239668035574
person2_color=white & person2_profession=high,Interaction,0.0013090348883248878,0.0012862936619167866,0.0013320051977837013,2.2855767933457395e-05,Interference (-),NEG,person2_color=white,person2_profession=high,0.003044930681598549
quantity_level=1vs1 & person1_gender=female,Interaction,0.0012579933565391851,0.0012218881698443534,0.001298631045231895,3.837143769377081e-05,Synergy (+),POS,quantity_level=1vs1,person1_gender=female,0.0029262035738978863
person2_color=white & person2_profession=low,Interaction,0.001134645026812349,0.0011121070041086002,0.001158367701852763,2.31303488720814e-05,Interference (-),NEG,person2_color=white,person2_profession=low,0.0026392844726126647
quantity_level=1vs2 & person2_gender=male,Interaction,0.0011232854109147832,0.0010818313851749712,0.001167177246745287,4.2672930785157934e-05,Synergy (+),POS,quantity_level=1vs2,person2_gender=male,0.0026128610034704975
quantity_level=1vs2 & person3_color=black,Interaction,0.0011225066843304071,0.0010808488303686824,0.0011628991152852382,4.10251424582779e-05,Interference (-),NEG,quantity_level=1vs2,person3_color=black,0.002611049616707248
person1_gender=male & person3_color=white,Interaction,0.0011168761348062098,0.0010856331130623994,0.0011481249607896362,3.124592386361837e-05,Synergy (+),POS,person1_gender=male,person3_color=white,0.002597952461579146
person1_gender=female & person3_color=white,Interaction,0.0010949737519203935,0.0010647172502034495,0.0011267746367266175,3.102869326158399e-05,Synergy (+),POS,person1_gender=female,person3_color=white,0.002547005585950428
quantity_level=1vs5 & person2_gender=male,Interaction,0.0010931887799625506,0.0010561104525460437,0.0011324045581164335,3.814705278519493e-05,Interference (-),NEG,quantity_level=1vs5,person2_gender=male,0.002542853583640403
person1_profession=high,Main Effect,0.0010655708943137403,0.0010447237527865675,0.0010866171483230006,2.0946697768216564e-05,Negative (Promotes 0),NEG,person1_profession=high,-,0.0024786119441524324
person2_color=black & person2_profession=low,Interaction,0.001026461865694182,0.0010051718028460525,0.0010470806963136343,2.0954446733790913e-05,Interference (-),NEG,person2_color=black,person2_profession=low,0.002387640891941902
person1_gender=male & person3_color=black,Interaction,0.001005236221556303,0.0009740156054895197,0.0010367004137730477,3.134240414176401e-05,Synergy (+),POS,person1_gender=male,person3_color=black,0.0023382681703677474
quantity_level=1vs1 & person1_gender=male,Interaction,0.0010000228579366047,0.0009713160656355426,0.001032582687500917,3.063331093268722e-05,Synergy (+),POS,quantity_level=1vs1,person1_gender=male,0.0023261414264730425
person1_gender=female & person3_color=black,Interaction,0.0009375778633714018,0.0009006323523532168,0.0009729470667511616,3.6157357198972426e-05,Synergy (+),POS,person1_gender=female,person3_color=black,0.0021808888579130437
person3_color=black & person3_gender=female,Interaction,0.0009122992783431732,0.0008855005829611143,0.000939795454901559,2.714743597022237e-05,Interference (-),NEG,person3_color=black,person3_gender=female,0.002122088638127956
person3_color=black & person3_profession=high,Interaction,0.0008832552606973223,0.0008591955376048026,0.0009084913397797866,2.464790108749204e-05,Interference (-),NEG,person3_color=black,person3_profession=high,0.0020545296897488876
quantity_level=1vs10 & person2_gender=female,Interaction,0.0008677890376913221,0.0008319557507327901,0.0009041432526169081,3.609375094205903e-05,Interference (-),NEG,quantity_level=1vs10,person2_gender=female,0.0020185538900361092
quantity_level=1vs1 & person2_gender=male,Interaction,0.0008593956731711355,0.0008200962346504339,0.0009013446952985457,4.06242303240559e-05,Interference (-),NEG,quantity_level=1vs1,person2_gender=male,0.001999030183389863
person3_color=white & person3_gender=female,Interaction,0.0008582188904163572,0.0008394359362645203,0.0008762207974791203,1.839243060730003e-05,Synergy (+),POS,person3_color=white,person3_gender=female,0.0019962928828430562
person2_profession=high & person3_color=white,Interaction,0.0008554655118487124,0.0008193859219110023,0.0008913219289684988,3.596800352874825e-05,Interference (-),NEG,person2_profession=high,person3_color=white,0.001989888281290071
person1_color=white & person3_color=white,Interaction,0.0008475651705409777,0.0008229312993637846,0.0008717581559149474,2.4413428275581433e-05,Synergy (+),POS,person1_color=white,person3_color=white,0.001971511390148686
quantity_level=1vs2 & person2_gender=female,Interaction,0.00084623307272946,0.0008132172115137678,0.0008807124147532367,3.374760161973443e-05,Synergy (+),POS,quantity_level=1vs2,person2_gender=female,0.001968412813072279
person1_color=black & person3_color=black,Interaction,0.0008368112192332004,0.0008142164060706349,0.0008589580872419935,2.2370840585679314e-05,Synergy (+),POS,person1_color=black,person3_color=black,0.0019464967502964433
quantity_level=1vs5 & person1_gender=female,Interaction,0.0008253098589113052,0.0007982497344636119,0.0008552262693421737,2.8488267439280915e-05,Synergy (+),POS,quantity_level=1vs5,person1_gender=female,0.0019197435711133632
quantity_level=1vs5 & person2_profession=high,Interaction,0.0008181614759347548,0.0007952967948783643,0.0008431280306051584,2.391561786339706e-05,Interference (-),NEG,quantity_level=1vs5,person2_profession=high,0.0019031158014158201
quantity_level=1vs1 & quantity_level=1vs10,Interaction,0.0008110470222425983,0.000784576970140131,0.0008398866432334016,2.7654836546635298e-05,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs10,0.001886566954228271
person2_profession=low & person3_color=black,Interaction,0.00080876215612206,0.0007748332790181054,0.0008414703359177166,3.331852844980557e-05,Interference (-),NEG,person2_profession=low,person3_color=black,0.0018812521539767091
person2_profession=low & person3_color=white,Interaction,0.0008049549566089226,0.0007718182303662087,0.0008371181521978801,3.264996091583572e-05,Interference (-),NEG,person2_profession=low,person3_color=white,0.0018723962718975432
person2_color=black & person2_profession=high,Interaction,0.0008018200910099482,0.0007836965095504494,0.0008199116066831859,1.8107548566368228e-05,Interference (-),NEG,person2_color=black,person2_profession=high,0.0018651042978408245
person3_color=black & person3_profession=low,Interaction,0.0007989728047558299,0.0007759486636338033,0.0008243743624825988,2.4212849424397754e-05,Interference (-),NEG,person3_color=black,person3_profession=low,0.0018584812587211011
person2_profession=high & person3_color=black,Interaction,0.0007968244507515119,0.0007635780849609896,0.0008291253341297866,3.277362458439846e-05,Interference (-),NEG,person2_profession=high,person3_color=black,0.0018534839977000033
quantity_level=1vs5 & person1_gender=male,Interaction,0.0007775993758986271,0.0007545261541839997,0.00080240412445849,2.393898513724515e-05,Synergy (+),POS,quantity_level=1vs5,person1_gender=male,0.0018087647768467781
person2_profession=low & person3_gender=male,Interaction,0.0007745638382136457,0.0007615003389015262,0.000788794931512737,1.3647296305605364e-05,Synergy (+),POS,person2_profession=low,person3_gender=male,0.0018017038482843802
quantity_level=1vs1 & person2_gender=female,Interaction,0.0007584712833356057,0.0007199473847412147,0.0008002739602791549,4.0163287768970126e-05,Interference (-),NEG,quantity_level=1vs1,person2_gender=female,0.001764271145359131
person1_gender=female & person2_color=black,Interaction,0.0007580977117406713,0.0007275297601666326,0.0007885298619642435,3.0500050898805444e-05,Interference (-),NEG,person1_gender=female,person2_color=black,0.0017634021848590444
person1_color=white & person3_color=black,Interaction,0.0007308893563678288,0.0007080085934402146,0.0007549989832911895,2.349519492548743e-05,Synergy (+),POS,person1_color=white,person3_color=black,0.001700113148936846
quantity_level=1vs10 & person2_profession=low,Interaction,0.000715410990644435,0.0006906474437707279,0.0007426663221652714,2.600943919727172e-05,Interference (-),NEG,quantity_level=1vs10,person2_profession=low,0.0016641091041917314
person2_profession=low & person3_gender=female,Interaction,0.0007123134898678489,0.0006965762812937333,0.0007284370725261491,1.5930395616207916e-05,Synergy (+),POS,person2_profession=low,person3_gender=female,0.0016569040440095912
quantity_level=1vs1 & person1_color=white,Interaction,0.0007108154880684295,0.0006815252259198376,0.0007448726427920714,3.1673708436116864e-05,Synergy (+),POS,quantity_level=1vs1,person1_color=white,0.0016534195596151539
person1_color=black & person3_color=white,Interaction,0.0007097725222589037,0.0006863417266696956,0.0007344682111480381,2.406324223917127e-05,Synergy (+),POS,person1_color=black,person3_color=white,0.0016509935290932728
person1_gender=female & person2_color=white,Interaction,0.0007085569328016274,0.0006847861850657684,0.0007345138701972103,2.4863842565720938e-05,Interference (-),NEG,person1_gender=female,person2_color=white,0.001648165960731497
