Feature,Type,Importance,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person2_color=black & person3_color=black,Interaction,1.6331697,Synergy (+),POS,person2_color=black,person3_color=black,0.07126662
person3_color=black,Main Effect,1.5455166,Negative (Promotes 0),NEG,person3_color=black,-,0.06744171
person2_color=black,Main Effect,0.6650572,Positive (Promotes 1),POS,person2_color=black,-,0.029021101
person2_gender=female,Main Effect,0.5676719,Positive (Promotes 1),POS,person2_gender=female,-,0.024771499
quantity_level=1vs1,Main Effect,0.48312145,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.021081971
person2_color=black & person2_profession=high,Interaction,0.47587404,Synergy (+),POS,person2_color=black,person2_profession=high,0.020765716
person1_color=black & person3_color=black,Interaction,0.46985638,Synergy (+),POS,person1_color=black,person3_color=black,0.020503122
person1_gender=female,Main Effect,0.44672835,Negative (Promotes 0),NEG,person1_gender=female,-,0.019493885
person3_gender=female,Main Effect,0.42702293,Negative (Promotes 0),NEG,person3_gender=female,-,0.018634
person2_profession=high,Main Effect,0.38715172,Positive (Promotes 1),POS,person2_profession=high,-,0.01689414
person1_color=black & person2_color=black,Interaction,0.38250723,Synergy (+),POS,person1_color=black,person2_color=black,0.016691469
person3_color=black & person3_profession=high,Interaction,0.38012472,Synergy (+),POS,person3_color=black,person3_profession=high,0.016587503
person3_color=black & person3_gender=female,Interaction,0.36662585,Synergy (+),POS,person3_color=black,person3_gender=female,0.015998453
person1_gender=female & person2_color=black,Interaction,0.3444989,Synergy (+),POS,person1_gender=female,person2_color=black,0.015032899
quantity_level=1vs1 & person3_color=black,Interaction,0.34321773,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.014976992
person3_profession=high,Main Effect,0.33131012,Positive (Promotes 1),POS,person3_profession=high,-,0.01445738
person1_profession=high,Main Effect,0.329566,Negative (Promotes 0),NEG,person1_profession=high,-,0.014381272
quantity_level=1vs1 & person2_color=black,Interaction,0.322897,Synergy (+),POS,quantity_level=1vs1,person2_color=black,0.014090256
person2_profession=high & person3_profession=high,Interaction,0.31487527,Synergy (+),POS,person2_profession=high,person3_profession=high,0.013740213
person2_color=black & person3_gender=female,Interaction,0.31183437,Synergy (+),POS,person2_color=black,person3_gender=female,0.013607516
person1_gender=female & person2_gender=female,Interaction,0.305598,Synergy (+),POS,person1_gender=female,person2_gender=female,0.01333538
person1_color=black,Main Effect,0.30333805,Negative (Promotes 0),NEG,person1_color=black,-,0.013236763
person2_profession=high & person3_color=black,Interaction,0.30182356,Synergy (+),POS,person2_profession=high,person3_color=black,0.013170674
person1_profession=high & person2_color=black,Interaction,0.29847875,Synergy (+),POS,person1_profession=high,person2_color=black,0.013024718
person1_gender=female & person3_color=black,Interaction,0.2822714,Synergy (+),POS,person1_gender=female,person3_color=black,0.012317477
person2_color=black & person2_gender=female,Interaction,0.28184983,Synergy (+),POS,person2_color=black,person2_gender=female,0.012299081
person1_profession=high & person3_gender=female,Interaction,0.2719164,Interference (-),NEG,person1_profession=high,person3_gender=female,0.011865616
person2_profession=high & person2_gender=female,Interaction,0.267986,Synergy (+),POS,person2_profession=high,person2_gender=female,0.011694105
quantity_level=1vs5,Main Effect,0.2612975,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.011402239
person1_profession=high & person3_profession=high,Interaction,0.25584766,Interference (-),NEG,person1_profession=high,person3_profession=high,0.011164425
person1_profession=high & person3_color=black,Interaction,0.25445274,Synergy (+),POS,person1_profession=high,person3_color=black,0.011103554
person1_profession=high & person2_profession=high,Interaction,0.24885267,Synergy (+),POS,person1_profession=high,person2_profession=high,0.010859184
person1_profession=high & person1_gender=female,Interaction,0.24657217,Interference (-),NEG,person1_profession=high,person1_gender=female,0.010759669
person2_gender=female & person3_color=black,Interaction,0.24487478,Synergy (+),POS,person2_gender=female,person3_color=black,0.0106856
person1_color=black & person1_profession=high,Interaction,0.24194647,Synergy (+),POS,person1_color=black,person1_profession=high,0.010557818
person2_color=black & person3_profession=high,Interaction,0.24119724,Synergy (+),POS,person2_color=black,person3_profession=high,0.010525124
person1_gender=female & person3_gender=female,Interaction,0.23500785,Synergy (+),POS,person1_gender=female,person3_gender=female,0.010255038
person2_profession=high & person3_gender=female,Interaction,0.23160966,Interference (-),NEG,person2_profession=high,person3_gender=female,0.010106751
person1_profession=high & person2_gender=female,Interaction,0.22777043,Synergy (+),POS,person1_profession=high,person2_gender=female,0.009939219
person3_profession=high & person3_gender=female,Interaction,0.22639476,Synergy (+),POS,person3_profession=high,person3_gender=female,0.009879188
person1_color=black & person2_gender=female,Interaction,0.22621831,Interference (-),NEG,person1_color=black,person2_gender=female,0.009871488
quantity_level=1vs10 & person3_color=black,Interaction,0.22481327,Synergy (+),POS,quantity_level=1vs10,person3_color=black,0.009810177
quantity_level=1vs1 & person2_profession=high,Interaction,0.2178716,Interference (-),NEG,quantity_level=1vs1,person2_profession=high,0.009507263
person1_color=black & person3_profession=high,Interaction,0.21711406,Synergy (+),POS,person1_color=black,person3_profession=high,0.009474207
person1_gender=female & person2_profession=high,Interaction,0.21518342,Synergy (+),POS,person1_gender=female,person2_profession=high,0.009389959
person1_color=black & person3_gender=female,Interaction,0.21491984,Synergy (+),POS,person1_color=black,person3_gender=female,0.0093784565
person2_gender=female & person3_gender=female,Interaction,0.21482536,Synergy (+),POS,person2_gender=female,person3_gender=female,0.0093743345
quantity_level=1vs5 & person3_color=black,Interaction,0.21297711,Interference (-),NEG,quantity_level=1vs5,person3_color=black,0.009293682
person1_color=black & person1_gender=female,Interaction,0.20430154,Interference (-),NEG,person1_color=black,person1_gender=female,0.008915106
person1_gender=female & person3_profession=high,Interaction,0.20181748,Synergy (+),POS,person1_gender=female,person3_profession=high,0.008806709
quantity_level=1vs1 & person3_profession=high,Interaction,0.20068666,Interference (-),NEG,quantity_level=1vs1,person3_profession=high,0.008757364
quantity_level=1vs1 & person1_color=black,Interaction,0.19697425,Interference (-),NEG,quantity_level=1vs1,person1_color=black,0.008595365
person1_color=black & person2_profession=high,Interaction,0.1952939,Synergy (+),POS,person1_color=black,person2_profession=high,0.00852204
person2_gender=female & person3_profession=high,Interaction,0.18497744,Synergy (+),POS,person2_gender=female,person3_profession=high,0.00807186
quantity_level=1vs10 & person2_color=black,Interaction,0.18239135,Synergy (+),POS,quantity_level=1vs10,person2_color=black,0.007959011
quantity_level=1vs1 & person2_gender=female,Interaction,0.17250021,Synergy (+),POS,quantity_level=1vs1,person2_gender=female,0.0075273914
quantity_level=1vs5 & person1_gender=female,Interaction,0.17021367,Synergy (+),POS,quantity_level=1vs5,person1_gender=female,0.007427614
quantity_level=1vs10 & person1_color=black,Interaction,0.16301033,Synergy (+),POS,quantity_level=1vs10,person1_color=black,0.0071132816
quantity_level=1vs10 & person3_gender=female,Interaction,0.16133769,Synergy (+),POS,quantity_level=1vs10,person3_gender=female,0.007040293
quantity_level=1vs10,Main Effect,0.15975317,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.0069711492
quantity_level=1vs1 & person1_gender=female,Interaction,0.15356854,Synergy (+),POS,quantity_level=1vs1,person1_gender=female,0.00670127
quantity_level=1vs2,Main Effect,0.15353121,Negative (Promotes 0),NEG,quantity_level=1vs2,-,0.0066996412
quantity_level=1vs1 & person1_profession=high,Interaction,0.14951997,Synergy (+),POS,quantity_level=1vs1,person1_profession=high,0.006524603
quantity_level=1vs10 & person3_profession=high,Interaction,0.14877565,Synergy (+),POS,quantity_level=1vs10,person3_profession=high,0.006492123
quantity_level=1vs2 & person1_color=black,Interaction,0.14168371,Synergy (+),POS,quantity_level=1vs2,person1_color=black,0.0061826524
quantity_level=1vs2 & person3_color=black,Interaction,0.14042154,Synergy (+),POS,quantity_level=1vs2,person3_color=black,0.006127575
quantity_level=1vs1 & person3_gender=female,Interaction,0.13521971,Interference (-),NEG,quantity_level=1vs1,person3_gender=female,0.0059005823
quantity_level=1vs5 & person1_profession=high,Interaction,0.13507271,Synergy (+),POS,quantity_level=1vs5,person1_profession=high,0.005894168
quantity_level=1vs5 & person3_profession=high,Interaction,0.13039035,Synergy (+),POS,quantity_level=1vs5,person3_profession=high,0.0056898436
quantity_level=1vs10 & person2_profession=high,Interaction,0.12945616,Synergy (+),POS,quantity_level=1vs10,person2_profession=high,0.0056490786
quantity_level=1vs10 & person1_gender=female,Interaction,0.12775716,Synergy (+),POS,quantity_level=1vs10,person1_gender=female,0.0055749393
quantity_level=1vs5 & person2_gender=female,Interaction,0.12740506,Synergy (+),POS,quantity_level=1vs5,person2_gender=female,0.005559575
quantity_level=1vs10 & person1_profession=high,Interaction,0.12497969,Synergy (+),POS,quantity_level=1vs10,person1_profession=high,0.005453739
quantity_level=1vs5 & person2_profession=high,Interaction,0.124021985,Synergy (+),POS,quantity_level=1vs5,person2_profession=high,0.0054119476
quantity_level=1vs2 & person2_profession=high,Interaction,0.114714675,Synergy (+),POS,quantity_level=1vs2,person2_profession=high,0.0050058044
quantity_level=1vs10 & person2_gender=female,Interaction,0.111595705,Synergy (+),POS,quantity_level=1vs10,person2_gender=female,0.004869702
quantity_level=1vs2 & person3_profession=high,Interaction,0.10810607,Synergy (+),POS,quantity_level=1vs2,person3_profession=high,0.0047174245
quantity_level=1vs2 & person2_color=black,Interaction,0.10753821,Synergy (+),POS,quantity_level=1vs2,person2_color=black,0.004692645
quantity_level=1vs5 & person1_color=black,Interaction,0.10480196,Synergy (+),POS,quantity_level=1vs5,person1_color=black,0.004573243
quantity_level=1vs2 & person2_gender=female,Interaction,0.10392763,Synergy (+),POS,quantity_level=1vs2,person2_gender=female,0.0045350897
quantity_level=1vs5 & person2_color=black,Interaction,0.1038988,Synergy (+),POS,quantity_level=1vs5,person2_color=black,0.004533832
quantity_level=1vs2 & person3_gender=female,Interaction,0.09677629,Synergy (+),POS,quantity_level=1vs2,person3_gender=female,0.0042230273
