Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,4.662514690375371,4.547964739012099,4.777272819228468,0.11465404010818459,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.40622524778256114
person3_color=black,Main Effect,0.19114285239805973,0.18832060615711485,0.19386609086563308,0.0027727423542591167,Negative (Promotes 0),NEG,person3_color=black,-,0.016653470870033032
quantity_level=1vs1 & person3_color=black,Interaction,0.18769707371761082,0.18235528109400656,0.19354320313309428,0.005593961019543861,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.016353254701029062
quantity_level=1vs1 & quantity_level=1vs5,Interaction,0.15964342851823862,0.1541183687920006,0.1651750386370477,0.0055283349225235395,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs5,0.013909058869143854
person3_color=white,Main Effect,0.14983864177215997,0.14781810587795186,0.15185235149155496,0.0020171228068015523,Positive (Promotes 1),POS,person3_color=white,-,0.013054809136997636
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.1445165791338131,0.1391451944831798,0.14964065057087647,0.005247728043848335,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.012591120257166416
quantity_level=1vs10,Main Effect,0.14154599268491858,0.13902872375300368,0.1441088314227474,0.0025400538348718665,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.012332305583884486
quantity_level=1vs1 & person3_color=white,Interaction,0.12252722940305888,0.11900359191275149,0.126553014352784,0.0037747112200162483,Synergy (+),POS,quantity_level=1vs1,person3_color=white,0.010675280922355895
quantity_level=1vs1 & quantity_level=1vs10,Interaction,0.12238629498517943,0.11815653765619853,0.12677624515182215,0.004309853747811808,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs10,0.010663001900706409
quantity_level=1vs1 & person2_color=black,Interaction,0.11223349287106442,0.10778788129308739,0.11667753545428632,0.004444827080599463,Interference (-),NEG,quantity_level=1vs1,person2_color=black,0.009778431056778057
quantity_level=1vs1 & person2_profession=low,Interaction,0.10597444262495606,0.10158090400218285,0.11046351928330711,0.00444130764056213,Interference (-),NEG,quantity_level=1vs1,person2_profession=low,0.00923310639702794
