Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,7.846842799392729,7.648226043854883,8.047093984949806,0.19943397054746148,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.29957985531338566
person3_color=black,Main Effect,0.8257486452603163,0.8178571395891656,0.833381885280543,0.007762372845688703,Negative (Promotes 0),NEG,person3_color=black,-,0.03152575704606373
person3_profession=high,Main Effect,0.49776807562921704,0.4910389951443379,0.5054265158694723,0.007193760362567192,Negative (Promotes 0),NEG,person3_profession=high,-,0.01900398566518547
person1_gender=female,Main Effect,0.35005419100697277,0.3436387684450281,0.35675257335607463,0.006556902455523261,Negative (Promotes 0),NEG,person1_gender=female,-,0.013364506792697446
person3_color=white,Main Effect,0.3354319364112333,0.33205904424267185,0.3385754645721453,0.0032582101647367356,Positive (Promotes 1),POS,person3_color=white,-,0.012806252596948025
person1_profession=high,Main Effect,0.3241092963754911,0.3178522430850094,0.3300206292752369,0.006084193095113738,Positive (Promotes 1),POS,person1_profession=high,-,0.01237397238560803
person3_profession=low,Main Effect,0.30443005446814586,0.3008623197200986,0.30808033325081574,0.00360900676535858,Positive (Promotes 1),POS,person3_profession=low,-,0.011622650536298669
person3_gender=female,Main Effect,0.30006929422169587,0.29394332359489767,0.30652654278759367,0.006291609596348002,Negative (Promotes 0),NEG,person3_gender=female,-,0.011456163713880236
person2_profession=high,Main Effect,0.2991983560979071,0.29293689490986785,0.3056901557086713,0.006376630399401728,Positive (Promotes 1),POS,person2_profession=high,-,0.011422912695122509
quantity_level=1vs1 & person1_gender=female,Interaction,0.2869376215132111,0.2764131786561384,0.2978463052216761,0.010716563282768848,Synergy (+),POS,quantity_level=1vs1,person1_gender=female,0.01095481754057152
person1_profession=low,Main Effect,0.27998151786128356,0.2772741144764916,0.2828205223597063,0.0027732039416073495,Negative (Promotes 0),NEG,person1_profession=low,-,0.010689244675297522
quantity_level=1vs1 & person2_color=black,Interaction,0.2746496032236931,0.26372859740496557,0.2853790837104928,0.01082524315276362,Interference (-),NEG,quantity_level=1vs1,person2_color=black,0.010485680737990622
