Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,0.19583939250628238,0.19241462537307516,0.19935310534711706,0.00346923998702095,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.3320990533632408
quantity_level=1vs2,Main Effect,0.05442404394820884,0.053474029757684116,0.05544451523667864,0.0009852427394972628,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.09229079626980442
quantity_level=1vs10,Main Effect,0.05318262112991032,0.052251728868501185,0.05410492665992072,0.0009265988957097675,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.0901856256118264
quantity_level=1vs5,Main Effect,0.052325048699847,0.0514513806419147,0.053189157860139516,0.000868888609112408,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.08873137788071528
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.02481830786712534,0.02424876212954318,0.025389176002251827,0.0005702069363543241,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.04208620361445104
quantity_level=1vs1 & quantity_level=1vs10,Interaction,0.023384107476359595,0.02286039161225455,0.02390851774820963,0.0005240630679775402,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs10,0.039654126053287164
quantity_level=1vs1 & quantity_level=1vs5,Interaction,0.023067956412638046,0.0225271088504166,0.02357311981700423,0.0005230054832938164,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs5,0.039118005778208495
quantity_level=1vs10 & quantity_level=1vs2,Interaction,0.01880098210597921,0.018452852637050765,0.019179054998141796,0.0003631011805455154,Synergy (+),POS,quantity_level=1vs10,quantity_level=1vs2,0.03188218815320635
quantity_level=1vs2 & quantity_level=1vs5,Interaction,0.01866189078460048,0.01829784768658789,0.019020826186039248,0.00036148924972567893,Synergy (+),POS,quantity_level=1vs2,quantity_level=1vs5,0.03164632091745889
quantity_level=1vs10 & quantity_level=1vs5,Interaction,0.018193192688536048,0.017849360531193913,0.01855174491801198,0.00035119219340903375,Synergy (+),POS,quantity_level=1vs10,quantity_level=1vs5,0.030851515582208694
quantity_level=1vs1 & person3_color=black,Interaction,0.005785107423820478,0.005652703942100035,0.005921989298118431,0.00013464267800919775,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.009810225994210057
person3_color=black,Main Effect,0.005209294041990671,0.0051799926120030815,0.005240699810967169,3.0353599482043758e-05,Negative (Promotes 0),NEG,person3_color=black,-,0.008833777504596655
person3_color=white,Main Effect,0.004689649411969618,0.004658846423562079,0.00472095564613975,3.10546112888355e-05,Positive (Promotes 1),POS,person3_color=white,-,0.007952578438837976
quantity_level=1vs1 & person3_color=white,Interaction,0.004140930796238166,0.0040539140571455535,0.004226944257553676,8.651510020406131e-05,Synergy (+),POS,quantity_level=1vs1,person3_color=white,0.0070220765080716355
quantity_level=1vs1 & person2_color=black,Interaction,0.0034636309049135817,0.0033944772137848196,0.003532456388030658,6.898958712291928e-05,Interference (-),NEG,quantity_level=1vs1,person2_color=black,0.005873529988021005
person2_color=white,Main Effect,0.0024928831572853362,0.0024698514882379383,0.0025164509369677286,2.329972436489517e-05,Negative (Promotes 0),NEG,person2_color=white,-,0.004227362667360547
person2_color=black,Main Effect,0.0022995990707556386,0.0022804495143807653,0.0023194621471303157,1.95063163747752e-05,Positive (Promotes 1),POS,person2_color=black,-,0.003899596831564094
quantity_level=1vs2 & person3_color=white,Interaction,0.002088982658039598,0.002042324545850937,0.0021368871685790375,4.728131136405036e-05,Interference (-),NEG,quantity_level=1vs2,person3_color=white,0.003542439313913426
quantity_level=1vs1 & person2_profession=low,Interaction,0.0019762641470364873,0.0019105774340712582,0.0020397398439842155,6.458120495647863e-05,Interference (-),NEG,quantity_level=1vs1,person2_profession=low,0.0033512943643627564
quantity_level=1vs1 & person2_profession=high,Interaction,0.0016580019783781657,0.0016082053380488772,0.001709621036757062,5.070784935409236e-05,Interference (-),NEG,quantity_level=1vs1,person2_profession=high,0.0028115941356185825
person2_gender=male,Main Effect,0.0016281208785796804,0.0016096665786345652,0.0016490425668010385,1.968799408323663e-05,Negative (Promotes 0),NEG,person2_gender=male,-,0.0027609225887477904
quantity_level=1vs10 & person3_color=white,Interaction,0.0015883174570124779,0.0015402189412807206,0.001635095504004807,4.743828136204316e-05,Synergy (+),POS,quantity_level=1vs10,person3_color=white,0.002693425041630645
person2_gender=female,Main Effect,0.001540268427829573,0.0015185066250043907,0.0015631431950766815,2.2318285036145415e-05,Positive (Promotes 1),POS,person2_gender=female,-,0.0026119448199936543
quantity_level=1vs2 & person3_color=black,Interaction,0.0014683275128079978,0.0014324160534295847,0.0015040501308566832,3.581703871354924e-05,Interference (-),NEG,quantity_level=1vs2,person3_color=black,0.0024899493957279057
person2_profession=high,Main Effect,0.0013707084903521265,0.00135346411427691,0.0013890209237095138,1.77784047163019e-05,Positive (Promotes 1),POS,person2_profession=high,-,0.0023244097433987665
person2_profession=low,Main Effect,0.0013101205458816534,0.0012902029705998568,0.0013288995590535948,1.9348294226868975e-05,Negative (Promotes 0),NEG,person2_profession=low,-,0.0022216663742207635
quantity_level=1vs10 & person2_color=white,Interaction,0.0010824629992281295,0.0010569181447984005,0.0011099941728580478,2.653801402982363e-05,Synergy (+),POS,quantity_level=1vs10,person2_color=white,0.0018356109705194488
quantity_level=1vs1 & person2_color=white,Interaction,0.0010757686695573633,0.0010422170903501692,0.0011098132271694838,3.379806840965731e-05,Interference (-),NEG,quantity_level=1vs1,person2_color=white,0.0018242589104557842
quantity_level=1vs1 & person2_gender=male,Interaction,0.0010628597179569892,0.0010267539472158306,0.0011015399630629813,3.7393007923575356e-05,Synergy (+),POS,quantity_level=1vs1,person2_gender=male,0.001802368265516929
quantity_level=1vs1 & person3_profession=low,Interaction,0.0010126933924025723,0.000978244277857385,0.0010480777588223315,3.491674048247326e-05,Synergy (+),POS,quantity_level=1vs1,person3_profession=low,0.00171729759094976
quantity_level=1vs10 & person3_color=black,Interaction,0.0010126177366570931,0.000971055826462073,0.001053731701008986,4.133793727345645e-05,Synergy (+),POS,quantity_level=1vs10,person3_color=black,0.0017171692960182164
quantity_level=1vs1 & person3_gender=female,Interaction,0.0009694133112472837,0.000930031012155765,0.0010083735448865806,3.917126636540782e-05,Synergy (+),POS,quantity_level=1vs1,person3_gender=female,0.001643904420162149
quantity_level=1vs1 & person1_color=black,Interaction,0.000964191421914524,0.0009368040445102738,0.0009899338409563735,2.6564898223049838e-05,Synergy (+),POS,quantity_level=1vs1,person1_color=black,0.001635049283910021
