Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,7.6555557,7.553899335861206,7.755270993709564,0.10068582892417899,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.34201667
person3_color=black,Main Effect,0.6868037,0.6709023073315621,0.7023446381092071,0.01572116538882251,Negative (Promotes 0),NEG,person3_color=black,-,0.030683378
quantity_level=1vs1 & person1_profession=high,Interaction,0.6196212,0.6014353409409523,0.6401633292436599,0.019363994151353814,Synergy (+),POS,quantity_level=1vs1,person1_profession=high,0.02768196
quantity_level=1vs1 & person3_profession=high,Interaction,0.5858674,0.5646468937397003,0.6080016776919365,0.021677391976118066,Synergy (+),POS,quantity_level=1vs1,person3_profession=high,0.026173986
quantity_level=1vs1 & person3_gender=female,Interaction,0.5792504,0.5588038206100464,0.6008404433727265,0.021018311381340027,Synergy (+),POS,quantity_level=1vs1,person3_gender=female,0.025878368
quantity_level=1vs1 & person1_gender=female,Interaction,0.5724414,0.5522989958524704,0.5941184252500534,0.020909714698791493,Synergy (+),POS,quantity_level=1vs1,person1_gender=female,0.025574172
quantity_level=1vs1 & person1_color=black,Interaction,0.5286783,0.5104013368487358,0.549417358636856,0.019508010894060124,Synergy (+),POS,quantity_level=1vs1,person1_color=black,0.023619028
quantity_level=1vs1 & person2_profession=high,Interaction,0.43988225,0.4225102156400681,0.4589652717113495,0.018227528035640705,Synergy (+),POS,quantity_level=1vs1,person2_profession=high,0.01965201
quantity_level=1vs1 & person2_color=black,Interaction,0.4212307,0.40362481847405435,0.4379108116030693,0.01714299656450749,Synergy (+),POS,quantity_level=1vs1,person2_color=black,0.018818742
person2_profession=high,Main Effect,0.4038289,0.3891518034040928,0.4196285791695118,0.015238387882709509,Positive (Promotes 1),POS,person2_profession=high,-,0.018041303
person2_color=black,Main Effect,0.37607515,0.3652161002159119,0.38691113591194154,0.010847517848014826,Positive (Promotes 1),POS,person2_color=black,-,0.016801389
person2_profession=high & person3_profession=high,Interaction,0.37001437,0.3582531243562698,0.381079576164484,0.011413225904107094,Synergy (+),POS,person2_profession=high,person3_profession=high,0.01653062
quantity_level=1vs1 & person2_gender=female,Interaction,0.35813528,0.3423249363899231,0.3738158144056797,0.01574543900787828,Synergy (+),POS,quantity_level=1vs1,person2_gender=female,0.015999913
quantity_level=1vs1 & person3_color=black,Interaction,0.3306786,0.3177066773176193,0.34373428821563723,0.013013805449008958,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.01477327
person2_gender=female,Main Effect,0.3235905,0.31333254724740983,0.3354206994175911,0.011044076085090643,Positive (Promotes 1),POS,person2_gender=female,-,0.014456604
person1_gender=female & person2_gender=female,Interaction,0.2991189,0.2895526081323624,0.30899291262030604,0.009720152243971825,Interference (-),NEG,person1_gender=female,person2_gender=female,0.013363321
person1_color=black & person3_gender=female,Interaction,0.27995062,0.27100268229842184,0.2886988751590252,0.008848096430301683,Synergy (+),POS,person1_color=black,person3_gender=female,0.0125069665
person3_profession=high,Main Effect,0.27488112,0.2660152427852154,0.28341630548238755,0.008700531348586088,Negative (Promotes 0),NEG,person3_profession=high,-,0.012280484
person3_gender=female,Main Effect,0.25266647,0.2443346593528986,0.2617511421442032,0.008708241395652294,Negative (Promotes 0),NEG,person3_gender=female,-,0.01128803
person3_color=black & person3_gender=female,Interaction,0.24372041,0.23350158631801604,0.2543749511241913,0.010436682403087622,Interference (-),NEG,person3_color=black,person3_gender=female,0.0108883595
person1_color=black & person1_gender=female,Interaction,0.24026272,0.2323247231543064,0.24816630668938158,0.007920791767537586,Synergy (+),POS,person1_color=black,person1_gender=female,0.010733885
person2_gender=female & person3_profession=high,Interaction,0.23691595,0.22853236570954322,0.245316381752491,0.008392008021473885,Interference (-),NEG,person2_gender=female,person3_profession=high,0.010584366
person1_color=black,Main Effect,0.23610578,0.2287521705031395,0.24388576820492744,0.007566798850893966,Negative (Promotes 0),NEG,person1_color=black,-,0.010548172
person1_gender=female & person2_profession=high,Interaction,0.2350325,0.22612357549369336,0.2431987278163433,0.008537576161324972,Interference (-),NEG,person1_gender=female,person2_profession=high,0.0105002215
person1_gender=female,Main Effect,0.22658093,0.2189844287931919,0.23386053256690503,0.0074380518868565615,Positive (Promotes 1),POS,person1_gender=female,-,0.010122643
person1_color=black & person2_color=black,Interaction,0.22151144,0.21303012296557428,0.23055144846439363,0.008760662749409676,Synergy (+),POS,person1_color=black,person2_color=black,0.00989616
person2_color=black & person3_color=black,Interaction,0.21553065,0.20402985103428364,0.22622119560837745,0.011095672287046901,Interference (-),NEG,person2_color=black,person3_color=black,0.009628965
person1_profession=high & person2_profession=high,Interaction,0.21184672,0.20378998219966887,0.2194768626242876,0.007843440212309358,Interference (-),NEG,person1_profession=high,person2_profession=high,0.009464383
person2_profession=high & person3_gender=female,Interaction,0.210503,0.2026431556791067,0.21819367930293082,0.007775261811912057,Interference (-),NEG,person2_profession=high,person3_gender=female,0.009404351
person1_color=black & person3_color=black,Interaction,0.21043499,0.2030966255813837,0.21788240037858486,0.007392887398600584,Interference (-),NEG,person1_color=black,person3_color=black,0.009401312
person1_profession=high & person3_color=black,Interaction,0.20635322,0.19791823476552964,0.21504852026700974,0.008565142750740051,Interference (-),NEG,person1_profession=high,person3_color=black,0.009218957
person2_gender=female & person3_color=black,Interaction,0.20547065,0.19582463391125202,0.21564869731664657,0.009912031702697277,Interference (-),NEG,person2_gender=female,person3_color=black,0.009179528
person1_profession=high & person1_gender=female,Interaction,0.20508192,0.19804960191249849,0.21259951144456862,0.007274954766035069,Synergy (+),POS,person1_profession=high,person1_gender=female,0.0091621615
person1_profession=high,Main Effect,0.20399661,0.19715641625225544,0.21132049188017846,0.007082037813961509,Negative (Promotes 0),NEG,person1_profession=high,-,0.009113674
person2_gender=female & person3_gender=female,Interaction,0.20168398,0.19299228005111219,0.2099732607603073,0.008490490354597563,Interference (-),NEG,person2_gender=female,person3_gender=female,0.009010356
person1_profession=high & person3_profession=high,Interaction,0.19844365,0.19133386127650737,0.20562024377286434,0.007143191248178485,Interference (-),NEG,person1_profession=high,person3_profession=high,0.008865592
person3_color=black & person3_profession=high,Interaction,0.19588839,0.18737086169421674,0.20423351973295212,0.00843132901936769,Interference (-),NEG,person3_color=black,person3_profession=high,0.008751434
person1_color=black & person2_gender=female,Interaction,0.19067341,0.18331790789961816,0.19823169857263565,0.007456895336508743,Interference (-),NEG,person1_color=black,person2_gender=female,0.008518452
person3_profession=high & person3_gender=female,Interaction,0.18317716,0.17642975859344007,0.18979465626180173,0.006682448834180829,Interference (-),NEG,person3_profession=high,person3_gender=female,0.008183552
person1_color=black & person2_profession=high,Interaction,0.1775373,0.1693619903177023,0.18514689356088637,0.007892451621592037,Interference (-),NEG,person1_color=black,person2_profession=high,0.007931588
person1_gender=female & person3_color=black,Interaction,0.17700084,0.16875429674983025,0.18444611169397832,0.007845907472074032,Interference (-),NEG,person1_gender=female,person3_color=black,0.007907622
person2_profession=high & person2_gender=female,Interaction,0.17555432,0.1679932601749897,0.18340335749089717,0.007705048657953739,Interference (-),NEG,person2_profession=high,person2_gender=female,0.007842997
person1_gender=female & person3_profession=high,Interaction,0.1731148,0.16622987128794192,0.17954017594456673,0.0066551523283124026,Interference (-),NEG,person1_gender=female,person3_profession=high,0.0077340105
person1_color=black & person3_profession=high,Interaction,0.17230256,0.166521430388093,0.17858067527413368,0.006029622443020341,Interference (-),NEG,person1_color=black,person3_profession=high,0.007697723
person2_color=black & person2_profession=high,Interaction,0.17204988,0.16445087157189847,0.1807175859808922,0.008133357204496858,Interference (-),NEG,person2_color=black,person2_profession=high,0.0076864343
person1_gender=female & person3_gender=female,Interaction,0.17065266,0.16477665565907956,0.17706818878650665,0.006145766563713545,Interference (-),NEG,person1_gender=female,person3_gender=female,0.0076240124
person2_profession=high & person3_color=black,Interaction,0.16963778,0.16186675168573855,0.17804065495729446,0.008086951635777953,Interference (-),NEG,person2_profession=high,person3_color=black,0.0075786724
person1_color=black & person1_profession=high,Interaction,0.16537641,0.15936691090464591,0.17115887813270092,0.005895983614027503,Interference (-),NEG,person1_color=black,person1_profession=high,0.007388293
person2_color=black & person3_profession=high,Interaction,0.157881,0.15085662193596364,0.16452394910156726,0.0068336635828018105,Interference (-),NEG,person2_color=black,person3_profession=high,0.007053431
person2_color=black & person2_gender=female,Interaction,0.15653405,0.14993560053408145,0.16399407275021077,0.007029236108064663,Interference (-),NEG,person2_color=black,person2_gender=female,0.0069932546
person1_profession=high & person3_gender=female,Interaction,0.1561753,0.15017181038856506,0.16262266114354135,0.006225425377488145,Synergy (+),POS,person1_profession=high,person3_gender=female,0.0069772275
person1_profession=high & person2_gender=female,Interaction,0.15100852,0.14515550918877124,0.15767275169491768,0.006258621253073221,Synergy (+),POS,person1_profession=high,person2_gender=female,0.0067463983
person1_gender=female & person2_color=black,Interaction,0.14784902,0.14183786697685719,0.15435674861073495,0.006259440816938883,Synergy (+),POS,person1_gender=female,person2_color=black,0.006605246
person2_color=black & person3_gender=female,Interaction,0.1367058,0.13119030073285104,0.142355952039361,0.0055828256532549775,Interference (-),NEG,person2_color=black,person3_gender=female,0.0061074155
person1_profession=high & person2_color=black,Interaction,0.13365926,0.12864011637866496,0.13833860270678996,0.004849243164062503,Interference (-),NEG,person1_profession=high,person2_color=black,0.0059713097
quantity_level=1vs10,Main Effect,0.088344,0.08196466770023107,0.09465359449386597,0.0063444633968174485,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.0039468226
quantity_level=1vs1 & quantity_level=1vs10,Interaction,0.026718225,0.024250100087374448,0.02904302142560482,0.0023964606691151864,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs10,0.0011936531
quantity_level=1vs10 & person3_gender=female,Interaction,0.015959907,0.014814576506614685,0.017093235114589333,0.0011393293039873237,Interference (-),NEG,quantity_level=1vs10,person3_gender=female,0.0007130187
quantity_level=1vs10 & person1_profession=high,Interaction,0.015185158,0.014090175880119205,0.016282176971435545,0.0010960005456581703,Interference (-),NEG,quantity_level=1vs10,person1_profession=high,0.0006784063
quantity_level=1vs10 & person3_profession=high,Interaction,0.001261103,0.001141287587233819,0.001380704389885068,0.00011970840132562448,Synergy (+),POS,quantity_level=1vs10,person3_profession=high,5.6340552e-05
quantity_level=1vs10 & person2_gender=female,Interaction,0.0012345827,0.0011317936150589958,0.001350473947240971,0.00010934016609098762,Synergy (+),POS,quantity_level=1vs10,person2_gender=female,5.5155742e-05
quantity_level=1vs10 & person3_color=black,Interaction,0.0012051639,0.0010902071953751147,0.0013151525083230809,0.0001124726564739831,Synergy (+),POS,quantity_level=1vs10,person3_color=black,5.384144e-05
quantity_level=1vs10 & person2_profession=high,Interaction,0.0011886427,0.0010650361189618706,0.0013084234844427556,0.0001216936827404425,Synergy (+),POS,quantity_level=1vs10,person2_profession=high,5.3103344e-05
quantity_level=1vs10 & person1_gender=female,Interaction,0.0008529574,0.0007726406009169295,0.0009289588706451468,7.815913486410866e-05,Interference (-),NEG,quantity_level=1vs10,person1_gender=female,3.81064e-05
quantity_level=1vs10 & person1_color=black,Interaction,0.00075981603,0.0006848286415333859,0.0008439198616542853,7.954561006044968e-05,Synergy (+),POS,quantity_level=1vs10,person1_color=black,3.394525e-05
quantity_level=1vs10 & person2_color=black,Interaction,0.00034229146,0.00030052796137169935,0.0003873507957905531,4.341141720942687e-05,Synergy (+),POS,quantity_level=1vs10,person2_color=black,1.5292082e-05
quantity_level=1vs5,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,quantity_level=1vs5,-,0.0
quantity_level=1vs2,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,quantity_level=1vs2,-,0.0
person1_profession=low,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,person1_profession=low,-,0.0
person2_color=white,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,person2_color=white,-,0.0
person1_gender=male,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,person1_gender=male,-,0.0
person1_color=white,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,person1_color=white,-,0.0
person3_profession=low,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,person3_profession=low,-,0.0
person3_gender=male,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,person3_gender=male,-,0.0
person3_color=white,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,person3_color=white,-,0.0
person2_profession=low,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,person2_profession=low,-,0.0
person2_gender=male,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,person2_gender=male,-,0.0
