Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,4.682339802648442,4.5651107092378815,4.79773191356846,0.1163106021652891,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.3847618620198408
quantity_level=1vs5,Main Effect,0.20415550942304678,0.20099277372676158,0.20716669103360688,0.00308695865342265,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.016776068644738296
quantity_level=1vs1 & quantity_level=1vs5,Interaction,0.19495887810988963,0.18771345826953245,0.2021203746447835,0.007203458187625522,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs5,0.016020353951336753
quantity_level=1vs1 & person3_color=black,Interaction,0.16704819317131123,0.16227337909538145,0.1720583770873632,0.004892498995990882,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.013726849515553955
quantity_level=1vs1 & quantity_level=1vs10,Interaction,0.16406341064403307,0.158229749763498,0.16957042304444891,0.005670336640475462,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs10,0.01348158101063463
quantity_level=1vs10,Main Effect,0.14529375338012038,0.14141764795600215,0.1489195992374969,0.0037509756407473754,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.011939222151020803
person3_gender=male,Main Effect,0.14279870144361453,0.14073058840090738,0.14498973656066116,0.002129574079876892,Positive (Promotes 1),POS,person3_gender=male,-,0.01173419627306483
quantity_level=1vs1 & person3_color=white,Interaction,0.13828634294704978,0.13405359810479867,0.14254020853488072,0.004243305215041029,Synergy (+),POS,quantity_level=1vs1,person3_color=white,0.01136340228321871
person3_color=black,Main Effect,0.13112528152175987,0.12880688705388615,0.13359686698070514,0.0023949899634094912,Negative (Promotes 0),NEG,person3_color=black,-,0.010774956453961608
quantity_level=1vs1 & person2_profession=high,Interaction,0.12569747695301325,0.12100998662216833,0.13058238122412902,0.004786197300980344,Synergy (+),POS,quantity_level=1vs1,person2_profession=high,0.010328937523133587
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.12331136711393069,0.11871849305596467,0.127868975202625,0.004575241073330162,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.010132863743065344
person3_gender=female,Main Effect,0.11283208023774983,0.11067538705040786,0.11486327001337558,0.0020939414814838617,Negative (Promotes 0),NEG,person3_gender=female,-,0.009271749406844207
person3_color=white,Main Effect,0.11111644760953139,0.10902751244922156,0.11348552693540168,0.00222900724309006,Positive (Promotes 1),POS,person3_color=white,-,0.009130770743953924
person2_gender=male,Main Effect,0.1090677985250836,0.1070267419804807,0.11102069531391644,0.001996976666717866,Negative (Promotes 0),NEG,person2_gender=male,-,0.00896242712311899
person2_profession=high,Main Effect,0.10355398232427028,0.10095595831710516,0.10608901123592805,0.002566526459411446,Positive (Promotes 1),POS,person2_profession=high,-,0.008509340359304854
person2_gender=female,Main Effect,0.10031737940696846,0.09853281734531616,0.10209655110659485,0.0017818668806393462,Positive (Promotes 1),POS,person2_gender=female,-,0.0082433790199814
quantity_level=1vs2,Main Effect,0.09313825326221835,0.09101909230571122,0.09531671621871644,0.0021488119565026137,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.007653448758711815
quantity_level=1vs1 & person2_profession=low,Interaction,0.08453037048840559,0.08129198489464104,0.0879314606939995,0.00331973789967923,Synergy (+),POS,quantity_level=1vs1,person2_profession=low,0.0069461132931765346
