Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,7.8000986135756865,7.601832975350598,7.997428037355516,0.1977975310024589,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.29916302049971166
person2_gender=female,Main Effect,0.6192312871730421,0.612313099364333,0.6265522317971528,0.007119566216409912,Positive (Promotes 1),POS,person2_gender=female,-,0.023749841051520972
person3_gender=female,Main Effect,0.4531678111235028,0.44597836333241603,0.46018833652899466,0.0071049865982893146,Negative (Promotes 0),NEG,person3_gender=female,-,0.01738068425609328
person3_gender=male,Main Effect,0.43523767432380067,0.4310323631028244,0.43996826672167844,0.004467951809427023,Positive (Promotes 1),POS,person3_gender=male,-,0.016692996298708216
quantity_level=1vs1 & person3_color=black,Interaction,0.3413591749582271,0.3304834640565771,0.35318125361730746,0.011348894780365187,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.013092403944490443
person3_color=black,Main Effect,0.33517091191374354,0.32894144489847615,0.3417457869252756,0.00640217101339971,Negative (Promotes 0),NEG,person3_color=black,-,0.012855060860030928
person1_color=black,Main Effect,0.32849707177290594,0.32143285415793177,0.3353536558673633,0.006960400854715776,Negative (Promotes 0),NEG,person1_color=black,-,0.012599094073740526
quantity_level=1vs1 & person2_profession=high,Interaction,0.24592578836866522,0.23591183808379224,0.2556773731138219,0.009882767515014823,Synergy (+),POS,quantity_level=1vs1,person2_profession=high,0.009432175836738076
quantity_level=1vs2,Main Effect,0.23196841504172905,0.22382738649709966,0.24053826994556388,0.00835544172423211,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.008896858250437175
quantity_level=1vs1 & person1_color=black,Interaction,0.22539582105661235,0.21599305723157564,0.23475545508612675,0.009381198927275555,Interference (-),NEG,quantity_level=1vs1,person1_color=black,0.008644774633739876
person3_color=white,Main Effect,0.2200563194763908,0.21693835096508557,0.22323645042638526,0.003149049730649847,Positive (Promotes 1),POS,person3_color=white,-,0.008439984733017094
person2_gender=male,Main Effect,0.21725441857962988,0.21379392071996786,0.22042619340240407,0.0033161363412181066,Negative (Promotes 0),NEG,person2_gender=male,-,0.008332521330701007
person2_profession=high,Main Effect,0.21619704985576996,0.2099974751376917,0.22195772012009032,0.005980122491199308,Positive (Promotes 1),POS,person2_profession=high,-,0.008291967276594394
quantity_level=1vs10,Main Effect,0.21242721080881927,0.20496644712448447,0.21919950270087438,0.007116527788194951,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.008147379817902443
person1_color=black & person1_gender=male,Interaction,0.20931985696124655,0.20433076659741306,0.2139066047049032,0.0047879190537450655,Synergy (+),POS,person1_color=black,person1_gender=male,0.008028201149932359
quantity_level=1vs1 & person2_color=black,Interaction,0.19189100501814144,0.18371572760095314,0.2001786159001038,0.008231444149575329,Synergy (+),POS,quantity_level=1vs1,person2_color=black,0.007359739345864039
quantity_level=1vs1 & person1_gender=female,Interaction,0.18365473057703854,0.17647806144583858,0.1913081291306874,0.0074150338424244094,Interference (-),NEG,quantity_level=1vs1,person1_gender=female,0.007043847347373602
quantity_level=1vs1 & person1_profession=high,Interaction,0.17948108939143195,0.1717132592126808,0.1875098305258089,0.007898285656564058,Interference (-),NEG,quantity_level=1vs1,person1_profession=high,0.0068837725630119095
person1_color=black & person2_gender=female,Interaction,0.17502548376582758,0.16867929661585487,0.18108608905532958,0.006203396219737353,Interference (-),NEG,person1_color=black,person2_gender=female,0.006712883385432619
person2_color=black & person3_color=black,Interaction,0.1687427355181615,0.16529912357519197,0.17182249013167045,0.0032616832782392385,Synergy (+),POS,person2_color=black,person3_color=black,0.006471916439253276
quantity_level=1vs10 & person3_color=black,Interaction,0.16806641210188147,0.16385432668726035,0.17179507609368821,0.00397037470321393,Interference (-),NEG,quantity_level=1vs10,person3_color=black,0.006445976901040661
person1_profession=low & person3_profession=high,Interaction,0.16241787188707754,0.15989482531928376,0.1649222040622589,0.0025136893714875763,Interference (-),NEG,person1_profession=low,person3_profession=high,0.006229334210250347
person1_gender=female,Main Effect,0.16240887291312134,0.15740022435025133,0.1682464082575286,0.005423091953638631,Negative (Promotes 0),NEG,person1_gender=female,-,0.006228989065866474
person1_profession=high & person3_profession=high,Interaction,0.16055487770515472,0.15752490295174446,0.16368703738830775,0.0030810672182816495,Interference (-),NEG,person1_profession=high,person3_profession=high,0.006157881399940052
person2_color=black,Main Effect,0.1600611185991717,0.1549668394247113,0.1658950355835488,0.00546409807941875,Positive (Promotes 1),POS,person2_color=black,-,0.006138943887369629
person2_color=black & person2_profession=high,Interaction,0.15870995882673652,0.15514364043136078,0.16198380508910018,0.0034200823288697,Interference (-),NEG,person2_color=black,person2_profession=high,0.006087121845274433
person2_gender=female & person3_gender=male,Interaction,0.15815338296785741,0.15321840561055014,0.16269946753990117,0.004740530964675513,Interference (-),NEG,person2_gender=female,person3_gender=male,0.006065775074761853
