Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,0.1908254404574652,0.18744718785471587,0.19421319033923592,0.003383001242260028,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.3245146894728512
quantity_level=1vs5,Main Effect,0.055624106232509254,0.054663431719971387,0.05653363160070828,0.000935099940368448,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.09459346467627383
quantity_level=1vs10,Main Effect,0.05540626463247112,0.05446880209451949,0.056300225125056426,0.0009157115152684664,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.09422300673826949
quantity_level=1vs2,Main Effect,0.05476756666490711,0.05385808240861965,0.05576977525508327,0.0009558464232318105,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.09313684719835648
quantity_level=1vs1 & quantity_level=1vs10,Interaction,0.02330459777010372,0.02274963905573271,0.023809038070857533,0.000529699507562412,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs10,0.03963142592793137
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.022308062423800692,0.0218252193412632,0.022817744002463454,0.0004962623306001262,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.03793673386968702
quantity_level=1vs1 & quantity_level=1vs5,Interaction,0.021712735579744492,0.02120902520578866,0.022196300254694372,0.000493637524452856,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs5,0.03692433056816385
quantity_level=1vs10 & quantity_level=1vs5,Interaction,0.019897610349441517,0.019528847939522493,0.020269723213935827,0.00037043763720666714,Synergy (+),POS,quantity_level=1vs10,quantity_level=1vs5,0.03383755765647022
quantity_level=1vs2 & quantity_level=1vs5,Interaction,0.019691369383938107,0.01931584904251049,0.020101609442287748,0.0003928801998886282,Synergy (+),POS,quantity_level=1vs2,quantity_level=1vs5,0.03348682757186267
quantity_level=1vs10 & quantity_level=1vs2,Interaction,0.019160612266987044,0.018806516957291422,0.019522751940656967,0.00035811749168277243,Synergy (+),POS,quantity_level=1vs10,quantity_level=1vs2,0.032584230514677986
person3_color=black,Main Effect,0.004891092801792739,0.004856347869904066,0.004922785183929318,3.321865701262595e-05,Negative (Promotes 0),NEG,person3_color=black,-,0.008317714126332441
person3_color=white,Main Effect,0.004203356352295482,0.004175626578818479,0.004231427911033648,2.790066610758443e-05,Positive (Promotes 1),POS,person3_color=white,-,0.007148160529009498
quantity_level=1vs1 & person3_color=white,Interaction,0.0028990292557320965,0.002834477799555412,0.0029686215058508116,6.707185314769977e-05,Synergy (+),POS,quantity_level=1vs1,person3_color=white,0.004930042747137328
quantity_level=1vs1 & person3_gender=female,Interaction,0.0027874795282351855,0.0027230480578977517,0.0028516122452113455,6.428209365679687e-05,Interference (-),NEG,quantity_level=1vs1,person3_gender=female,0.004740343066147936
person3_gender=female,Main Effect,0.0026449979416071734,0.002617613142654286,0.002671693557300827,2.7040207323270624e-05,Negative (Promotes 0),NEG,person3_gender=female,-,0.004498041160650725
person3_gender=male,Main Effect,0.0025059039631959664,0.0024839759337524567,0.0025285084208847364,2.2266243566139866e-05,Positive (Promotes 1),POS,person3_gender=male,-,0.004261500167461101
quantity_level=1vs1 & person3_color=black,Interaction,0.0022661476846002333,0.0021875662530564145,0.0023506486421805443,8.154119456206489e-05,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.003853774477892978
