Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,8.278221,8.160724997520447,8.388568592071532,0.11392179727554286,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.35468808
quantity_level=1vs1 & person3_color=black,Interaction,0.65381086,0.6279908776283264,0.6791791632771492,0.025594142824411414,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.028013134
person3_color=black,Main Effect,0.58126473,0.5662625506520271,0.5966134056448936,0.015175427496433247,Negative (Promotes 0),NEG,person3_color=black,-,0.024904829
quantity_level=1vs1 & person1_color=black,Interaction,0.5473998,0.523949320614338,0.5705409541726112,0.023295816779136613,Synergy (+),POS,quantity_level=1vs1,person1_color=black,0.023453854
quantity_level=1vs1 & person2_profession=high,Interaction,0.50595623,0.4849497199058533,0.5291827604174614,0.022116520255804045,Synergy (+),POS,quantity_level=1vs1,person2_profession=high,0.021678166
quantity_level=1vs1 & person1_gender=female,Interaction,0.5049132,0.4854325704276562,0.5226939275860787,0.018630678579211246,Synergy (+),POS,quantity_level=1vs1,person1_gender=female,0.021633476
person3_gender=female,Main Effect,0.49805596,0.4836092881858349,0.5128646403551101,0.014627676084637636,Negative (Promotes 0),NEG,person3_gender=female,-,0.021339672
person2_gender=female,Main Effect,0.4785183,0.4636975094676018,0.49336343705654145,0.014832963794469828,Positive (Promotes 1),POS,person2_gender=female,-,0.020502562
person2_gender=female & person3_gender=female,Interaction,0.40209824,0.38866902366280554,0.4141205534338951,0.012725764885544777,Interference (-),NEG,person2_gender=female,person3_gender=female,0.017228274
quantity_level=1vs1 & person2_color=black,Interaction,0.37818262,0.36112955808639524,0.395108113437891,0.01698927767574787,Synergy (+),POS,quantity_level=1vs1,person2_color=black,0.016203586
person2_profession=high,Main Effect,0.3750902,0.36285156980156896,0.38839341029524804,0.01277092024683954,Positive (Promotes 1),POS,person2_profession=high,-,0.016071089
quantity_level=1vs1 & person1_profession=high,Interaction,0.35078403,0.33542347624897956,0.367450862377882,0.016013693064451218,Synergy (+),POS,quantity_level=1vs1,person1_profession=high,0.015029669
