Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,4.972670679279131,4.842291698732214,5.094949981150173,0.12632914120897976,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.4398689842291098
quantity_level=1vs1 & person3_color=white,Interaction,0.31783776098846483,0.3082131749073426,0.32662000735929847,0.009203416225977923,Interference (-),NEG,quantity_level=1vs1,person3_color=white,0.028115067755888047
quantity_level=1vs1 & person3_color=black,Interaction,0.30008480230987594,0.2909947199010377,0.30816102372488624,0.00858315191192427,Interference (-),NEG,quantity_level=1vs1,person3_color=black,0.026544689099293743
person3_color=white,Main Effect,0.225573312769682,0.22248656050621188,0.22864856722012644,0.003081003356957282,Positive (Promotes 1),POS,person3_color=white,-,0.019953604482728232
person3_color=black,Main Effect,0.20306043938213464,0.20036672671027414,0.20580193374604874,0.0027176035178873015,Negative (Promotes 0),NEG,person3_color=black,-,0.017962176658978885
quantity_level=1vs1 & quantity_level=1vs5,Interaction,0.18586125836686881,0.18000720272819187,0.1919548302446522,0.005973813758230168,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs5,0.016440783675067412
quantity_level=1vs1 & person2_color=white,Interaction,0.17251870413129503,0.16693858713920606,0.17755748665032506,0.005309449755559498,Interference (-),NEG,quantity_level=1vs1,person2_color=white,0.015260537453840784
quantity_level=1vs1 & quantity_level=1vs10,Interaction,0.17233906300933227,0.16618860794724363,0.17836515840078238,0.006088275226769371,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs10,0.015244646886590312
quantity_level=1vs1 & person2_color=black,Interaction,0.1634435609879159,0.15821504330187747,0.16829168327208963,0.0050383199851060795,Interference (-),NEG,quantity_level=1vs1,person2_color=black,0.014457774863338687
quantity_level=1vs5,Main Effect,0.13288777010086283,0.12956875677511512,0.1363430971612919,0.0033871701930883874,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.011754892334678343
person2_color=white,Main Effect,0.12516691145021883,0.12305044396824498,0.12754849074260666,0.0022490233871808388,Negative (Promotes 0),NEG,person2_color=white,-,0.011071926083527433
quantity_level=1vs10,Main Effect,0.12494520251196327,0.12159896047362105,0.12820615676709518,0.003303598146737065,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.011052314311151
person2_color=black,Main Effect,0.12375881697210891,0.12160243403643543,0.12636208232793975,0.002379824145752156,Positive (Promotes 1),POS,person2_color=black,-,0.01094736985856652
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.11373591564092467,0.1100488259763965,0.11733088239362825,0.003641028208615879,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.010060771144932075
quantity_level=1vs1 & person2_gender=female,Interaction,0.10010346815855344,0.09617788596595031,0.10418866634597565,0.00400539019001267,Interference (-),NEG,quantity_level=1vs1,person2_gender=female,0.008854881752012008
quantity_level=1vs1 & person1_profession=high,Interaction,0.08138724281508679,0.0773022900523754,0.08545332935784111,0.0040755196527328535,Interference (-),NEG,quantity_level=1vs1,person1_profession=high,0.00719929513439444
quantity_level=1vs2,Main Effect,0.07571846340812069,0.07423932958187816,0.07720054130107772,0.0014806058595997762,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.0066978502569060815
quantity_level=1vs1 & person1_profession=low,Interaction,0.07530269709376858,0.0716062865377234,0.07879305685536225,0.0035933851588194274,Interference (-),NEG,quantity_level=1vs1,person1_profession=low,0.006661072694472115
quantity_level=1vs1 & person2_profession=high,Interaction,0.07447703431010491,0.07119369490883734,0.07769997145823807,0.0032531382747003623,Synergy (+),POS,quantity_level=1vs1,person2_profession=high,0.0065880368002032095
quantity_level=1vs1 & person3_gender=male,Interaction,0.07156849882413653,0.06840601622591448,0.07479099542828467,0.0031924896011850945,Interference (-),NEG,quantity_level=1vs1,person3_gender=male,0.006330755626298346
quantity_level=1vs1 & person2_gender=male,Interaction,0.07016959210435167,0.06710427086550078,0.07328506754032185,0.003090398337410538,Interference (-),NEG,quantity_level=1vs1,person2_gender=male,0.0062070121255619875
person2_gender=female,Main Effect,0.06844697061547797,0.06668757210219373,0.07026554449895285,0.0017889861983795621,Positive (Promotes 1),POS,person2_gender=female,-,0.006054633692845837
quantity_level=1vs1 & person2_profession=low,Interaction,0.06678203533897796,0.0637428869260778,0.06953786699103402,0.002897490032478113,Synergy (+),POS,quantity_level=1vs1,person2_profession=low,0.005907358026284415
quantity_level=1vs1 & person3_profession=high,Interaction,0.06195338399903927,0.059162549926455824,0.06461564685770312,0.002726548465623646,Synergy (+),POS,quantity_level=1vs1,person3_profession=high,0.005480228602864953
quantity_level=1vs1 & person3_gender=female,Interaction,0.0600358459155887,0.057471983896674,0.06257958102603488,0.0025537985646804373,Interference (-),NEG,quantity_level=1vs1,person3_gender=female,0.00531060837595093
