Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,6.529017544476317,6.348970910746708,6.692955742593566,0.17199241592342895,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.29161232976478113
person3_color=black,Main Effect,1.1061452076096192,1.094226561832965,1.1185309145007871,0.01215217633391108,Negative (Promotes 0),NEG,person3_color=black,-,0.04940491871125169
person2_color=black,Main Effect,0.7326013493715289,0.72190584961744,0.7434920284326461,0.01079308940760304,Positive (Promotes 1),POS,person2_color=black,-,0.03272093922611588
quantity_level=1vs1 & person3_color=black,Interaction,0.5298196258298499,0.5142420103350679,0.5445244973738296,0.015141243519380843,Interference (-),NEG,quantity_level=1vs1,person3_color=black,0.023663887313958736
person2_gender=female,Main Effect,0.4072056324679353,0.397638961324555,0.41615510279904644,0.009258070737245716,Positive (Promotes 1),POS,person2_gender=female,-,0.01818745046531197
quantity_level=1vs1 & person2_color=black,Interaction,0.2969514826746791,0.2876891770410766,0.30601151432203405,0.009161168640478723,Interference (-),NEG,quantity_level=1vs1,person2_color=black,0.013263054219103778
person1_gender=female,Main Effect,0.2630437744358415,0.25495276832618186,0.2713281601996309,0.008187695936724526,Positive (Promotes 1),POS,person1_gender=female,-,0.011748598831420333
person2_profession=high,Main Effect,0.25478192841471337,0.24692232964117883,0.26286648454764955,0.00797207745323536,Positive (Promotes 1),POS,person2_profession=high,-,0.011379591373565156
person3_gender=female,Main Effect,0.2480475347608857,0.24042215282997978,0.25619501470994044,0.00788643093998033,Negative (Promotes 0),NEG,person3_gender=female,-,0.011078806116125117
person1_color=black,Main Effect,0.22698959243838368,0.219814593817382,0.23383878828270344,0.007012097232660719,Positive (Promotes 1),POS,person1_color=black,-,0.010138273244389704
person2_color=black & person3_color=black,Interaction,0.22129297060419034,0.21363102806909337,0.22912899113766166,0.007748981534284147,Interference (-),NEG,person2_color=black,person3_color=black,0.009883839073621782
person3_profession=high,Main Effect,0.20854137123318664,0.2018638763255091,0.21539996003142053,0.006768041852955722,Positive (Promotes 1),POS,person3_profession=high,-,0.009314301072617106
