Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,0.19910041522938488,0.19524903355246156,0.20254582399192528,0.0036483952197318564,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.3235025262841682
quantity_level=1vs10,Main Effect,0.05531336199454946,0.054334471563749195,0.05625947823848535,0.0009625033373680779,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.0898743095130748
quantity_level=1vs2,Main Effect,0.05473726786819646,0.05380245559683658,0.055634662186781966,0.0009161032949726935,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.08893825970605682
quantity_level=1vs5,Main Effect,0.04996465828721902,0.04915845174065359,0.05081643930740898,0.0008289937833776927,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.08118362366154917
quantity_level=1vs1 & quantity_level=1vs10,Interaction,0.02587266134638297,0.025300418235408656,0.026443176219016585,0.0005713789918039645,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs10,0.042038442248383344
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.024819122585101962,0.02427873467043947,0.025327527331125154,0.0005243963303428415,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.04032663039495232
quantity_level=1vs1 & quantity_level=1vs5,Interaction,0.019969413405094113,0.019520968188088544,0.020429775613103832,0.00045440371250764396,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs5,0.0324467213065231
quantity_level=1vs10 & quantity_level=1vs2,Interaction,0.018726694891830663,0.01837515438641723,0.019075268417214845,0.00035005701539880807,Synergy (+),POS,quantity_level=1vs10,quantity_level=1vs2,0.03042752622831265
quantity_level=1vs2 & quantity_level=1vs5,Interaction,0.018450869464363046,0.018081406865663095,0.0188109812045329,0.00036478716943490197,Synergy (+),POS,quantity_level=1vs2,quantity_level=1vs5,0.02997935929457531
quantity_level=1vs10 & quantity_level=1vs5,Interaction,0.018336045819475677,0.0179973826689296,0.018678289628439048,0.00034045347975472477,Synergy (+),POS,quantity_level=1vs10,quantity_level=1vs5,0.02979279143053834
quantity_level=1vs1 & person2_color=black,Interaction,0.006036180860726145,0.00589999696121685,0.006166546140044733,0.00013327458941394133,Interference (-),NEG,quantity_level=1vs1,person2_color=black,0.009807713134617584
person3_color=black,Main Effect,0.00603031488482851,0.005985614788008124,0.006074259337297482,4.432227464467881e-05,Negative (Promotes 0),NEG,person3_color=black,-,0.00979818197407319
person3_color=white,Main Effect,0.005766162893723401,0.005726033402745311,0.005805759951050588,3.9863274152638316e-05,Positive (Promotes 1),POS,person3_color=white,-,0.009368982284323452
person2_color=white,Main Effect,0.005296805192924456,0.005262685089088461,0.005333763771112033,3.553934101178588e-05,Negative (Promotes 0),NEG,person2_color=white,-,0.008606360057923503
quantity_level=1vs1 & person2_color=white,Interaction,0.005171586068485384,0.00505225853495606,0.005292547540098637,0.00012014450257128838,Interference (-),NEG,quantity_level=1vs1,person2_color=white,0.008402901400901311
quantity_level=1vs1 & person3_color=white,Interaction,0.0047247861010124665,0.00460776629410937,0.004841408148119915,0.00011682092700527258,Interference (-),NEG,quantity_level=1vs1,person3_color=white,0.007676931452246778
person2_color=black,Main Effect,0.004677218445171242,0.0046486998985723685,0.004708865266959793,3.0082684193712388e-05,Positive (Promotes 1),POS,person2_color=black,-,0.0075996425283822895
quantity_level=1vs1 & person3_color=black,Interaction,0.004554613712931808,0.004418681210500912,0.004681833448328162,0.00013157611891362504,Interference (-),NEG,quantity_level=1vs1,person3_color=black,0.007400431790583702
quantity_level=1vs1 & person2_gender=male,Interaction,0.0022932795537269316,0.002223236172485197,0.00235913055161491,6.794718956485649e-05,Interference (-),NEG,quantity_level=1vs1,person2_gender=male,0.0037261686684669417
quantity_level=1vs1 & person2_gender=female,Interaction,0.0019923723768794127,0.0019402109955632737,0.0020415392647142525,5.0664134575489385e-05,Interference (-),NEG,quantity_level=1vs1,person2_gender=female,0.0032372483828158123
quantity_level=1vs1 & person3_profession=low,Interaction,0.0018323688757197112,0.0017828354671380043,0.0018795681292226852,4.836633104234045e-05,Synergy (+),POS,quantity_level=1vs1,person3_profession=low,0.0029772713416838766
quantity_level=1vs10 & person3_color=white,Interaction,0.0018256805117917803,0.0017822812987005612,0.0018751336230103841,4.642616215491148e-05,Interference (-),NEG,quantity_level=1vs10,person3_color=white,0.002966403947836904
quantity_level=1vs2 & person3_color=black,Interaction,0.0016953132680792781,0.001646793724366198,0.001742274611962977,4.774044379838953e-05,Interference (-),NEG,quantity_level=1vs2,person3_color=black,0.0027545805187541004
quantity_level=1vs5 & person3_color=black,Interaction,0.001649447445058178,0.0015961064767694097,0.0017021510391332434,5.302228118191684e-05,Interference (-),NEG,quantity_level=1vs5,person3_color=black,0.0026800567685131287
quantity_level=1vs1 & person3_gender=male,Interaction,0.0016335070083286572,0.00159949894398166,0.0016682641940260552,3.438262502219764e-05,Synergy (+),POS,quantity_level=1vs1,person3_gender=male,0.0026541564129255635
quantity_level=1vs1 & person1_gender=male,Interaction,0.0015668744679986021,0.001509811739059218,0.0016181259066130197,5.415708377690088e-05,Interference (-),NEG,quantity_level=1vs1,person1_gender=male,0.002545890465289694
quantity_level=1vs10 & person3_color=black,Interaction,0.0014815810178587757,0.001443919694573929,0.0015208160100423649,3.8448157734217894e-05,Interference (-),NEG,quantity_level=1vs10,person3_color=black,0.0024073038804051923
quantity_level=1vs1 & person2_profession=high,Interaction,0.0014032906390168032,0.0013603848467881369,0.001444266578015089,4.194086561347605e-05,Synergy (+),POS,quantity_level=1vs1,person2_profession=high,0.0022800960324961704
person3_gender=female,Main Effect,0.0013996026629455585,0.0013773462921908043,0.0014230987054320316,2.2876206620613647e-05,Negative (Promotes 0),NEG,person3_gender=female,-,0.002274103731703886
person3_gender=male,Main Effect,0.0013882270955851146,0.0013734610355375992,0.0014058430383332968,1.6191001397848777e-05,Positive (Promotes 1),POS,person3_gender=male,-,0.0022556204715118893
