Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,9.041068,8.919719219207764,9.173289227485657,0.1267850041389469,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.37185657
person3_color=black,Main Effect,1.0386853,1.011682426929474,1.067089346051216,0.027703459560871058,Negative (Promotes 0),NEG,person3_color=black,-,0.042720836
person2_color=black,Main Effect,0.7020199,0.6822048708796501,0.7223181024193763,0.020056615769863118,Positive (Promotes 1),POS,person2_color=black,-,0.02887388
quantity_level=1vs1 & person3_color=black,Interaction,0.65943956,0.6430012255907058,0.6756484538316727,0.016323614120483443,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.027122563
quantity_level=1vs1 & person2_color=black,Interaction,0.41381985,0.40227158814668657,0.42464500293135643,0.011186707392334932,Synergy (+),POS,quantity_level=1vs1,person2_color=black,0.017020294
person2_gender=female,Main Effect,0.4054968,0.39254710972309115,0.4184405364096165,0.012946713343262667,Positive (Promotes 1),POS,person2_gender=female,-,0.01667797
person3_gender=female,Main Effect,0.40327486,0.3903599627315998,0.41647868007421496,0.013059358671307586,Negative (Promotes 0),NEG,person3_gender=female,-,0.016586581
person2_profession=high & person3_profession=high,Interaction,0.39694995,0.3866775967180729,0.40705998837947843,0.01019119583070277,Interference (-),NEG,person2_profession=high,person3_profession=high,0.016326439
person1_profession=high & person2_profession=high,Interaction,0.37442157,0.3650766655802727,0.3845569021999836,0.009740118309855467,Interference (-),NEG,person1_profession=high,person2_profession=high,0.015399854
person3_profession=high,Main Effect,0.3367816,0.32582382634282114,0.34862865656614306,0.011402415111660957,Positive (Promotes 1),POS,person3_profession=high,-,0.013851732
person1_color=black & person2_color=black,Interaction,0.33395934,0.3227103382349014,0.34561939910054207,0.011454530432820326,Interference (-),NEG,person1_color=black,person2_color=black,0.013735654
person1_gender=female,Main Effect,0.31549138,0.30508931949734686,0.3263641059398651,0.010637393221259117,Positive (Promotes 1),POS,person1_gender=female,-,0.012976072
person2_profession=high,Main Effect,0.30670002,0.29689876511693003,0.31621392592787745,0.009657580405473709,Positive (Promotes 1),POS,person2_profession=high,-,0.012614486
person1_profession=high,Main Effect,0.30013084,0.2905039839446545,0.3100354947149754,0.009765755385160446,Negative (Promotes 0),NEG,person1_profession=high,-,0.012344297
person1_color=black,Main Effect,0.29476318,0.286179406195879,0.3037389114499092,0.008779752627015108,Positive (Promotes 1),POS,person1_color=black,-,0.012123526
person1_color=black & person2_gender=female,Interaction,0.29319245,0.2842875733971596,0.30198377147316935,0.008848099038004875,Interference (-),NEG,person1_color=black,person2_gender=female,0.012058923
person1_gender=female & person3_profession=high,Interaction,0.29110217,0.28222641721367836,0.29924689456820486,0.008510238677263249,Interference (-),NEG,person1_gender=female,person3_profession=high,0.01197295
person1_color=black & person3_color=black,Interaction,0.2821085,0.2702990256249905,0.2949369765818119,0.01231897547841071,Interference (-),NEG,person1_color=black,person3_color=black,0.0116030425
person1_color=black & person3_profession=high,Interaction,0.2708997,0.2620414286851883,0.2797073990106583,0.00883298516273498,Synergy (+),POS,person1_color=black,person3_profession=high,0.0111420285
person2_color=black & person3_color=black,Interaction,0.26843807,0.25545347556471826,0.282106976211071,0.013326750323176373,Interference (-),NEG,person2_color=black,person3_color=black,0.011040783
person1_gender=female & person2_profession=high,Interaction,0.2647166,0.25635426193475724,0.273116809129715,0.008381273597478867,Interference (-),NEG,person1_gender=female,person2_profession=high,0.010887719
person2_gender=female & person3_gender=female,Interaction,0.2639788,0.25455896109342574,0.27422191947698593,0.009831479191780096,Interference (-),NEG,person2_gender=female,person3_gender=female,0.010857374
person1_gender=female & person2_gender=female,Interaction,0.26314315,0.2548715427517891,0.27182781249284743,0.008478134870529175,Interference (-),NEG,person1_gender=female,person2_gender=female,0.010823004
person1_profession=high & person3_profession=high,Interaction,0.262454,0.2546003170311451,0.27100409418344495,0.008201888576149924,Synergy (+),POS,person1_profession=high,person3_profession=high,0.010794659
person2_color=black & person3_profession=high,Interaction,0.2604611,0.2510179281234741,0.27025812566280366,0.00962009876966477,Interference (-),NEG,person2_color=black,person3_profession=high,0.010712692
person2_color=black & person3_gender=female,Interaction,0.25558376,0.24542177096009254,0.2645042181015015,0.009541223570704471,Interference (-),NEG,person2_color=black,person3_gender=female,0.010512088
person1_profession=high & person3_color=black,Interaction,0.2555724,0.2438959851861,0.2678754046559334,0.011989709734916698,Interference (-),NEG,person1_profession=high,person3_color=black,0.010511621
person1_color=black & person1_profession=high,Interaction,0.24935573,0.24154417179524898,0.25773816332221033,0.008096995763480677,Synergy (+),POS,person1_color=black,person1_profession=high,0.010255931
person1_color=black & person1_gender=female,Interaction,0.24427511,0.236106364056468,0.251998296380043,0.007945966161787499,Interference (-),NEG,person1_color=black,person1_gender=female,0.010046966
person3_color=black & person3_gender=female,Interaction,0.2434448,0.23271848559379577,0.25518873855471613,0.011235126480460184,Interference (-),NEG,person3_color=black,person3_gender=female,0.010012816
person1_gender=female & person2_color=black,Interaction,0.24196868,0.23251039646565913,0.25157526284456255,0.009532433189451711,Interference (-),NEG,person1_gender=female,person2_color=black,0.009952104
person2_gender=female & person3_color=black,Interaction,0.24045067,0.2288155671209097,0.2514849118888378,0.011334672383964059,Interference (-),NEG,person2_gender=female,person3_color=black,0.009889668
person1_profession=high & person2_color=black,Interaction,0.24012144,0.2307065486907959,0.24984727129340173,0.009570361301302913,Interference (-),NEG,person1_profession=high,person2_color=black,0.009876127
person1_profession=high & person2_gender=female,Interaction,0.23780815,0.22926569394767285,0.24588883854448795,0.008311572298407552,Interference (-),NEG,person1_profession=high,person2_gender=female,0.0097809825
person3_color=black & person3_profession=high,Interaction,0.23645441,0.22548281997442246,0.2469081025570631,0.010712641291320324,Interference (-),NEG,person3_color=black,person3_profession=high,0.009725303
person1_color=black & person3_gender=female,Interaction,0.23107602,0.22253860868513584,0.23992412239313127,0.008692756853997716,Interference (-),NEG,person1_color=black,person3_gender=female,0.009504091
person1_gender=female & person3_gender=female,Interaction,0.23075414,0.22288094125688077,0.2390779595822096,0.008098509162664413,Interference (-),NEG,person1_gender=female,person3_gender=female,0.009490852
person1_color=black & person2_profession=high,Interaction,0.2272346,0.21990462392568588,0.23436611667275428,0.0072307463735342,Interference (-),NEG,person1_color=black,person2_profession=high,0.009346095
person2_profession=high & person3_color=black,Interaction,0.2213523,0.21187017634510993,0.2310298789292574,0.009579851292073727,Interference (-),NEG,person2_profession=high,person3_color=black,0.009104158
person1_profession=high & person1_gender=female,Interaction,0.2209775,0.2130648795515299,0.22855168618261815,0.007743403315544128,Synergy (+),POS,person1_profession=high,person1_gender=female,0.009088743
person2_color=black & person2_gender=female,Interaction,0.218317,0.2100984938442707,0.2265356469899416,0.008218576572835451,Interference (-),NEG,person2_color=black,person2_gender=female,0.008979317
person1_gender=female & person3_color=black,Interaction,0.2156476,0.2064453698694706,0.22501895539462566,0.009286792762577531,Interference (-),NEG,person1_gender=female,person3_color=black,0.008869525
person2_gender=female & person3_profession=high,Interaction,0.20925662,0.20220612958073617,0.21634163409471513,0.007067752256989482,Interference (-),NEG,person2_gender=female,person3_profession=high,0.008606666
person2_profession=high & person3_gender=female,Interaction,0.2055064,0.19833618886768817,0.2124192826449871,0.007041546888649469,Interference (-),NEG,person2_profession=high,person3_gender=female,0.00845242
person2_color=black & person2_profession=high,Interaction,0.20146443,0.19359266832470895,0.21016633212566377,0.00828683190047741,Interference (-),NEG,person2_color=black,person2_profession=high,0.008286175
person2_profession=high & person2_gender=female,Interaction,0.20035139,0.1926165498793125,0.20831522196531296,0.007849336043000227,Interference (-),NEG,person2_profession=high,person2_gender=female,0.008240396
quantity_level=1vs1 & person2_gender=female,Interaction,0.19800164,0.1921840462833643,0.20404771603643895,0.005931834876537326,Synergy (+),POS,quantity_level=1vs1,person2_gender=female,0.008143752
quantity_level=1vs1 & person3_gender=female,Interaction,0.19468397,0.18829820826649665,0.2014128915965557,0.006557341665029526,Synergy (+),POS,quantity_level=1vs1,person3_gender=female,0.008007296
person3_profession=high & person3_gender=female,Interaction,0.18916382,0.18188155628740788,0.1962643511593342,0.007191397435963157,Interference (-),NEG,person3_profession=high,person3_gender=female,0.0077802544
person1_profession=high & person3_gender=female,Interaction,0.1782647,0.17242243476212024,0.1845929730683565,0.0060852691531181335,Synergy (+),POS,person1_profession=high,person3_gender=female,0.007331977
quantity_level=1vs1 & person1_profession=high,Interaction,0.17047003,0.16259138844907284,0.17852959036827087,0.007969100959599018,Synergy (+),POS,quantity_level=1vs1,person1_profession=high,0.0070113842
quantity_level=1vs1 & person2_profession=high,Interaction,0.145972,0.1398827012628317,0.15280990153551102,0.006463600136339662,Synergy (+),POS,quantity_level=1vs1,person2_profession=high,0.0060037873
quantity_level=1vs1 & person3_profession=high,Interaction,0.13655335,0.13042908050119878,0.14274399019777775,0.006157454848289487,Synergy (+),POS,quantity_level=1vs1,person3_profession=high,0.005616401
quantity_level=1vs1 & person1_gender=female,Interaction,0.12337684,0.11918244492262602,0.12796917520463466,0.004393365141004323,Synergy (+),POS,quantity_level=1vs1,person1_gender=female,0.0050744545
quantity_level=1vs1 & person1_color=black,Interaction,0.106363654,0.1015793977305293,0.11162633523344993,0.005023468751460314,Synergy (+),POS,quantity_level=1vs1,person1_color=black,0.004374707
quantity_level=1vs2,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,quantity_level=1vs2,-,0.0
quantity_level=1vs10,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,quantity_level=1vs10,-,0.0
person3_gender=male,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,person3_gender=male,-,0.0
person3_profession=low,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,person3_profession=low,-,0.0
person1_gender=male,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,person1_gender=male,-,0.0
person1_profession=low,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,person1_profession=low,-,0.0
quantity_level=1vs5,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,quantity_level=1vs5,-,0.0
person1_color=white,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,person1_color=white,-,0.0
person2_profession=low,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,person2_profession=low,-,0.0
person2_color=white,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,person2_color=white,-,0.0
person2_gender=male,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,person2_gender=male,-,0.0
person3_color=white,Main Effect,0.0,0.0,0.0,0.0,Negative (Promotes 0),Unknown,person3_color=white,-,0.0
