Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,0.9695687865962157,0.914543329891759,1.0177411495421322,0.05159890982518661,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.09384832858769089
person3_color=white,Main Effect,0.6138294085835662,0.610092993616109,0.6178631363917543,0.003885071387822625,Positive (Promotes 1),POS,person3_color=white,-,0.05941493252456497
person3_color=black,Main Effect,0.4407048060172671,0.43759817097306686,0.4439600675874193,0.003180948307176218,Negative (Promotes 0),NEG,person3_color=black,-,0.04265752983909485
person3_gender=male,Main Effect,0.34254062686971665,0.33895919939037167,0.345907080771567,0.003473940690597671,Positive (Promotes 1),POS,person3_gender=male,-,0.03315583767703384
person2_color=white & person3_color=white,Interaction,0.2842855050210979,0.2799083034918808,0.2883965120786147,0.004244104293366968,Synergy (+),POS,person2_color=white,person3_color=white,0.02751709817474623
person2_color=white & person3_color=black,Interaction,0.2527697645641356,0.2491376800299386,0.2563187608345412,0.0035905404023012927,Synergy (+),POS,person2_color=white,person3_color=black,0.024466567251125296
person2_color=black & person3_color=white,Interaction,0.21494100437021574,0.21150837618686888,0.2183454128880539,0.0034185183505925087,Synergy (+),POS,person2_color=black,person3_color=white,0.020804974627865194
person1_color=white,Main Effect,0.21339817786429177,0.21096411474193405,0.21572595740586617,0.00238092133196606,Positive (Promotes 1),POS,person1_color=white,-,0.02065563845813343
person1_color=black,Main Effect,0.21331040239311846,0.21049894839844902,0.21592675186067922,0.0027139017311151037,Negative (Promotes 0),NEG,person1_color=black,-,0.020647142329365167
person2_color=white,Main Effect,0.20221707559293303,0.1976668778343658,0.20645490261909008,0.0043940123923621455,Negative (Promotes 0),NEG,person2_color=white,-,0.019573376142719135
person3_gender=female,Main Effect,0.19752448513606988,0.19509558135945737,0.2000571144496082,0.0024807665450754107,Negative (Promotes 0),NEG,person3_gender=female,-,0.019119162086727086
person2_gender=male,Main Effect,0.1815296336075572,0.17872561723743569,0.18441162102039974,0.002843001891482025,Negative (Promotes 0),NEG,person2_gender=male,-,0.017570958284468828
quantity_level=1vs10,Main Effect,0.1625420786909447,0.1574558669025385,0.1683127241375367,0.0054284286174991064,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.015733079097839046
person2_gender=female,Main Effect,0.14605486918994867,0.14284055453441938,0.14915338299407477,0.003156414229827695,Positive (Promotes 1),POS,person2_gender=female,-,0.014137218055142384
quantity_level=1vs2,Main Effect,0.12796641228417704,0.12258649138856165,0.13385263306695258,0.005633070839195467,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.012386366057011685
person2_color=black,Main Effect,0.12083767365900043,0.11749539014053866,0.12385069029507037,0.0031776500772658575,Positive (Promotes 1),POS,person2_color=black,-,0.01169634775799031
quantity_level=1vs1 & person3_gender=male,Interaction,0.12004897323165156,0.11294183950657943,0.1270597163949569,0.007058938444188728,Interference (-),NEG,quantity_level=1vs1,person3_gender=male,0.011620006380373422
person2_color=black & person3_color=black,Interaction,0.1166857637127205,0.1146667786564101,0.11872613628462328,0.0020296788141065877,Synergy (+),POS,person2_color=black,person3_color=black,0.011294468268580497
person1_profession=low,Main Effect,0.10815646100636479,0.10545614781307532,0.11066919472262027,0.002606523454772476,Negative (Promotes 0),NEG,person1_profession=low,-,0.01046888393245509
quantity_level=1vs1 & quantity_level=1vs5,Interaction,0.10544846782366317,0.10090337748442829,0.10955714132896516,0.004326881922268433,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs5,0.01020676675465732
person1_profession=high,Main Effect,0.09036074759151107,0.08788879470952472,0.0928515824271431,0.002481393858809189,Positive (Promotes 1),POS,person1_profession=high,-,0.008746367713804276
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.07757413101211096,0.07418380860732753,0.08077406733858772,0.0032951293656300965,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.007508701432816511
quantity_level=1vs1 & person3_gender=female,Interaction,0.06884143660918593,0.06420372748681127,0.07350179042983142,0.004649031471510072,Interference (-),NEG,quantity_level=1vs1,person3_gender=female,0.0066634300244219425
quantity_level=1vs1 & quantity_level=1vs10,Interaction,0.06811902626124526,0.06573719190580625,0.07038079628573878,0.0023218021899662628,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs10,0.006593505121056712
quantity_level=1vs1 & person3_color=white,Interaction,0.05899839321635036,0.05401760944250311,0.06369598769554821,0.00483918912652255,Synergy (+),POS,quantity_level=1vs1,person3_color=white,0.00571068362478105
quantity_level=1vs1 & person3_profession=high,Interaction,0.0531370743829622,0.04918952374464967,0.0568889116951949,0.0038496939752726174,Interference (-),NEG,quantity_level=1vs1,person3_profession=high,0.005143343809971072
person2_profession=high & person3_profession=high,Interaction,0.04916678684180706,0.047521901526353834,0.05081107280175796,0.0016445856377020618,Interference (-),NEG,person2_profession=high,person3_profession=high,0.004759044258561196
quantity_level=1vs1 & person2_profession=high,Interaction,0.048241646777254565,0.04503901987698369,0.051536001178179705,0.003248490650598009,Interference (-),NEG,quantity_level=1vs1,person2_profession=high,0.004669496358537969
quantity_level=1vs10 & person2_profession=high,Interaction,0.04702480093723291,0.045065330922452046,0.0490721968401939,0.0020034329588709265,Synergy (+),POS,quantity_level=1vs10,person2_profession=high,0.004551713123543548
person1_gender=female,Main Effect,0.0462424190335733,0.04412484695313452,0.048209280188825004,0.002042216617845243,Negative (Promotes 0),NEG,person1_gender=female,-,0.00447598334037522
quantity_level=1vs1 & person2_color=white,Interaction,0.046070303278328464,0.04231444636412661,0.04965215665262028,0.0036688551442468353,Interference (-),NEG,quantity_level=1vs1,person2_color=white,0.004459323587940283
person3_color=white & person3_gender=male,Interaction,0.04505454602576221,0.04262569820391851,0.047287348902370845,0.002330825349226167,Synergy (+),POS,person3_color=white,person3_gender=male,0.004361004498338786
person2_profession=high & person3_profession=low,Interaction,0.04445823139881518,0.043035156641049045,0.045833810891969785,0.00139932712546037,Interference (-),NEG,person2_profession=high,person3_profession=low,0.004303284889554931
person3_profession=high,Main Effect,0.04443723501555202,0.04240604998968573,0.04627858528392383,0.0019362676471190512,Positive (Promotes 1),POS,person3_profession=high,-,0.004301252568070498
person2_profession=high,Main Effect,0.04426535419843397,0.042252796947143276,0.04644486658172125,0.0020960348172889866,Negative (Promotes 0),NEG,person2_profession=high,-,0.004284615556209334
quantity_level=1vs1 & person2_profession=low,Interaction,0.04349510626320096,0.0408697805667992,0.04634494408893137,0.0027375817610660845,Interference (-),NEG,quantity_level=1vs1,person2_profession=low,0.0042100602669724475
quantity_level=1vs5,Main Effect,0.0408884747105428,0.0389692858748953,0.04293904652982388,0.0019848803274642897,Negative (Promotes 0),NEG,quantity_level=1vs5,-,0.003957754275027615
quantity_level=1vs10 & person3_gender=male,Interaction,0.04077652575635866,0.03894867871758949,0.04252212415816514,0.001786722720287827,Interference (-),NEG,quantity_level=1vs10,person3_gender=male,0.003946918300950722
person3_profession=low,Main Effect,0.04062951530472907,0.0388093352825488,0.04239813350240649,0.0017943991099288459,Negative (Promotes 0),NEG,person3_profession=low,-,0.003932688588359836
person1_profession=low & person2_color=white,Interaction,0.04035419501064132,0.03872865243144856,0.04191341182500626,0.0015923796967788513,Synergy (+),POS,person1_profession=low,person2_color=white,0.00390603926777154
person2_profession=low,Main Effect,0.04026360196537063,0.03837692321774617,0.0421077453564944,0.001865411069374115,Positive (Promotes 1),POS,person2_profession=low,-,0.003897270415063141
person1_color=black & person3_color=white,Interaction,0.039220550771578426,0.037712002560670595,0.04073056309334424,0.0015092802663368224,Synergy (+),POS,person1_color=black,person3_color=white,0.0037963094388827473
person2_profession=low & person3_profession=low,Interaction,0.03814906932717953,0.036731560105797575,0.03945424510573236,0.001361342499967392,Interference (-),NEG,person2_profession=low,person3_profession=low,0.0036925965883251527
person1_color=white & person3_color=white,Interaction,0.038058913951225445,0.03663071298105955,0.039463019583960056,0.0014161533014502535,Synergy (+),POS,person1_color=white,person3_color=white,0.0036838700993297837
quantity_level=1vs1 & person3_profession=low,Interaction,0.03791728127998878,0.03506372062988842,0.0405965726654783,0.0027664260177949415,Interference (-),NEG,quantity_level=1vs1,person3_profession=low,0.0036701609229900273
person1_gender=male,Main Effect,0.03705486789322861,0.03535841421626619,0.03868988901007858,0.0016657373969061959,Positive (Promotes 1),POS,person1_gender=male,-,0.003586684581736069
person2_profession=high & person3_color=white,Interaction,0.036015286570096845,0.03448873626997334,0.03755699861566699,0.0015341311728468247,Synergy (+),POS,person2_profession=high,person3_color=white,0.0034860594678136187
quantity_level=1vs10 & person2_color=white,Interaction,0.03577945526746898,0.034117762493631486,0.03751779503999537,0.001700016273181941,Synergy (+),POS,quantity_level=1vs10,person2_color=white,0.003463232440081031
person1_color=black & person2_color=white,Interaction,0.03508796552410921,0.033879947883021046,0.03633239904395592,0.0012262255804674355,Interference (-),NEG,person1_color=black,person2_color=white,0.0033963004621265142
person1_color=black & person3_color=black,Interaction,0.03375418848630572,0.03253730831068181,0.03498206866990129,0.0012223801796097424,Synergy (+),POS,person1_color=black,person3_color=black,0.0032671990023467163
person2_gender=female & person3_gender=male,Interaction,0.033091519345400916,0.031650157346723246,0.034645500037815004,0.0014976713455458791,Interference (-),NEG,person2_gender=female,person3_gender=male,0.0032030566824408913
person2_color=white & person2_profession=high,Interaction,0.032473499750402035,0.031127135047343202,0.0340203789473559,0.0014466219500063483,Synergy (+),POS,person2_color=white,person2_profession=high,0.0031432361654988154
quantity_level=1vs1 & person1_profession=low,Interaction,0.032248813559190764,0.029915174534294233,0.034729462368459446,0.0024071439170826065,Interference (-),NEG,quantity_level=1vs1,person1_profession=low,0.003121487916387024
quantity_level=1vs1 & person3_color=black,Interaction,0.03211471046836945,0.02932427036260424,0.034637792525408904,0.0026567610814023316,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.00310850755738
quantity_level=1vs10 & person2_profession=low,Interaction,0.03137681286465932,0.029898972565850817,0.03296280018429798,0.0015319138092235816,Synergy (+),POS,quantity_level=1vs10,person2_profession=low,0.0030370835823774938
quantity_level=1vs5 & person3_color=black,Interaction,0.031207025744562637,0.02964519410388244,0.032783956834167995,0.001569381365142777,Synergy (+),POS,quantity_level=1vs5,person3_color=black,0.0030206492275827914
quantity_level=1vs1 & person2_color=black,Interaction,0.0310836351064915,0.028629475300607145,0.033503591905572214,0.0024370583024825344,Interference (-),NEG,quantity_level=1vs1,person2_color=black,0.003008705768483827
quantity_level=1vs1 & person1_profession=high,Interaction,0.03071815342739646,0.028764415726941606,0.03279206050020764,0.0020138223866330157,Interference (-),NEG,quantity_level=1vs1,person1_profession=high,0.0029733293772605638
