Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,1.8365797458106667,1.7121563102028805,1.9444724080696407,0.11615804893338011,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.10433461702885435
person3_color=black,Main Effect,1.25210589660023,1.2426463797518337,1.2625578680974874,0.009955744172826853,Negative (Promotes 0),NEG,person3_color=black,-,0.07113112811972762
person2_color=black & person3_color=black,Interaction,0.9840725724373431,0.9694150868218528,0.9983227701075186,0.014453841642832865,Synergy (+),POS,person2_color=black,person3_color=black,0.05590437072392406
person2_gender=female,Main Effect,0.5210640282978424,0.5107947403366533,0.5316517987912308,0.010428529227288763,Positive (Promotes 1),POS,person2_gender=female,-,0.02960122802398149
person3_gender=female,Main Effect,0.47150916367549983,0.46193230289316684,0.4804960583940929,0.009281877750463019,Negative (Promotes 0),NEG,person3_gender=female,-,0.02678605605332107
person2_color=black,Main Effect,0.448560768561212,0.436202942872165,0.4595772370008271,0.01168714706433105,Positive (Promotes 1),POS,person2_color=black,-,0.025482376198886433
person1_color=black,Main Effect,0.3688259676082949,0.36015761702883853,0.37693609836087266,0.008389240666017067,Negative (Promotes 0),NEG,person1_color=black,-,0.02095270633822787
quantity_level=1vs1 & person3_profession=high,Interaction,0.32200445030533026,0.2985842639448088,0.3431161668560271,0.02226595145560914,Interference (-),NEG,quantity_level=1vs1,person3_profession=high,0.018292813628609423
person1_profession=high,Main Effect,0.2758050207220978,0.2665186609257981,0.2852775761938971,0.009379457634049487,Positive (Promotes 1),POS,person1_profession=high,-,0.015668261221607655
quantity_level=1vs1 & person2_gender=female,Interaction,0.2292503438182325,0.2105237256226537,0.24691917585927575,0.018197725118311026,Synergy (+),POS,quantity_level=1vs1,person2_gender=female,0.01302352750027238
person3_color=white,Main Effect,0.21483394261163063,0.2109882326915082,0.21852097204768312,0.003766369678087453,Positive (Promotes 1),POS,person3_color=white,-,0.012204543352017387
quantity_level=1vs5,Main Effect,0.2037829378940843,0.1970956148247855,0.21059817658735983,0.006751280881287167,Negative (Promotes 0),NEG,quantity_level=1vs5,-,0.011576744669374112
person3_profession=high,Main Effect,0.1918430095725755,0.18329512872530185,0.20009720721757743,0.00840103924613779,Positive (Promotes 1),POS,person3_profession=high,-,0.010898446952317061
person2_profession=high & person3_profession=high,Interaction,0.18422277633135217,0.17754615849112917,0.19056842073370117,0.0065111311212859985,Interference (-),NEG,person2_profession=high,person3_profession=high,0.010465547635689434
quantity_level=1vs1 & person3_color=white,Interaction,0.1826665941134986,0.16957512726056864,0.19483097925003456,0.01262792599473296,Interference (-),NEG,quantity_level=1vs1,person3_color=white,0.010377142176521527
person3_color=black & person3_gender=female,Interaction,0.17807983220220866,0.16943251872665682,0.1860958030344455,0.008331642153894342,Synergy (+),POS,person3_color=black,person3_gender=female,0.010116571924394666
person2_color=black & person2_gender=female,Interaction,0.1594179435698429,0.1518478225596603,0.1670384536664821,0.007595315553410892,Synergy (+),POS,person2_color=black,person2_gender=female,0.009056405052831151
quantity_level=1vs1 & person3_gender=male,Interaction,0.15493280770487453,0.1443934147367078,0.16492006496127265,0.010263325112282423,Interference (-),NEG,quantity_level=1vs1,person3_gender=male,0.008801608094593271
person1_color=black & person3_color=black,Interaction,0.1494106135600417,0.1435139675436957,0.15508362190913608,0.0057848271827201925,Synergy (+),POS,person1_color=black,person3_color=black,0.008487896690242682
