Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person3_color=white,Main Effect,0.0620421481863986,0.06180007731830095,0.062281010350273995,0.00024046651598652255,Positive (Promotes 1),POS,person3_color=white,-,0.0957338352858314
person3_color=black,Main Effect,0.06135606058506915,0.06115034466242262,0.061568096781494074,0.00020887605953572724,Negative (Promotes 0),NEG,person3_color=black,-,0.09467517114641458
quantity_level=1vs1,Main Effect,0.03971800894995537,0.037263671894489016,0.041893826464264906,0.0023150772848879453,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.061286680713769824
person3_gender=male,Main Effect,0.02693164242952836,0.026781666650360116,0.027060835450023656,0.00013958439983177,Positive (Promotes 1),POS,person3_gender=male,-,0.04155673998552174
person3_gender=female,Main Effect,0.026760663014541455,0.026604284308405425,0.02689689912444904,0.00014630740802180735,Negative (Promotes 0),NEG,person3_gender=female,-,0.04129291103004382
person1_color=white,Main Effect,0.02563170389149175,0.025527181929077918,0.025735805212305896,0.00010431164161398866,Positive (Promotes 1),POS,person1_color=white,-,0.03955087614102347
person1_color=black,Main Effect,0.024452400188958237,0.02435792763925431,0.024553314125276275,9.769324301098226e-05,Negative (Promotes 0),NEG,person1_color=black,-,0.03773115729326337
person2_color=white & person3_color=white,Interaction,0.019294306043809127,0.019041992073476493,0.019550086227785323,0.0002540470771544151,Synergy (+),POS,person2_color=white,person3_color=white,0.029771985186634542
person2_color=black & person3_color=white,Interaction,0.019194182381236956,0.018954521459480653,0.01944228686412681,0.000243882702323079,Synergy (+),POS,person2_color=black,person3_color=white,0.0296174898556202
person2_color=white & person3_color=black,Interaction,0.018898531220694653,0.018669029303313323,0.019136640690899022,0.00023380569379284968,Synergy (+),POS,person2_color=white,person3_color=black,0.029161286768963915
person2_color=black & person3_color=black,Interaction,0.018300863281479427,0.01808883803613164,0.018526308241598014,0.0002187351027331877,Synergy (+),POS,person2_color=black,person3_color=black,0.028239058159526497
person2_gender=male,Main Effect,0.013456042690682601,0.01333635337694626,0.013564766594881015,0.00011420660896737777,Negative (Promotes 0),NEG,person2_gender=male,-,0.02076328128869228
quantity_level=1vs10,Main Effect,0.011040115876619282,0.010820709715439244,0.011267645299538744,0.0002234677920497502,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.017035397157644967
person2_gender=female,Main Effect,0.010949874613069637,0.010855543289735576,0.011039540065865348,9.199838806488603e-05,Positive (Promotes 1),POS,person2_gender=female,-,0.0168961508144221
