Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person2_color=black & person3_color=black,Interaction,1.3038926,1.2693008303642273,1.3374161660671233,0.03405766785144804,Interference (-),NEG,person2_color=black,person3_color=black,0.076188795
person3_color=black,Main Effect,0.9906612,0.961974275112152,1.0175918102264405,0.02780876755714423,Negative (Promotes 0),NEG,person3_color=black,-,0.05788612
quantity_level=1vs1,Main Effect,0.74321413,0.661287459731102,0.8139454841613769,0.07632901221513744,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.04342734
person3_gender=female,Main Effect,0.53920454,0.5215488493442535,0.5562937274575234,0.017372439056634936,Negative (Promotes 0),NEG,person3_gender=female,-,0.031506695
person1_color=black,Main Effect,0.46048582,0.4438654936850071,0.4751602165400982,0.015647361427545553,Negative (Promotes 0),NEG,person1_color=black,-,0.026907016
person2_gender=female,Main Effect,0.3908393,0.3747861385345459,0.40475318655371667,0.014983524009585386,Positive (Promotes 1),POS,person2_gender=female,-,0.022837445
person2_color=black,Main Effect,0.34175852,0.325922030210495,0.3566784933209419,0.01537823155522347,Positive (Promotes 1),POS,person2_color=black,-,0.019969566
person1_profession=high,Main Effect,0.28393382,0.2713524714112282,0.29707992598414423,0.012863727286458015,Positive (Promotes 1),POS,person1_profession=high,-,0.016590765
person1_gender=female,Main Effect,0.26944974,0.2562593162059784,0.28240487426519395,0.013072779029607767,Negative (Promotes 0),NEG,person1_gender=female,-,0.015744435
person2_profession=high,Main Effect,0.26118723,0.2493834000080824,0.2732266761362553,0.011921638064086443,Negative (Promotes 0),NEG,person2_profession=high,-,0.015261641
person2_color=black & person2_profession=high,Interaction,0.2522408,0.24186140559613706,0.2637034423649311,0.010921018384397019,Interference (-),NEG,person2_color=black,person2_profession=high,0.014738885
person2_profession=high & person3_profession=high,Interaction,0.2515113,0.24081878028810025,0.2619575709104538,0.010569395311176774,Interference (-),NEG,person2_profession=high,person3_profession=high,0.014696259
person3_color=black & person3_gender=female,Interaction,0.24302112,0.23066605366766452,0.256210770457983,0.01277235839515925,Synergy (+),POS,person3_color=black,person3_gender=female,0.014200162
person3_profession=high,Main Effect,0.23677649,0.2263070661574602,0.24704774916172026,0.010370341502130023,Negative (Promotes 0),NEG,person3_profession=high,-,0.013835277
person1_color=black & person2_color=black,Interaction,0.23130423,0.22171852104365825,0.24119575768709184,0.009738618321716797,Interference (-),NEG,person1_color=black,person2_color=black,0.013515523
person1_profession=high & person3_gender=female,Interaction,0.22978607,0.21939822435379028,0.23955843187868595,0.010080103762447834,Synergy (+),POS,person1_profession=high,person3_gender=female,0.013426814
person1_color=black & person3_color=black,Interaction,0.22946714,0.21679417081177235,0.24089081212878227,0.01204832065850496,Synergy (+),POS,person1_color=black,person3_color=black,0.013408178
person1_profession=high & person2_color=black,Interaction,0.22591582,0.21594262234866618,0.23642875254154205,0.010243065096437937,Interference (-),NEG,person1_profession=high,person2_color=black,0.013200669
person2_color=black & person2_gender=female,Interaction,0.22045825,0.2086718313395977,0.23292280323803424,0.012125485949218265,Interference (-),NEG,person2_color=black,person2_gender=female,0.0128817735
person2_profession=high & person3_color=black,Interaction,0.21993706,0.20916396379470825,0.23079180158674717,0.010813918896019459,Interference (-),NEG,person2_profession=high,person3_color=black,0.012851318
person2_gender=female & person3_color=black,Interaction,0.21887143,0.20649525374174119,0.2319527953863144,0.0127287708222866,Interference (-),NEG,person2_gender=female,person3_color=black,0.012789052
person1_profession=high & person1_gender=female,Interaction,0.21554548,0.20517356805503367,0.2252409614622593,0.010033696703612816,Synergy (+),POS,person1_profession=high,person1_gender=female,0.012594711
person2_color=black & person3_gender=female,Interaction,0.20501491,0.19511891044676305,0.2158066477626562,0.010343868657946578,Synergy (+),POS,person2_color=black,person3_gender=female,0.011979391
person2_gender=female & person3_gender=female,Interaction,0.20252442,0.19336142987012864,0.21117817759513854,0.008908373862504954,Synergy (+),POS,person2_gender=female,person3_gender=female,0.011833867
