Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,0.4761327837910193,0.4639688254590499,0.48853627215542744,0.01228372334818878,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.03567429930399168
person3_color=black,Main Effect,0.42578024974518247,0.4207654489763973,0.43085469081428934,0.00504462091894603,Negative (Promotes 0),NEG,person3_color=black,-,0.03190163035235312
person2_color=white,Main Effect,0.3758148222798065,0.37080664197913493,0.38113839983767356,0.005165878929269313,Positive (Promotes 1),POS,person2_color=white,-,0.028157965402295693
person3_color=white,Main Effect,0.3649568251972575,0.36068566958569087,0.36873640282999587,0.004025366622152499,Positive (Promotes 1),POS,person3_color=white,-,0.027344428819747038
person2_color=black,Main Effect,0.2970411354268516,0.29273055257624436,0.30150721144518755,0.004388329434471594,Negative (Promotes 0),NEG,person2_color=black,-,0.022255838563441727
person2_color=white & person3_color=white,Interaction,0.20121687416042558,0.19930395602781822,0.203066742526971,0.0018813932495763824,Interference (-),NEG,person2_color=white,person3_color=white,0.015076195628997655
person2_color=white & person3_color=black,Interaction,0.19071607562180948,0.18859147236053422,0.19281908204887677,0.0021138048441712715,Interference (-),NEG,person2_color=white,person3_color=black,0.014289422185222505
person3_gender=female,Main Effect,0.1896841835572705,0.18574528298741808,0.19392316356040393,0.004088940286492926,Negative (Promotes 0),NEG,person3_gender=female,-,0.014212107562888215
quantity_level=1vs2,Main Effect,0.17697405380472528,0.16796843931500424,0.18623290988326194,0.009132235284128848,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.013259799743681458
quantity_level=1vs10,Main Effect,0.17396909164544802,0.16917041947699446,0.1788371923581891,0.004833386440597318,Negative (Promotes 0),NEG,quantity_level=1vs10,-,0.013034652635318767
person2_color=black & person3_color=black,Interaction,0.17213201726048044,0.17033882258621105,0.17387899604189866,0.0017700867278438032,Interference (-),NEG,person2_color=black,person3_color=black,0.012897009642262876
person1_gender=male,Main Effect,0.13357804179073932,0.12959688575288766,0.13784459451273862,0.004123854379925476,Positive (Promotes 1),POS,person1_gender=male,-,0.010008348942793014
person3_gender=male,Main Effect,0.12218207114494346,0.1185884325256556,0.12574023084871003,0.0035758991615272157,Positive (Promotes 1),POS,person3_gender=male,-,0.009154504633983433
person1_color=black & person2_color=white,Interaction,0.11812763120974543,0.11567706514399441,0.12055151767816423,0.0024372262670849104,Synergy (+),POS,person1_color=black,person2_color=white,0.008850725291996776
person1_color=white & person2_color=black,Interaction,0.11745052007344733,0.11533409341892606,0.11949478415595817,0.0020803453685160553,Synergy (+),POS,person1_color=white,person2_color=black,0.008799992668323951
person2_profession=high,Main Effect,0.11619733992395899,0.1125896290427861,0.11975655961918955,0.0035834652882017204,Positive (Promotes 1),POS,person2_profession=high,-,0.0087060980127644
