Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person3_color=black,Main Effect,1.1706414869654482,1.156200268187246,1.1852408950287316,0.01452031342074278,Negative (Promotes 0),NEG,person3_color=black,-,0.047081084285710305
quantity_level=1vs1,Main Effect,1.0881663652239275,1.0548606720302698,1.1226852369405542,0.03391228245514222,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.04376408399021218
person2_color=black,Main Effect,0.992028038271879,0.9783067280465731,1.0066255800213868,0.014159425987406826,Negative (Promotes 0),NEG,person2_color=black,-,0.039897574281890044
person2_color=black & person3_color=black,Interaction,0.9160727276312679,0.9050577108351621,0.9276446034174023,0.011293446291120113,Interference (-),NEG,person2_color=black,person3_color=black,0.03684278900216463
quantity_level=1vs10,Main Effect,0.6259216214014784,0.610895754243061,0.6417255843117744,0.015414915034356713,Negative (Promotes 0),NEG,quantity_level=1vs10,-,0.02517343605328866
person1_color=black & person2_color=black,Interaction,0.43202160994347943,0.42204922709109494,0.4415600102129371,0.00975539156092109,Synergy (+),POS,person1_color=black,person2_color=black,0.017375128130579877
person1_color=black & person3_color=black,Interaction,0.3759722736599599,0.36645574160907685,0.3856066817544923,0.009575470072707731,Synergy (+),POS,person1_color=black,person3_color=black,0.015120925152891977
person2_profession=high,Main Effect,0.34113822052273857,0.3302346421276693,0.3507640188320317,0.010264688352181195,Positive (Promotes 1),POS,person2_profession=high,-,0.013719962509736623
person3_gender=female,Main Effect,0.32700422940509005,0.31679494077378273,0.33778984202104195,0.010497450623629612,Negative (Promotes 0),NEG,person3_gender=female,-,0.013151518938828793
person1_gender=female & person2_profession=high,Interaction,0.29089227125527267,0.28099145378931,0.30111108780973406,0.010059817010212024,Synergy (+),POS,person1_gender=female,person2_profession=high,0.011699161266301016
person2_color=black & person2_profession=high,Interaction,0.2883088109328584,0.27924222054493375,0.2983171180731435,0.009537448764104867,Synergy (+),POS,person2_color=black,person2_profession=high,0.011595259162588911
person2_profession=high & person2_gender=female,Interaction,0.2827120209205985,0.27343152768838197,0.29167982584040536,0.009124149076011695,Interference (-),NEG,person2_profession=high,person2_gender=female,0.011370166386337076
person1_gender=female,Main Effect,0.2716065094894868,0.2613206812998412,0.2816782176240834,0.010178768162121099,Negative (Promotes 0),NEG,person1_gender=female,-,0.01092352279344729
quantity_level=1vs1 & person1_profession=high,Interaction,0.24084522912257225,0.23103749813569222,0.2511294538721323,0.010045977868220049,Interference (-),NEG,quantity_level=1vs1,person1_profession=high,0.009686359708235519
person3_profession=high,Main Effect,0.230037392352016,0.22159077084315632,0.23917531800681577,0.008792273581829727,Negative (Promotes 0),NEG,person3_profession=high,-,0.009251688052048287
person1_profession=high & person2_color=black,Interaction,0.2244305536151228,0.21671524576354798,0.23212102741833907,0.007702890827395545,Synergy (+),POS,person1_profession=high,person2_color=black,0.009026191134258078
person1_profession=high,Main Effect,0.2242777332614033,0.21639374304674744,0.23324771673628292,0.00842698684476774,Negative (Promotes 0),NEG,person1_profession=high,-,0.0090200449759046
quantity_level=1vs1 & person2_profession=high,Interaction,0.22012893972659026,0.20941217972151333,0.23187743892831658,0.011232629603401628,Interference (-),NEG,quantity_level=1vs1,person2_profession=high,0.008853188000245146
quantity_level=1vs1 & person2_color=black,Interaction,0.21987437894915807,0.2086754331479317,0.23131476277967064,0.011319664815869476,Interference (-),NEG,quantity_level=1vs1,person2_color=black,0.008842950025979268
person2_gender=female,Main Effect,0.2176972739529334,0.20968549843992884,0.22606661647558146,0.00819055901782631,Positive (Promotes 1),POS,person2_gender=female,-,0.008755390798865424
person2_gender=female & person3_profession=high,Interaction,0.21112936150707912,0.2043083627459055,0.21865722157170622,0.007174429412900363,Synergy (+),POS,person2_gender=female,person3_profession=high,0.008491241233958061
person1_profession=high & person3_color=black,Interaction,0.20871641479725578,0.20182288339770804,0.21555247466858055,0.006864795635436252,Interference (-),NEG,person1_profession=high,person3_color=black,0.008394196879484853
quantity_level=1vs10 & person1_gender=female,Interaction,0.206608792321988,0.19895547277188408,0.2147855688414005,0.007915048034758204,Synergy (+),POS,quantity_level=1vs10,person1_gender=female,0.008309432113751354
person1_profession=high & person2_gender=female,Interaction,0.20631545014747416,0.1999193315748701,0.2126185550650298,0.00634961174507985,Interference (-),NEG,person1_profession=high,person2_gender=female,0.008297634421805
person1_color=black,Main Effect,0.20340354365061364,0.19573574760069867,0.21108502966206272,0.007674641030682022,Negative (Promotes 0),NEG,person1_color=black,-,0.008180522806731304
person1_gender=female & person2_color=black,Interaction,0.20090839576954359,0.19327499000925985,0.2079677857945891,0.007346397892664627,Synergy (+),POS,person1_gender=female,person2_color=black,0.008080172469756243
quantity_level=1vs1 & person3_color=black,Interaction,0.1995167860341877,0.1907180268210279,0.20951850323449708,0.009400238206734593,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.008024204441993154
person1_profession=high & person2_profession=high,Interaction,0.1972165744247742,0.19058975275592058,0.20438974125509263,0.006899994249586025,Synergy (+),POS,person1_profession=high,person2_profession=high,0.007931694089452605
person3_color=black & person3_profession=high,Interaction,0.19489324496829508,0.18826005365143658,0.20133908991782176,0.00653951813319259,Interference (-),NEG,person3_color=black,person3_profession=high,0.007838253978896198
person2_color=black & person2_gender=female,Interaction,0.18831835899011298,0.1816424142402768,0.19513736834785136,0.006747477053787282,Synergy (+),POS,person2_color=black,person2_gender=female,0.0075738239511255676
person1_color=black & person3_profession=high,Interaction,0.18570809367003252,0.17952749438637466,0.19243456405908557,0.006453534836355454,Interference (-),NEG,person1_color=black,person3_profession=high,0.007468843798866191
quantity_level=1vs10 & person2_color=black,Interaction,0.18511490532549543,0.17686294961233592,0.19366965862851743,0.008403354508090752,Synergy (+),POS,quantity_level=1vs10,person2_color=black,0.00744498683603221
quantity_level=1vs5,Main Effect,0.1849441317482636,0.17634212766324708,0.19338870387093393,0.008523288103843424,Negative (Promotes 0),NEG,quantity_level=1vs5,-,0.007438118631485431
person3_gender=male,Main Effect,0.18412525650340497,0.18031628582595796,0.18792833467729783,0.003806024425669935,Positive (Promotes 1),POS,person3_gender=male,-,0.00740518494952392
person3_color=black & person3_gender=female,Interaction,0.18011075627801984,0.1724943937933141,0.18729702948968832,0.007401317848187108,Interference (-),NEG,person3_color=black,person3_gender=female,0.007243729007990268
person1_gender=female & person3_color=black,Interaction,0.1794170488416759,0.1726604709057997,0.18594461162656611,0.006642070360383209,Synergy (+),POS,person1_gender=female,person3_color=black,0.007215829349005179
person2_gender=female & person3_color=black,Interaction,0.17686741830119454,0.1708760391576459,0.18304529502173536,0.006084627932044728,Synergy (+),POS,person2_gender=female,person3_color=black,0.007113287817963945
quantity_level=1vs5 & person3_profession=high,Interaction,0.1729423553197572,0.16533145832551702,0.18068859339109983,0.0076785675327914055,Synergy (+),POS,quantity_level=1vs5,person3_profession=high,0.006955428880694599
quantity_level=1vs10 & person3_color=black,Interaction,0.17152366616935544,0.16394176958743387,0.17972379886696158,0.007891014639763855,Interference (-),NEG,quantity_level=1vs10,person3_color=black,0.006898371767813326
quantity_level=1vs1 & person2_gender=female,Interaction,0.16808631020891132,0.16002737380276869,0.17600680431393856,0.007989715255584937,Interference (-),NEG,quantity_level=1vs1,person2_gender=female,0.00676012752523726
person1_gender=female & person3_profession=high,Interaction,0.1665678710526811,0.16004156478563605,0.1731272999386113,0.006542867576487629,Synergy (+),POS,person1_gender=female,person3_profession=high,0.006699058647452556
person2_profession=high & person3_gender=female,Interaction,0.16088287882794963,0.15571374044800856,0.16570731931234914,0.004996789432170287,Synergy (+),POS,person2_profession=high,person3_gender=female,0.006470418537669663
person1_gender=female & person2_gender=female,Interaction,0.15839344178489756,0.15287126154698902,0.16434524103664622,0.0057369897448285995,Synergy (+),POS,person1_gender=female,person2_gender=female,0.006370297880275462
person1_profession=high & person1_gender=female,Interaction,0.15769270093373158,0.1521953278053739,0.16290342090892626,0.0053540465517761815,Synergy (+),POS,person1_profession=high,person1_gender=female,0.006342115350061446
person1_gender=female & person3_gender=female,Interaction,0.155712111974935,0.15066389435637043,0.16060966152336717,0.004972883583498372,Synergy (+),POS,person1_gender=female,person3_gender=female,0.0062624596427055
person2_color=black & person3_profession=high,Interaction,0.15431526639867915,0.1487930758024548,0.15944055639626117,0.00532374029690319,Synergy (+),POS,person2_color=black,person3_profession=high,0.006206281038886922
quantity_level=1vs1 & person1_color=black,Interaction,0.15375102026324727,0.14636118785384938,0.16095495535294702,0.007296883749548816,Synergy (+),POS,quantity_level=1vs1,person1_color=black,0.006183588079380576
person2_profession=high & person3_profession=high,Interaction,0.15293568486499248,0.14707804850511647,0.15846293800188926,0.005692444748386399,Synergy (+),POS,person2_profession=high,person3_profession=high,0.006150796763650033
person1_color=black & person2_gender=female,Interaction,0.14951934736331032,0.14396970036441767,0.15587972571573291,0.005955012675657623,Synergy (+),POS,person1_color=black,person2_gender=female,0.0060133978454875855
person1_profession=low,Main Effect,0.1493365293486028,0.14595590716397255,0.15254628563580458,0.003295189235916013,Positive (Promotes 1),POS,person1_profession=low,-,0.006006045235439823
person1_color=black & person2_profession=high,Interaction,0.1476536738625613,0.14271007925792073,0.15287114169659347,0.005080531219336368,Interference (-),NEG,person1_color=black,person2_profession=high,0.005938363830106775
person3_profession=high & person3_gender=female,Interaction,0.14531017429443388,0.1401783517410535,0.15050699811301183,0.005164323185979161,Interference (-),NEG,person3_profession=high,person3_gender=female,0.005844112514123994
person1_color=black & person3_gender=female,Interaction,0.14445354354049586,0.13959716086307067,0.14920490172274453,0.004803870429836932,Synergy (+),POS,person1_color=black,person3_gender=female,0.005809660373842827
quantity_level=1vs1 & person1_gender=female,Interaction,0.14438344057503555,0.13729945901885648,0.15152314465478303,0.007111842817963274,Synergy (+),POS,quantity_level=1vs1,person1_gender=female,0.005806840959306212
person3_profession=low,Main Effect,0.14365108085362577,0.13987492984905656,0.14783785755621098,0.0039814638535772134,Positive (Promotes 1),POS,person3_profession=low,-,0.0057773867752925106
person2_gender=female & person3_gender=female,Interaction,0.14190824524990214,0.13701372214965302,0.14690413618949996,0.004945207019923473,Interference (-),NEG,person2_gender=female,person3_gender=female,0.005707293078060106
