Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person3_color=white,Main Effect,0.010609296874804625,0.010567029672086893,0.010654190373827546,4.358035087032638e-05,Positive (Promotes 1),POS,person3_color=white,-,0.06347562726608592
person3_color=black,Main Effect,0.01016136621597611,0.010118439017284632,0.010206886643681369,4.422381319836837e-05,Negative (Promotes 0),NEG,person3_color=black,-,0.06079564951860916
person2_color=white,Main Effect,0.009226250291020026,0.009172485069962513,0.009278800824925479,5.3157877481483165e-05,Positive (Promotes 1),POS,person2_color=white,-,0.05520083295314411
person2_color=black,Main Effect,0.008603782916496086,0.00855349977611475,0.008656237881488133,5.136905268669171e-05,Negative (Promotes 0),NEG,person2_color=black,-,0.051476598678541596
quantity_level=1vs2,Main Effect,0.005271329029413019,0.005125996537851569,0.005425217269947695,0.00014961036604806306,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.031538462974162094
quantity_level=1vs1,Main Effect,0.004831956782705563,0.004704748836820888,0.004961212918592248,0.00012823204088568008,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.028909690371022093
person2_color=white & person3_color=black,Interaction,0.004741223091938219,0.004690387182795559,0.004794003324417795,5.180807081111823e-05,Interference (-),NEG,person2_color=white,person3_color=black,0.028366828953947244
person2_color=black & person3_color=white,Interaction,0.004592466318579822,0.004541540995481309,0.004647706907230629,5.308295587466011e-05,Interference (-),NEG,person2_color=black,person3_color=white,0.027476814317687278
person2_color=white & person3_color=white,Interaction,0.004480018495135847,0.004428596610551026,0.0045318881562647,5.1645772856837024e-05,Interference (-),NEG,person2_color=white,person3_color=white,0.026804036827148457
person1_color=white,Main Effect,0.004249149709592072,0.004199542805554116,0.004292116379903951,4.628678717491725e-05,Positive (Promotes 1),POS,person1_color=white,-,0.025422744442602903
person2_color=black & person3_color=black,Interaction,0.004088053893071294,0.004042684478223525,0.004137007075922161,4.716129884931768e-05,Interference (-),NEG,person2_color=black,person3_color=black,0.02445890507376754
person1_color=black,Main Effect,0.003397417966030506,0.0033530558424110994,0.003437991262354012,4.246770997145622e-05,Negative (Promotes 0),NEG,person1_color=black,-,0.02032681703827121
person1_color=white & person3_color=white,Interaction,0.0029326087966263636,0.002873723876200709,0.00298903880078438,5.7657462291835476e-05,Synergy (+),POS,person1_color=white,person3_color=white,0.017545854837371384
person1_color=white & person2_color=white,Interaction,0.0027397145096632837,0.002690723643483434,0.002790968991378119,5.012267394734248e-05,Synergy (+),POS,person1_color=white,person2_color=white,0.016391764608253222
person1_color=white & person2_color=black,Interaction,0.0026227643722486513,0.002572633510313818,0.0026754959012809804,5.143119548358115e-05,Synergy (+),POS,person1_color=white,person2_color=black,0.015692049686628365
person1_color=black & person3_color=black,Interaction,0.0026221782073623076,0.002569474277623298,0.0026686235201355264,4.957462125611419e-05,Synergy (+),POS,person1_color=black,person3_color=black,0.015688542650838806
person1_color=black & person2_color=white,Interaction,0.002594721250567021,0.0025442311073119867,0.002645049141502031,5.040901709502219e-05,Synergy (+),POS,person1_color=black,person2_color=white,0.015524267150212781
person3_gender=female,Main Effect,0.0023510160552349746,0.0023285701733139434,0.002371597762236082,2.1513794461069328e-05,Negative (Promotes 0),NEG,person3_gender=female,-,0.014066174279002547
person1_color=black & person3_color=white,Interaction,0.0022174400994167316,0.0021781410279443866,0.0022553569207226444,3.860794638912892e-05,Synergy (+),POS,person1_color=black,person3_color=white,0.013266986766080199
person3_gender=male,Main Effect,0.0022129975796944435,0.0021908668131108066,0.002232284217905049,2.0708702397121076e-05,Positive (Promotes 1),POS,person3_gender=male,-,0.013240407085132267
person1_color=white & person3_color=black,Interaction,0.0022013536864070866,0.002158664432025924,0.002242252258785119,4.179391337959747e-05,Synergy (+),POS,person1_color=white,person3_color=black,0.013170741447629974
person1_color=black & person2_color=black,Interaction,0.002177615067332553,0.002137161262594062,0.002219984407246589,4.14115723262633e-05,Synergy (+),POS,person1_color=black,person2_color=black,0.013028712833107445
quantity_level=1vs5,Main Effect,0.0019542470871549045,0.0019066644526293136,0.00199953155252742,4.6433549949053115e-05,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.01169229791134139
person3_profession=low,Main Effect,0.0016907698379014999,0.0016728920615488674,0.00170820524045914,1.7656589455136294e-05,Positive (Promotes 1),POS,person3_profession=low,-,0.010115908461214827
person3_profession=high,Main Effect,0.0016719866175190544,0.0016540045209932825,0.0016897590880796043,1.7877283543160866e-05,Negative (Promotes 0),NEG,person3_profession=high,-,0.010003528092381496
quantity_level=1vs10,Main Effect,0.0013519691131291564,0.0013228398419281554,0.0013813710238312095,2.9265590951527078e-05,Negative (Promotes 0),NEG,quantity_level=1vs10,-,0.008088857208251837
quantity_level=1vs1 & person3_color=white,Interaction,0.0012922981946620457,0.001242318303736571,0.001346915275758833,5.229848601113107e-05,Synergy (+),POS,quantity_level=1vs1,person3_color=white,0.007731844955325032
quantity_level=1vs2 & person3_color=black,Interaction,0.0010571336991734978,0.0010061177175614514,0.0011107279038998705,5.230509316920954e-05,Synergy (+),POS,quantity_level=1vs2,person3_color=black,0.006324851255554226
person2_gender=female,Main Effect,0.0010450950337383559,0.0010294302294385897,0.0010607895224851143,1.5679646523262332e-05,Negative (Promotes 0),NEG,person2_gender=female,-,0.006252823688698505
quantity_level=1vs1 & person3_color=black,Interaction,0.0010165739766152444,0.0009758571252158573,0.001060461782146515,4.230232846532886e-05,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.006082181655343706
person1_gender=male,Main Effect,0.0009746735227431149,0.0009581355116240876,0.0009916637331320623,1.676411075398731e-05,Positive (Promotes 1),POS,person1_gender=male,-,0.005831490433894019
quantity_level=1vs1 & person1_color=white,Interaction,0.0008683395644778891,0.0008225753533756743,0.0009119991292553902,4.471188793985794e-05,Synergy (+),POS,quantity_level=1vs1,person1_color=white,0.005195292316316571
quantity_level=1vs1 & person2_color=black,Interaction,0.0008636601712199585,0.000824399400783718,0.000908634616455519,4.211760783590047e-05,Synergy (+),POS,quantity_level=1vs1,person2_color=black,0.0051672954164487545
person2_gender=male,Main Effect,0.0008558880796846388,0.0008418682603348633,0.0008698968957339531,1.4014317699544913e-05,Positive (Promotes 1),POS,person2_gender=male,-,0.005120794843300929
quantity_level=1vs2 & person3_color=white,Interaction,0.0008427998488099449,0.0007992009780610177,0.0008873489614704298,4.4073991704706036e-05,Synergy (+),POS,quantity_level=1vs2,person3_color=white,0.00504248770623254
quantity_level=1vs2 & person2_color=white,Interaction,0.0008274443661640991,0.0007855012198589088,0.0008708851201311935,4.269195013614232e-05,Synergy (+),POS,quantity_level=1vs2,person2_color=white,0.00495061555820798
quantity_level=1vs5 & person3_color=white,Interaction,0.000767955483380472,0.000743065165597217,0.0007948919682812122,2.591340134199758e-05,Synergy (+),POS,quantity_level=1vs5,person3_color=white,0.004594692428276815
person1_gender=female,Main Effect,0.0007528373663453542,0.0007382053485905535,0.0007690777559181753,1.5436203663810933e-05,Negative (Promotes 0),NEG,person1_gender=female,-,0.00450424044326684
quantity_level=1vs1 & person2_color=white,Interaction,0.0007158680872847997,0.0006833322359877364,0.0007550811148510356,3.587443943164957e-05,Synergy (+),POS,quantity_level=1vs1,person2_color=white,0.004283052535563306
quantity_level=1vs2 & person2_color=black,Interaction,0.0006885893483983856,0.0006532454518141793,0.0007265993101006255,3.667692914322311e-05,Synergy (+),POS,quantity_level=1vs2,person2_color=black,0.004119843316113993
quantity_level=1vs5 & person3_color=black,Interaction,0.0006612089568570267,0.0006378314777987867,0.000686508724089666,2.433862314543965e-05,Synergy (+),POS,quantity_level=1vs5,person3_color=black,0.00395602590687491
person3_color=white & person3_profession=high,Interaction,0.0006562770868151898,0.0006429697367437442,0.0006700740203722452,1.355214181425051e-05,Interference (-),NEG,person3_color=white,person3_profession=high,0.003926518433552727
quantity_level=1vs2 & person1_color=black,Interaction,0.0006556127476003756,0.0006192806894225703,0.0006899203483759936,3.5319829476711674e-05,Synergy (+),POS,quantity_level=1vs2,person1_color=black,0.003922543679252285
quantity_level=1vs2 & person1_color=white,Interaction,0.0006468824971366167,0.0006108362558467438,0.0006826964890499602,3.593011660160824e-05,Synergy (+),POS,quantity_level=1vs2,person1_color=white,0.0038703104228059353
person3_color=black & person3_profession=low,Interaction,0.0006331025471863828,0.0006212343609312975,0.0006451506496882043,1.195814437845343e-05,Interference (-),NEG,person3_color=black,person3_profession=low,0.003787864717203746
person3_color=white & person3_profession=low,Interaction,0.0006047573515966615,0.000591759604946935,0.0006173809033102347,1.2810649181649878e-05,Interference (-),NEG,person3_color=white,person3_profession=low,0.003618274866785824
quantity_level=1vs2 & quantity_level=1vs5,Interaction,0.0005879088939125711,0.0005676750422462211,0.0006091194808238256,2.0722219288802268e-05,Synergy (+),POS,quantity_level=1vs2,quantity_level=1vs5,0.0035174702203908718
person3_color=black & person3_profession=high,Interaction,0.00056061658357561,0.0005480739952855116,0.0005727628102548572,1.234440748467281e-05,Interference (-),NEG,person3_color=black,person3_profession=high,0.0033541798026918966
quantity_level=1vs10 & person3_color=black,Interaction,0.0005377264934285238,0.0005174263549372767,0.0005595668765397893,2.1070260801256283e-05,Synergy (+),POS,quantity_level=1vs10,person3_color=black,0.003217227953063284
quantity_level=1vs5 & person2_color=white,Interaction,0.0005328349815612278,0.0005087503586937287,0.0005579299051404809,2.4589773223376106e-05,Interference (-),NEG,quantity_level=1vs5,person2_color=white,0.0031879619434756474
person2_color=white & person2_profession=low,Interaction,0.0005318165484538315,0.0005179301413841573,0.0005460518870222782,1.4060872819060446e-05,Synergy (+),POS,person2_color=white,person2_profession=low,0.0031818686386050807
quantity_level=1vs1 & quantity_level=1vs10,Interaction,0.0005288239701745336,0.0005114098915543559,0.0005463359038917543,1.7463006168699183e-05,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs10,0.003163963985199405
person3_color=white & person3_gender=female,Interaction,0.0005286279184306363,0.000507687259643794,0.000547965496554316,2.0139118455260972e-05,Synergy (+),POS,person3_color=white,person3_gender=female,0.0031627910038447174
quantity_level=1vs5 & person1_color=white,Interaction,0.0005192390472127356,0.0004970562261831111,0.000543433957868347,2.3188865842617922e-05,Interference (-),NEG,quantity_level=1vs5,person1_color=white,0.00310661720675812
person2_profession=high,Main Effect,0.000518837606118497,0.0005061139427855757,0.0005330096558890065,1.3447856551715388e-05,Positive (Promotes 1),POS,person2_profession=high,-,0.003104215376969787
quantity_level=1vs5 & person1_color=black,Interaction,0.0005013761502094189,0.0004780930640403844,0.0005250049113165177,2.3455923638066663e-05,Interference (-),NEG,quantity_level=1vs5,person1_color=black,0.002999743150404042
quantity_level=1vs10 & person3_color=white,Interaction,0.0004957597294469434,0.0004765802237663351,0.0005159084427643541,1.966410949900949e-05,Synergy (+),POS,quantity_level=1vs10,person3_color=white,0.002966139996953313
quantity_level=1vs5 & person2_color=black,Interaction,0.0004906422508821955,0.0004667053869723274,0.0005167797979535993,2.503720549063598e-05,Interference (-),NEG,quantity_level=1vs5,person2_color=black,0.002935522024268473
quantity_level=1vs1 & person1_color=black,Interaction,0.00048827188097151094,0.0004628910251290828,0.0005125959215626812,2.485244821679922e-05,Synergy (+),POS,quantity_level=1vs1,person1_color=black,0.0029213400555000548
person2_color=black & person3_gender=female,Interaction,0.000468307632722385,0.0004512624760678137,0.00048582611299045686,1.728181846132157e-05,Synergy (+),POS,person2_color=black,person3_gender=female,0.002801893574223937
person2_color=white & person2_gender=male,Interaction,0.00046071574169136457,0.0004468175438545501,0.0004760512545210652,1.4616855333257547e-05,Synergy (+),POS,person2_color=white,person2_gender=male,0.002756471144159393
person3_color=black & person3_gender=female,Interaction,0.0004572359045915689,0.0004384786514058813,0.0004756018484757419,1.8561598534930305e-05,Synergy (+),POS,person3_color=black,person3_gender=female,0.0027356512118585177
quantity_level=1vs2 & person3_gender=female,Interaction,0.0004513923509215234,0.00042662091319636017,0.00047726669778901495,2.5322892296327388e-05,Interference (-),NEG,quantity_level=1vs2,person3_gender=female,0.0027006891178530173
quantity_level=1vs2 & person2_gender=female,Interaction,0.0004477998408269465,0.00042820670085458534,0.00046978534976374863,2.0789324454581644e-05,Interference (-),NEG,quantity_level=1vs2,person2_gender=female,0.0026791950608571606
person2_profession=low,Main Effect,0.00044474821984150065,0.000431074635818648,0.00045909456399320365,1.4009964087277832e-05,Negative (Promotes 0),NEG,person2_profession=low,-,0.0026609371538049466
person1_color=black & person2_profession=high,Interaction,0.0004424160611141726,0.0004316142367940064,0.000452638465576192,1.05121143910928e-05,Interference (-),NEG,person1_color=black,person2_profession=high,0.002646983803281522
person3_color=black & person3_gender=male,Interaction,0.0004351159842411414,0.0004167678101268339,0.000453567127856565,1.839965886486555e-05,Synergy (+),POS,person3_color=black,person3_gender=male,0.002603307302937117
person2_color=black & person2_profession=high,Interaction,0.0004340174170955926,0.00042327693552220586,0.00044565538384244084,1.1189224160117488e-05,Synergy (+),POS,person2_color=black,person2_profession=high,0.0025967345545749487
person2_color=white & person2_profession=high,Interaction,0.00042921435742329726,0.0004185459011454633,0.00044074383322383347,1.1098966039185083e-05,Synergy (+),POS,person2_color=white,person2_profession=high,0.0025679977561713315
person1_profession=low,Main Effect,0.0004119592127053087,0.0003999236162775551,0.00042455133262989976,1.2313858176172339e-05,Positive (Promotes 1),POS,person1_profession=low,-,0.0024647598934301605
person2_color=white & person2_gender=female,Interaction,0.00041154731330792025,0.00039732494195813476,0.0004269496414040078,1.4812349722936516e-05,Interference (-),NEG,person2_color=white,person2_gender=female,0.002462295491412922
person3_color=white & person3_gender=male,Interaction,0.0004065688498212958,0.0003877368971589845,0.00042397608907291,1.811959595696277e-05,Synergy (+),POS,person3_color=white,person3_gender=male,0.002432509248614375
quantity_level=1vs10 & person2_color=black,Interaction,0.0004026989418778783,0.0003850115569711513,0.00042118044829185644,1.808444566035256e-05,Interference (-),NEG,quantity_level=1vs10,person2_color=black,0.0024093555149533067
quantity_level=1vs10 & person2_color=white,Interaction,0.00040205925560839753,0.00038409697028516325,0.0004214466756490689,1.8674852681952814e-05,Interference (-),NEG,quantity_level=1vs10,person2_color=white,0.002405528259698981
person1_profession=high,Main Effect,0.0004009811815970201,0.00038838972329266377,0.00041385081822944265,1.2730547468389438e-05,Negative (Promotes 0),NEG,person1_profession=high,-,0.002399078122152735
person2_color=black & person2_profession=low,Interaction,0.00038969639511496487,0.00037850028319357475,0.00040070969260747546,1.1104704706950354e-05,Synergy (+),POS,person2_color=black,person2_profession=low,0.002331561027573789
quantity_level=1vs2 & person3_gender=male,Interaction,0.00038792855645326075,0.0003661676435718663,0.00040865074062968734,2.124154852891052e-05,Interference (-),NEG,quantity_level=1vs2,person3_gender=male,0.0023209840148573856
person2_color=white & person3_gender=male,Interaction,0.0003786279822639225,0.00036237619584340635,0.0003941754607374328,1.5899632447013236e-05,Synergy (+),POS,person2_color=white,person3_gender=male,0.002265338500591023
person1_color=white & person2_profession=low,Interaction,0.00037487083738900625,0.00036182751218534037,0.00038636111358293483,1.226680069879723e-05,Interference (-),NEG,person1_color=white,person2_profession=low,0.0022428594305377346
quantity_level=1vs2 & person2_gender=male,Interaction,0.00036592355888000145,0.00034881553401653644,0.0003856328353619677,1.8408650672715636e-05,Interference (-),NEG,quantity_level=1vs2,person2_gender=male,0.00218932769112226
person2_color=black & person3_gender=male,Interaction,0.0003620018091576071,0.0003468181883083953,0.0003763606927140278,1.477125220281626e-05,Synergy (+),POS,person2_color=black,person3_gender=male,0.002165863787100424
person1_gender=male & person3_gender=male,Interaction,0.0003488180391196726,0.0003372421069180988,0.00036151691511608137,1.2137404098991285e-05,Synergy (+),POS,person1_gender=male,person3_gender=male,0.0020869850373807226
quantity_level=1vs2 & person3_profession=high,Interaction,0.00034728254784619693,0.0003309758797688775,0.00036554584991786937,1.7284985074495938e-05,Synergy (+),POS,quantity_level=1vs2,person3_profession=high,0.0020777981635571674
person2_profession=low & person2_gender=female,Interaction,0.0003445156116783437,0.0003335628010814708,0.00035498892707533326,1.0713062996931243e-05,Synergy (+),POS,person2_profession=low,person2_gender=female,0.00206124353124437
quantity_level=1vs10 & person1_color=white,Interaction,0.00034309974564939447,0.0003285930360915032,0.0003571918867943548,1.42994253514258e-05,Interference (-),NEG,quantity_level=1vs10,person1_color=white,0.002052772377559744
person1_color=white & person1_gender=female,Interaction,0.00034267968230002396,0.00033353843290980173,0.00035230014843972953,9.380857764963897e-06,Synergy (+),POS,person1_color=white,person1_gender=female,0.0020502591304607668
person2_color=black & person2_gender=female,Interaction,0.00032696856724428954,0.0003158469683107174,0.0003394589579086896,1.1805994798986093e-05,Interference (-),NEG,person2_color=black,person2_gender=female,0.0019562592268874443
quantity_level=1vs1 & person3_gender=female,Interaction,0.0003217717647563484,0.0003103337284134519,0.0003332484070730285,1.1457339329788317e-05,Interference (-),NEG,quantity_level=1vs1,person3_gender=female,0.0019251666576443865
person1_gender=female & person2_color=black,Interaction,0.00031802398553189683,0.00030783631528735804,0.00032874038166077037,1.0452033186706165e-05,Interference (-),NEG,person1_gender=female,person2_color=black,0.0019027436224579712
person1_color=white & person1_gender=male,Interaction,0.0003159984611187357,0.00030807698539885595,0.0003243783793245678,8.150696962855926e-06,Synergy (+),POS,person1_color=white,person1_gender=male,0.0018906248709341536
person1_color=black & person2_profession=low,Interaction,0.00031363899089433483,0.00030529375517492367,0.00032186649381021356,8.286369317644942e-06,Interference (-),NEG,person1_color=black,person2_profession=low,0.00187650811519842
person1_gender=female & person2_color=white,Interaction,0.0003049158635439617,0.0002942148866787209,0.0003156255754214829,1.0705344371381007e-05,Interference (-),NEG,person1_gender=female,person2_color=white,0.001824317476476466
person1_profession=high & person3_color=white,Interaction,0.0002984107159572075,0.00028868719266543985,0.00030852350555307683,9.918156443818494e-06,Interference (-),NEG,person1_profession=high,person3_color=white,0.001785397053341894
person2_color=black & person2_gender=male,Interaction,0.00029794185532918695,0.0002887296359656257,0.0003084535332245883,9.861948629481316e-06,Synergy (+),POS,person2_color=black,person2_gender=male,0.0017825918511861646
