Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person2_color=black & person3_color=black,Interaction,0.9431428,0.9152345225214958,0.972879545390606,0.028822511434555054,Synergy (+),POS,person2_color=black,person3_color=black,0.04086081
person3_color=black,Main Effect,0.8692113,0.8386815950274468,0.899125324189663,0.030221864581108093,Negative (Promotes 0),NEG,person3_color=black,-,0.037657797
person2_color=black,Main Effect,0.7789596,0.7454765439033508,0.8138530716300011,0.03418826386332513,Negative (Promotes 0),NEG,person2_color=black,-,0.03374772
person1_color=black & person3_color=black,Interaction,0.57670605,0.5577376991510391,0.5959866002202034,0.01912445053458217,Synergy (+),POS,person1_color=black,person3_color=black,0.024985269
person1_color=black & person2_color=black,Interaction,0.52685595,0.5084535092115402,0.5471619427204132,0.019354216754436493,Synergy (+),POS,person1_color=black,person2_color=black,0.022825558
person1_color=black,Main Effect,0.4461779,0.4290688931941986,0.4628381825983524,0.0168846447020769,Negative (Promotes 0),NEG,person1_color=black,-,0.019330256
person1_profession=high,Main Effect,0.41314203,0.3981686234474182,0.4292453669011593,0.015538371726870531,Negative (Promotes 0),NEG,person1_profession=high,-,0.017899005
person2_profession=high,Main Effect,0.40992135,0.3955558851361275,0.4252592608332634,0.01485168784856794,Positive (Promotes 1),POS,person2_profession=high,-,0.017759472
person2_color=black & person2_profession=high,Interaction,0.4015777,0.3859113290905952,0.4189282603561878,0.016508465632796288,Synergy (+),POS,person2_color=black,person2_profession=high,0.017397992
person3_gender=female,Main Effect,0.40085283,0.3854073539376259,0.41558448746800425,0.015088566765189187,Negative (Promotes 0),NEG,person3_gender=female,-,0.017366588
person2_profession=high & person2_gender=female,Interaction,0.3976156,0.38349052965641023,0.41142989248037337,0.013969681411981572,Synergy (+),POS,person2_profession=high,person2_gender=female,0.017226338
person3_profession=high,Main Effect,0.39549923,0.38090149238705634,0.4103639230132103,0.014731215313076973,Negative (Promotes 0),NEG,person3_profession=high,-,0.017134648
quantity_level=1vs1,Main Effect,0.3923627,0.3692555777728558,0.41662649288773534,0.023685457557439782,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.01699876
person2_gender=female,Main Effect,0.3872415,0.37438877746462823,0.4018793679773808,0.013745295256376272,Negative (Promotes 0),NEG,person2_gender=female,-,0.01677689
person1_gender=female,Main Effect,0.38544238,0.37091542035341263,0.400394880771637,0.014739730209112178,Negative (Promotes 0),NEG,person1_gender=female,-,0.016698943
person1_profession=high & person2_gender=female,Interaction,0.38039514,0.36714505553245547,0.3944974295794964,0.01367618702352047,Interference (-),NEG,person1_profession=high,person2_gender=female,0.016480276
quantity_level=1vs2,Main Effect,0.3513777,0.3411396361887455,0.362355513125658,0.010607938468456257,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.015223121
person1_gender=female & person2_profession=high,Interaction,0.32948536,0.3180347740650177,0.3406005784869194,0.011282902210950851,Synergy (+),POS,person1_gender=female,person2_profession=high,0.014274656
quantity_level=1vs2 & person3_color=black,Interaction,0.320715,0.3056681647896767,0.3348545923829079,0.0145932137966156,Interference (-),NEG,quantity_level=1vs2,person3_color=black,0.013894688
person1_gender=female & person2_color=black,Interaction,0.31974328,0.30470249727368354,0.33416385427117345,0.014730678498744959,Interference (-),NEG,person1_gender=female,person2_color=black,0.013852589
person2_color=black & person2_gender=female,Interaction,0.31571817,0.30301662236452104,0.3298168651759624,0.013400121405720694,Interference (-),NEG,person2_color=black,person2_gender=female,0.013678205
person1_profession=high & person2_color=black,Interaction,0.3086565,0.29510828033089637,0.32241289541125295,0.013652307540178293,Interference (-),NEG,person1_profession=high,person2_color=black,0.013372265
person1_color=black & person3_profession=high,Interaction,0.30549794,0.29406760856509206,0.31659586578607557,0.011264128610491753,Interference (-),NEG,person1_color=black,person3_profession=high,0.013235423
person1_color=black & person2_profession=high,Interaction,0.2909387,0.27998990193009377,0.30258792266249657,0.0112990103662014,Interference (-),NEG,person1_color=black,person2_profession=high,0.012604657
person1_profession=high & person2_profession=high,Interaction,0.28928897,0.27867381274700165,0.30022348538041116,0.010774836316704756,Interference (-),NEG,person1_profession=high,person2_profession=high,0.012533183
person1_profession=high & person3_color=black,Interaction,0.28809223,0.2738913357257843,0.3008195921778679,0.013464128226041816,Interference (-),NEG,person1_profession=high,person3_color=black,0.012481336
person1_profession=high & person1_gender=female,Interaction,0.28703552,0.27723676040768624,0.29682051986455915,0.009791879728436453,Synergy (+),POS,person1_profession=high,person1_gender=female,0.012435555
person2_gender=female & person3_profession=high,Interaction,0.28522998,0.2756023645401001,0.29464085549116137,0.009519245475530624,Synergy (+),POS,person2_gender=female,person3_profession=high,0.012357332
person3_color=black & person3_gender=female,Interaction,0.2851976,0.2720679633319378,0.29745169430971147,0.012691865488886844,Interference (-),NEG,person3_color=black,person3_gender=female,0.012355928
person1_gender=female & person3_gender=female,Interaction,0.28385597,0.2745400846004486,0.29334245771169665,0.009401186555624025,Synergy (+),POS,person1_gender=female,person3_gender=female,0.0122978045
person1_gender=female & person3_color=black,Interaction,0.2793923,0.26628253757953646,0.2915545925498009,0.012636027485132206,Interference (-),NEG,person1_gender=female,person3_color=black,0.012104419
person1_color=black & person3_gender=female,Interaction,0.27314156,0.2626017488539219,0.28342455327510835,0.010411402210593224,Interference (-),NEG,person1_color=black,person3_gender=female,0.011833612
