Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person3_color=white,Main Effect,0.7612153064609558,0.7510700714113903,0.7711604712078963,0.010045199898253032,Positive (Promotes 1),POS,person3_color=white,-,0.05542505921250514
person3_color=black,Main Effect,0.6428279557132665,0.6337641658130431,0.6513671346157045,0.008801484401330717,Negative (Promotes 0),NEG,person3_color=black,-,0.04680512491860789
quantity_level=1vs1,Main Effect,0.5688430830521228,0.5350113135245922,0.6039924201319936,0.03449055330370071,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.041418191795654626
person2_color=white & person3_color=white,Interaction,0.4575277578670473,0.4498295391806529,0.46601322116877736,0.008091840994062238,Synergy (+),POS,person2_color=white,person3_color=white,0.03331318072023883
person1_color=black,Main Effect,0.4023767358911803,0.3953686356967952,0.40921031887381115,0.0069208415885079755,Negative (Promotes 0),NEG,person1_color=black,-,0.029297564333261483
person2_color=white & person3_color=black,Interaction,0.39682252501028953,0.39031133297563775,0.40376084013515195,0.006724753579757103,Synergy (+),POS,person2_color=white,person3_color=black,0.0288931551413558
person2_color=black & person3_color=white,Interaction,0.3876173493533526,0.38103463983185715,0.3949577300377161,0.006961545102929484,Synergy (+),POS,person2_color=black,person3_color=white,0.028222914538576477
quantity_level=1vs2,Main Effect,0.35976004418403656,0.34194465884027014,0.3783346273942747,0.01819498427700228,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.026194588550639497
person1_color=white,Main Effect,0.3529870034756352,0.3462345023324667,0.35955223586756163,0.0066588667675474555,Positive (Promotes 1),POS,person1_color=white,-,0.025701434801462874
person2_color=black & person3_color=black,Interaction,0.3446491021268025,0.33906578667306203,0.3505925792112155,0.005763396269076737,Synergy (+),POS,person2_color=black,person3_color=black,0.02509434154933739
person1_gender=male,Main Effect,0.34373309411553654,0.33958310745211984,0.34809822391905837,0.004257558233469266,Positive (Promotes 1),POS,person1_gender=male,-,0.025027645835480054
person3_gender=male,Main Effect,0.27960867146579094,0.2749032283744743,0.28422017884266637,0.004658475234096043,Positive (Promotes 1),POS,person3_gender=male,-,0.02035866467842268
person1_gender=female,Main Effect,0.2439632510216432,0.2401050221370794,0.2478738948180334,0.003884436340476999,Negative (Promotes 0),NEG,person1_gender=female,-,0.01776327606497411
person3_gender=female,Main Effect,0.23318296699527308,0.22890465407747804,0.23729484837598752,0.004195097149254742,Negative (Promotes 0),NEG,person3_gender=female,-,0.016978349809001834
person1_profession=low,Main Effect,0.21316596958311212,0.20871443571636403,0.2177764408599947,0.004531002571815337,Negative (Promotes 0),NEG,person1_profession=low,-,0.015520886647910645
person2_gender=female,Main Effect,0.18988123183643726,0.18562145142999942,0.1939911121476446,0.004184830358822597,Positive (Promotes 1),POS,person2_gender=female,-,0.013825495137252283
person2_color=white,Main Effect,0.18490048327817354,0.17868754277531318,0.19067509122183623,0.005993774223261528,Positive (Promotes 1),POS,person2_color=white,-,0.013462840469878582
person1_profession=high,Main Effect,0.15792682776156786,0.1542999927572572,0.16137713107540358,0.0035385691590731905,Positive (Promotes 1),POS,person1_profession=high,-,0.0114988541423621
person2_gender=male,Main Effect,0.1474530227931433,0.14313944977540013,0.1513653545165353,0.00411295237056758,Negative (Promotes 0),NEG,person2_gender=male,-,0.010736243018245224
person2_color=black,Main Effect,0.1473859270413748,0.14182391835020614,0.15302294035376643,0.005599511001780147,Negative (Promotes 0),NEG,person2_color=black,-,0.010731357690818
quantity_level=1vs1 & quantity_level=1vs10,Interaction,0.11641761556019031,0.11065952274510675,0.12240234995208793,0.00587141360349059,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs10,0.008476515357791438
person1_color=black & person3_color=white,Interaction,0.11413715868644193,0.11064086200445754,0.11797608198855573,0.003667609992049098,Synergy (+),POS,person1_color=black,person3_color=white,0.008310472378641817
quantity_level=1vs5,Main Effect,0.11314884261759076,0.10862303417702043,0.11744302987543909,0.004409997849209327,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.008238511822709989
person2_gender=female & person3_gender=male,Interaction,0.10040353848831098,0.09758651157934883,0.10317075553512023,0.0027921219778856976,Synergy (+),POS,person2_gender=female,person3_gender=male,0.007310509941966211
quantity_level=1vs1 & person3_color=white,Interaction,0.08977090997751344,0.08116851479817203,0.09835634666012404,0.008593915930976005,Synergy (+),POS,quantity_level=1vs1,person3_color=white,0.006536334672770215
person2_gender=male & person3_gender=male,Interaction,0.08904897696119005,0.08661049099543763,0.09155549533655412,0.0024725021705582426,Synergy (+),POS,person2_gender=male,person3_gender=male,0.006483769807301054
person1_color=black & person3_color=black,Interaction,0.08749491564232112,0.08383417206608705,0.09134712443048629,0.003756476182199618,Synergy (+),POS,person1_color=black,person3_color=black,0.006370616616755492
person2_gender=female & person3_gender=female,Interaction,0.07744395069658024,0.07545662025366304,0.07959581127505852,0.0020695955106977415,Synergy (+),POS,person2_gender=female,person3_gender=female,0.00563879301503306
person2_profession=high & person3_profession=low,Interaction,0.07619032154248351,0.0739485944550713,0.07833712310461183,0.0021942643247702606,Synergy (+),POS,person2_profession=high,person3_profession=low,0.005547514674323685
person1_color=white & person3_color=black,Interaction,0.07602155559226742,0.07265651634757074,0.07929347664802322,0.00331848015022624,Synergy (+),POS,person1_color=white,person3_color=black,0.005535226609824209
person1_color=black & person1_gender=male,Interaction,0.0737138291326545,0.07072640420809491,0.07673502054638301,0.00300430816914405,Interference (-),NEG,person1_color=black,person1_gender=male,0.0053671980972802725
person2_profession=high & person3_profession=high,Interaction,0.07113554178015641,0.06959737480300508,0.07281161148327606,0.0016071183401354869,Synergy (+),POS,person2_profession=high,person3_profession=high,0.0051794697003784305
person1_color=white & person3_color=white,Interaction,0.0710889861378688,0.06784122200967031,0.07442244360799528,0.0032906107991624856,Synergy (+),POS,person1_color=white,person3_color=white,0.005176079924570501
quantity_level=1vs1 & person2_color=white,Interaction,0.06930491761440581,0.0634890067219628,0.07547438465675838,0.00599268896739779,Synergy (+),POS,quantity_level=1vs1,person2_color=white,0.005046179615534644
