Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person2_color=black & person3_color=black,Interaction,1.9224236059643913,1.8900120540954084,1.9574461595690857,0.03371705273683867,Synergy (+),POS,person2_color=black,person3_color=black,0.06915494710382017
person3_color=black,Main Effect,1.4205079841026966,1.3977017694049438,1.4422675209846791,0.02228287578986765,Negative (Promotes 0),NEG,person3_color=black,-,0.051099640160679444
person3_color=white,Main Effect,1.3237292111971002,1.3073133865179585,1.3404499246199164,0.016568269050978968,Positive (Promotes 1),POS,person3_color=white,-,0.047618237362516386
quantity_level=1vs1,Main Effect,1.0613905422124141,0.9832338276687811,1.1421174148805606,0.07944179360588977,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.038181182636057416
person2_color=black & person3_color=white,Interaction,0.8807441129291201,0.8635741412062679,0.8988300427638319,0.017627950778782042,Synergy (+),POS,person2_color=black,person3_color=white,0.03168282596647562
person1_color=black,Main Effect,0.7573635206331802,0.7397571781706214,0.774646837879012,0.01744482985419532,Negative (Promotes 0),NEG,person1_color=black,-,0.027244481416714737
person1_gender=female,Main Effect,0.6084094772554496,0.594107115206668,0.6224543098269508,0.014173597310141395,Negative (Promotes 0),NEG,person1_gender=female,-,0.021886188396004765
person1_profession=high,Main Effect,0.4613235395118905,0.4463391191172327,0.4758646697876043,0.014762775335185802,Positive (Promotes 1),POS,person1_profession=high,-,0.01659509635322425
person3_gender=female,Main Effect,0.4304107636501498,0.4159631310373824,0.4456419794541268,0.014839424208372198,Negative (Promotes 0),NEG,person3_gender=female,-,0.015483077455350538
person1_color=black & person3_color=black,Interaction,0.38661096001546785,0.37467378907189225,0.3993282086308578,0.012327209779482762,Synergy (+),POS,person1_color=black,person3_color=black,0.013907476170536599
quantity_level=1vs2,Main Effect,0.37126060585813403,0.3507848878864408,0.3917851705848884,0.02050014134922379,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.013355281052623034
person2_gender=female & person3_gender=female,Interaction,0.3668251681987596,0.3538265611484869,0.37992495791271125,0.013049198382112187,Synergy (+),POS,person2_gender=female,person3_gender=female,0.013195725970296392
person1_gender=male,Main Effect,0.36503781018787806,0.35903465618402497,0.37103703748889627,0.006001190652435651,Positive (Promotes 1),POS,person1_gender=male,-,0.013131429709932852
person3_gender=male,Main Effect,0.3599508851070192,0.3532762440456806,0.3661775358568609,0.006450645905590163,Positive (Promotes 1),POS,person3_gender=male,-,0.012948438805224618
person2_gender=female,Main Effect,0.33058996151611164,0.316606574546036,0.34373196478047796,0.013562695117220969,Positive (Promotes 1),POS,person2_gender=female,-,0.011892244368395522
quantity_level=1vs10 & person3_color=black,Interaction,0.31252322116796477,0.3044078312430341,0.32139086653403137,0.00849151764549863,Interference (-),NEG,quantity_level=1vs10,person3_color=black,0.011242333251387685
person3_color=black & person3_gender=female,Interaction,0.29810174521463334,0.2853746706479297,0.31248575481588037,0.01355554208397533,Synergy (+),POS,person3_color=black,person3_gender=female,0.010723552477151748
person2_color=black,Main Effect,0.28925005230080586,0.2730396754293136,0.30570898861539236,0.01633465659303937,Negative (Promotes 0),NEG,person2_color=black,-,0.010405132357186608
person2_profession=high & person3_profession=high,Interaction,0.26330181994083857,0.25390389312849826,0.2729315854519886,0.009513846161745165,Synergy (+),POS,person2_profession=high,person3_profession=high,0.009471701956767144
person1_color=black & person2_color=black,Interaction,0.23661500430167223,0.22048366959219667,0.2527346359114638,0.016125483159633552,Interference (-),NEG,person1_color=black,person2_color=black,0.008511702652675092
person2_color=white & person3_color=black,Interaction,0.2306952459798007,0.22535952522794295,0.23606044045767055,0.005350457614863802,Synergy (+),POS,person2_color=white,person3_color=black,0.008298752409894933
person1_gender=female & person2_gender=female,Interaction,0.18224119210219827,0.17327394750793518,0.19182175464911697,0.009273903570590894,Interference (-),NEG,person1_gender=female,person2_gender=female,0.006555724742904604
person2_gender=female & person3_profession=high,Interaction,0.17794803860425518,0.16931553601070357,0.18621949365163903,0.008451978820467734,Synergy (+),POS,person2_gender=female,person3_profession=high,0.00640128801931376
person1_profession=high & person3_profession=high,Interaction,0.17674024263521448,0.16858603752059334,0.18450516157558608,0.00795956202749637,Synergy (+),POS,person1_profession=high,person3_profession=high,0.006357840224513449
person2_color=black & person3_gender=female,Interaction,0.17652937921442055,0.1658099821131289,0.18691551263568282,0.010552765261276964,Interference (-),NEG,person2_color=black,person3_gender=female,0.00635025487825267
person3_profession=high,Main Effect,0.1706275365993579,0.16167373762256632,0.17968183418574923,0.009004048281591459,Positive (Promotes 1),POS,person3_profession=high,-,0.006137949113491223
quantity_level=1vs1 & person3_color=black,Interaction,0.1668016488935106,0.14977467956398482,0.1823699257068204,0.016297623071417786,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.006000321245677823
person2_profession=high,Main Effect,0.16506445605496198,0.1571786159588746,0.17374930412710402,0.008285344084114701,Positive (Promotes 1),POS,person2_profession=high,-,0.00593782956669186
