Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person3_color=black,Main Effect,0.06161375513425191,0.0607409352596018,0.06245099189462685,0.000855028317512524,Negative (Promotes 0),NEG,person3_color=black,-,0.0769907485852881
person3_color=white,Main Effect,0.059570943028938526,0.058729670471815446,0.06040623966000711,0.0008382845940958332,Positive (Promotes 1),POS,person3_color=white,-,0.07443811025210309
person1_color=black,Main Effect,0.04633262277601495,0.045704027943056606,0.046961965271326185,0.0006289686641347894,Negative (Promotes 0),NEG,person1_color=black,-,0.05789589197529879
person1_color=white,Main Effect,0.044944374068965995,0.044285383263029915,0.04559699082083408,0.0006558037789020817,Positive (Promotes 1),POS,person1_color=white,-,0.056161176943803494
person2_color=white,Main Effect,0.04382615649156389,0.042945979524355506,0.04478340441246557,0.0009187124440550309,Positive (Promotes 1),POS,person2_color=white,-,0.0547638849238994
person2_color=black,Main Effect,0.03692022764691506,0.0361391474479486,0.03772686804401994,0.0007938602980356695,Negative (Promotes 0),NEG,person2_color=black,-,0.046134437972196365
person2_color=white & person3_color=black,Interaction,0.027057484704425813,0.02656707608116244,0.027568970825525254,0.0005009473721814071,Synergy (+),POS,person2_color=white,person3_color=black,0.03381024249681969
person2_color=black & person3_color=white,Interaction,0.025593433573008452,0.025128201790836024,0.02607760854291972,0.00047470337604184863,Synergy (+),POS,person2_color=black,person3_color=white,0.03198080697013647
person2_color=white & person3_color=white,Interaction,0.022287052301277026,0.021863851440107315,0.02271798932471201,0.0004270689423023482,Synergy (+),POS,person2_color=white,person3_color=white,0.02784924951735162
person2_color=black & person3_color=black,Interaction,0.02210091797256438,0.021693500264526124,0.022500692136376066,0.00040359593592497085,Synergy (+),POS,person2_color=black,person3_color=black,0.027616661497456042
quantity_level=1vs2,Main Effect,0.021912989737991172,0.02097459866680779,0.02289344326442167,0.0009594222988069407,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.027381831865199796
quantity_level=1vs1,Main Effect,0.02012956733638146,0.018574645377022917,0.0216930495780588,0.001559202100517942,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.02515331932859945
person1_gender=male,Main Effect,0.01912691329027585,0.01889970763717529,0.019355258478558617,0.0002277754206916633,Positive (Promotes 1),POS,person1_gender=male,-,0.023900432121618864
person1_gender=female,Main Effect,0.01615001190741696,0.015952498193703313,0.016348395739354066,0.00019794877282537648,Negative (Promotes 0),NEG,person1_gender=female,-,0.02018058311336594
