Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person2_color=black & person3_color=black,Interaction,2.5509748,2.457081788778305,2.650219053030014,0.09656863212585454,Synergy (+),POS,person2_color=black,person3_color=black,0.1024755
person3_color=black,Main Effect,2.1176343,2.0038014531135557,2.232955741882324,0.11457714438438416,Negative (Promotes 0),NEG,person3_color=black,-,0.08506773
person2_color=black,Main Effect,0.9029759,0.8481539115309715,0.9609426021575928,0.05639434531331061,Negative (Promotes 0),NEG,person2_color=black,-,0.03627355
person1_color=black,Main Effect,0.7397804,0.7181989058852196,0.7625728294253349,0.022186961770057634,Negative (Promotes 0),NEG,person1_color=black,-,0.029717805
person1_gender=female,Main Effect,0.64567703,0.6224165245890617,0.6684315517544747,0.023007513582706474,Negative (Promotes 0),NEG,person1_gender=female,-,0.025937567
quantity_level=1vs1,Main Effect,0.6279765,0.5512680262327194,0.7045582443475723,0.07664510905742644,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.025226515
person1_color=black & person3_color=black,Interaction,0.60849917,0.5796706318855286,0.6382163897156715,0.029272878915071465,Synergy (+),POS,person1_color=black,person3_color=black,0.02444409
person3_gender=female,Main Effect,0.48924786,0.4655396811664104,0.5116547778248787,0.023057548329234123,Negative (Promotes 0),NEG,person3_gender=female,-,0.019653631
person2_gender=female & person3_gender=female,Interaction,0.4549643,0.4350773684680462,0.47519080638885497,0.020056718960404396,Interference (-),NEG,person2_gender=female,person3_gender=female,0.018276423
person2_gender=female,Main Effect,0.43076417,0.4100200913846493,0.4501247614622116,0.02005233503878115,Positive (Promotes 1),POS,person2_gender=female,-,0.017304277
person1_profession=high,Main Effect,0.4196648,0.39858792945742605,0.44014099761843684,0.020776534080505393,Positive (Promotes 1),POS,person1_profession=high,-,0.016858403
person3_color=black & person3_gender=female,Interaction,0.36310053,0.34309652224183085,0.38536641746759415,0.02113494761288165,Interference (-),NEG,person3_color=black,person3_gender=female,0.0145861525
person2_color=black & person3_gender=female,Interaction,0.35123137,0.32338612750172613,0.37832927629351615,0.02747157439589501,Interference (-),NEG,person2_color=black,person3_gender=female,0.014109355
quantity_level=1vs10 & person3_color=black,Interaction,0.3404861,0.3235561832785606,0.358612335473299,0.0175280760973692,Interference (-),NEG,quantity_level=1vs10,person3_color=black,0.013677707
person2_profession=high & person3_profession=high,Interaction,0.33934015,0.32344186678528786,0.35515281185507774,0.015855472534894943,Synergy (+),POS,person2_profession=high,person3_profession=high,0.013631672
person1_color=black & person2_color=black,Interaction,0.32709727,0.3088370054960251,0.34426831230521204,0.017715653404593468,Interference (-),NEG,person1_color=black,person2_color=black,0.013139862
person3_profession=high,Main Effect,0.32083932,0.30418154373764994,0.3374842591583729,0.01665135771036147,Negative (Promotes 0),NEG,person3_profession=high,-,0.0128884725
person1_color=black & person3_gender=female,Interaction,0.30257478,0.28853959441184995,0.31708520352840425,0.014272804558277147,Interference (-),NEG,person1_color=black,person3_gender=female,0.012154766
person1_color=black & person1_gender=female,Interaction,0.29894206,0.2817253924906254,0.3154842644929886,0.016879436001181608,Interference (-),NEG,person1_color=black,person1_gender=female,0.012008836
quantity_level=1vs2,Main Effect,0.2947714,0.27957446649670603,0.3106564737856388,0.015541003644466395,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.011841296
person2_gender=female & person3_profession=high,Interaction,0.29270092,0.2774636477231979,0.30767671912908556,0.015106535702943819,Interference (-),NEG,person2_gender=female,person3_profession=high,0.011758122
person1_profession=high & person3_profession=high,Interaction,0.28237644,0.26857018992304804,0.2955727569758892,0.013501283526420577,Interference (-),NEG,person1_profession=high,person3_profession=high,0.011343377
person1_gender=female & person3_color=black,Interaction,0.2754906,0.25851030871272085,0.29277526363730433,0.01713247746229174,Interference (-),NEG,person1_gender=female,person3_color=black,0.011066765
person1_gender=female & person2_color=black,Interaction,0.2752272,0.2559607796370983,0.2950073920190334,0.019523306190967565,Interference (-),NEG,person1_gender=female,person2_color=black,0.011056183
person1_gender=female & person2_gender=female,Interaction,0.27457,0.26055946573615074,0.2893580533564091,0.014399293810129166,Interference (-),NEG,person1_gender=female,person2_gender=female,0.011029783
person2_profession=high & person3_gender=female,Interaction,0.27235773,0.2572405681014061,0.28885710537433623,0.01580826863646506,Synergy (+),POS,person2_profession=high,person3_gender=female,0.010940914
person2_color=black & person2_profession=high,Interaction,0.2704221,0.2554105818271637,0.287005615234375,0.015797516703605657,Interference (-),NEG,person2_color=black,person2_profession=high,0.010863157
person2_profession=high & person3_color=black,Interaction,0.26968503,0.2526569314301014,0.28667338043451307,0.01700822450220585,Interference (-),NEG,person2_profession=high,person3_color=black,0.010833548
person2_profession=high,Main Effect,0.26963374,0.25562997460365294,0.28517975732684137,0.014774891361594211,Negative (Promotes 0),NEG,person2_profession=high,-,0.010831488
