Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,0.9174324344332763,0.8932501468224032,0.9407322248889777,0.023741039033287226,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.0726717375484624
quantity_level=1vs10,Main Effect,0.6747297870211426,0.6611645769717651,0.6884746703649859,0.013655046696610385,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.05344675439649128
person3_color=black,Main Effect,0.5340415097184439,0.5307522045486743,0.5372800798883574,0.00326393766984151,Negative (Promotes 0),NEG,person3_color=black,-,0.042302542375469036
person2_color=white,Main Effect,0.3964326903402159,0.39307234045961964,0.3999265045437365,0.003427082042058438,Negative (Promotes 0),NEG,person2_color=white,-,0.03140226064258502
person3_color=white,Main Effect,0.3523273531434127,0.34928536714217767,0.35554228114956365,0.0031284570036929915,Positive (Promotes 1),POS,person3_color=white,-,0.02790858484810271
quantity_level=1vs5,Main Effect,0.3346617303088441,0.3273246640807633,0.342088379193391,0.0073818575563138755,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.026509254000314526
person3_gender=male,Main Effect,0.3158449354738297,0.3130579813983829,0.318677244902508,0.0028096317520625302,Positive (Promotes 1),POS,person3_gender=male,-,0.025018736416206937
person2_gender=female,Main Effect,0.28874852433397125,0.2858405197894957,0.2916802006088193,0.0029198404096617836,Positive (Promotes 1),POS,person2_gender=female,-,0.02287237314742037
person2_color=black,Main Effect,0.26452782781789985,0.26190801235826844,0.26711420668102964,0.002603097161380602,Positive (Promotes 1),POS,person2_color=black,-,0.02095380123477135
person3_gender=female,Main Effect,0.23024361119776743,0.2277993043594146,0.23279185249219955,0.0024962740663924815,Negative (Promotes 0),NEG,person3_gender=female,-,0.018238076895014426
person2_color=white & person3_color=black,Interaction,0.191522458839769,0.18893281854836405,0.19403529520399923,0.00255123832781759,Interference (-),NEG,person2_color=white,person3_color=black,0.015170893616855384
person2_gender=male,Main Effect,0.15408322778002945,0.15165261522563953,0.15646658021947507,0.0024069824969177728,Negative (Promotes 0),NEG,person2_gender=male,-,0.012205253999731608
person2_color=black & person3_color=white,Interaction,0.12011254532577406,0.11820534617592562,0.1219263857896835,0.0018605198068789366,Interference (-),NEG,person2_color=black,person3_color=white,0.00951436535550922
person1_profession=low,Main Effect,0.11673704352455412,0.11404383488286637,0.11935927958088406,0.002657722349008844,Negative (Promotes 0),NEG,person1_profession=low,-,0.009246984814135457
person2_color=white & person3_color=white,Interaction,0.10827441040040152,0.10650685640964341,0.10996566934230753,0.001729406466332059,Interference (-),NEG,person2_color=white,person3_color=white,0.008576641985295706
quantity_level=1vs10 & quantity_level=1vs5,Interaction,0.10820371956211594,0.10515230091899089,0.11100949964299578,0.002928599362002446,Synergy (+),POS,quantity_level=1vs10,quantity_level=1vs5,0.008571042416483704
person1_color=white & person3_color=black,Interaction,0.10573020174053221,0.10429758174728376,0.10721525851795546,0.0014588383853358505,Interference (-),NEG,person1_color=white,person3_color=black,0.00837510990831746
person1_profession=low & person3_profession=high,Interaction,0.09882311249794973,0.09709169061933444,0.10069071840111285,0.0017995138908892053,Interference (-),NEG,person1_profession=low,person3_profession=high,0.007827984956308506
person2_color=black & person3_color=black,Interaction,0.09696264239103783,0.09543394002222513,0.09842856051266652,0.0014973102452206927,Interference (-),NEG,person2_color=black,person3_color=black,0.00768061323687526
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.09462600407414479,0.09210847043692597,0.09713861580367965,0.0025150726833768414,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.007495523239903628
person1_gender=female & person3_gender=male,Interaction,0.07967636660886086,0.07802961259433261,0.08130509410262832,0.001637740754147854,Synergy (+),POS,person1_gender=female,person3_gender=male,0.006311331260694953
person1_profession=low & person3_profession=low,Interaction,0.07962191398750128,0.07800589238403031,0.08123956403270696,0.0016168358243383238,Interference (-),NEG,person1_profession=low,person3_profession=low,0.006307017954930138
quantity_level=1vs2,Main Effect,0.07749728366461266,0.07426619477092246,0.08086041601217063,0.0032971106206240858,Negative (Promotes 0),NEG,quantity_level=1vs2,-,0.0061387215535631595
person1_color=black & person3_color=white,Interaction,0.07625041634613529,0.07475748307333863,0.07773394511598242,0.0014882310213218952,Synergy (+),POS,person1_color=black,person3_color=white,0.006039954591413935
person1_profession=high,Main Effect,0.07572408951117024,0.07348878580581157,0.07783608284993725,0.0021736485220628377,Positive (Promotes 1),POS,person1_profession=high,-,0.005998263144523985
person1_color=black & person3_color=black,Interaction,0.0705779941860027,0.06931612191002218,0.07188213824470696,0.001283008167342392,Interference (-),NEG,person1_color=black,person3_color=black,0.005590630195400096
person3_color=black & person3_gender=male,Interaction,0.07055402233313594,0.06918987178733628,0.07190308636409372,0.0013566072883787195,Synergy (+),POS,person3_color=black,person3_gender=male,0.005588731334912175
person1_profession=high & person3_profession=low,Interaction,0.07011437942208112,0.0685065743099998,0.07176915515928062,0.0016312904246404067,Interference (-),NEG,person1_profession=high,person3_profession=low,0.005553906302519512
person3_color=white & person3_gender=male,Interaction,0.06849142274982185,0.06694844395385188,0.06994743784654764,0.001499496946347878,Synergy (+),POS,person3_color=white,person3_gender=male,0.005425348517867165
quantity_level=1vs1 & quantity_level=1vs10,Interaction,0.0667300602576799,0.06255706750001921,0.07100929221566314,0.004226112357821964,Synergy (+),POS,quantity_level=1vs1,quantity_level=1vs10,0.0052858273194088656
person3_profession=low,Main Effect,0.06473980705838697,0.06262409929637142,0.0668457186608707,0.002110809682249644,Negative (Promotes 0),NEG,person3_profession=low,-,0.00512817521040822
person2_color=white & person2_profession=high,Interaction,0.063807019463306,0.062415013901601826,0.06525452974869887,0.001419757923548523,Interference (-),NEG,person2_color=white,person2_profession=high,0.00505428715854306
