Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs10,Main Effect,1.2415527164230982,1.2112525840404067,1.2723577214861794,0.030552568722886364,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.06260990842303693
person3_color=black,Main Effect,1.1328678072850387,1.124168089176706,1.1417845489578784,0.008808229890586161,Negative (Promotes 0),NEG,person3_color=black,-,0.05712906808650702
quantity_level=1vs1,Main Effect,0.926819942650939,0.9039088762589692,0.9490486765955017,0.022569900168266266,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.04673833898990458
person2_color=black,Main Effect,0.802343380182841,0.7944136296397901,0.8108058922344126,0.008196131297311227,Positive (Promotes 1),POS,person2_color=black,-,0.04046114586402994
quantity_level=1vs5,Main Effect,0.6513980752673267,0.636285433949701,0.6676388400902904,0.015676703070294673,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.032849168061850884
person3_gender=female,Main Effect,0.6400056258842582,0.6325211866909675,0.6474949520595954,0.007486882684313967,Negative (Promotes 0),NEG,person3_gender=female,-,0.03227466147574075
person2_color=black & person3_color=black,Interaction,0.5080242682074707,0.5001649886813891,0.515032930393514,0.007433970856062455,Interference (-),NEG,person2_color=black,person3_color=black,0.025619011169164672
person2_gender=female,Main Effect,0.469537895094537,0.4617297132006385,0.47753622031373705,0.007903253556549278,Positive (Promotes 1),POS,person2_gender=female,-,0.02367819281786846
person1_profession=high & person3_profession=high,Interaction,0.33530593413622306,0.327931452055777,0.34243180257360545,0.007250175258914221,Interference (-),NEG,person1_profession=high,person3_profession=high,0.01690904747923373
person1_color=black & person3_color=black,Interaction,0.28178437699782166,0.2764062471944281,0.28696188876734674,0.005277820786459331,Interference (-),NEG,person1_color=black,person3_color=black,0.014210024113759736
person3_color=black & person3_gender=female,Interaction,0.24116212580654384,0.23570796711530798,0.24658984408692391,0.00544093848580797,Synergy (+),POS,person3_color=black,person3_gender=female,0.012161496175009869
person1_profession=high & person3_color=black,Interaction,0.2371359481967031,0.2304361472842086,0.24351165599644387,0.006537754356117628,Synergy (+),POS,person1_profession=high,person3_color=black,0.011958461210716732
person1_profession=high,Main Effect,0.22944312255340776,0.22315550482593194,0.2353045068580922,0.006074501016080133,Positive (Promotes 1),POS,person1_profession=high,-,0.011570521896767397
