Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,0.06712101551037396,0.06564694233191803,0.06855287973897889,0.0014529687035304273,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.11557465327883426
person3_color=black,Main Effect,0.03329066116146227,0.03319937963840601,0.03338522812534531,9.292424346965186e-05,Negative (Promotes 0),NEG,person3_color=black,-,0.057322681903769664
person3_color=white,Main Effect,0.03307988740380991,0.03298753772300795,0.03317318140894459,9.282184296832002e-05,Positive (Promotes 1),POS,person3_color=white,-,0.0569597537839294
quantity_level=1vs10,Main Effect,0.02977088608692885,0.02915398946725245,0.030383656404471,0.000614833468609275,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.051262034865498754
person2_color=white,Main Effect,0.028796461437485363,0.02871303572662103,0.028876566902412564,8.17655878957678e-05,Negative (Promotes 0),NEG,person2_color=white,-,0.04958418791772165
person2_color=black,Main Effect,0.026222779851951396,0.026146679880500432,0.02630043579750536,7.68779585024644e-05,Positive (Promotes 1),POS,person2_color=black,-,0.04515260483399677
person2_gender=male,Main Effect,0.016524692208713367,0.016452314669605065,0.016601318367080523,7.450184873772879e-05,Negative (Promotes 0),NEG,person2_gender=male,-,0.028453615578362706
person3_gender=female,Main Effect,0.016437272618657073,0.0163637010176596,0.016519878393148064,7.808868774423182e-05,Negative (Promotes 0),NEG,person3_gender=female,-,0.028303089119045766
person2_gender=female,Main Effect,0.015609054328752732,0.015541240847491675,0.015680771887237852,6.976551987308843e-05,Positive (Promotes 1),POS,person2_gender=female,-,0.026876992672693743
quantity_level=1vs5,Main Effect,0.014918072064910911,0.014653804232275185,0.015186375258599496,0.0002662855131621558,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.025687200847315305
person3_gender=male,Main Effect,0.014913503269618027,0.014853004523618247,0.014978298933314158,6.264720484795532e-05,Positive (Promotes 1),POS,person3_gender=male,-,0.02567933390835644
quantity_level=1vs1 & person3_color=black,Interaction,0.010557955011661277,0.010305731516896854,0.010826727668990607,0.00026049807604687676,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.018179581767765244
person2_color=white & person3_color=white,Interaction,0.00991763196730427,0.009845063932224434,0.009984114979967628,6.952552387159711e-05,Interference (-),NEG,person2_color=white,person3_color=white,0.01707701928006613
person2_color=white & person3_color=black,Interaction,0.009660372209974892,0.009583919267828901,0.009730607882244547,7.334430720782291e-05,Interference (-),NEG,person2_color=white,person3_color=black,0.016634047626108595
person2_color=black & person3_color=black,Interaction,0.00908553976110383,0.009016381065130233,0.009150099627826485,6.685928134812606e-05,Interference (-),NEG,person2_color=black,person3_color=black,0.01564425239630567
person2_color=black & person3_color=white,Interaction,0.008875116189529391,0.008803380769949503,0.008943562733502797,7.009098177664704e-05,Interference (-),NEG,person2_color=black,person3_color=white,0.015281927256534043
quantity_level=1vs1 & person3_color=white,Interaction,0.008034336844083426,0.00783729762561429,0.008247840552891727,0.0002052714636387185,Synergy (+),POS,quantity_level=1vs1,person3_color=white,0.013834202120151028
quantity_level=1vs1 & person3_gender=female,Interaction,0.00799181900149185,0.007778962453086498,0.008202439983959543,0.00021173876543652227,Interference (-),NEG,quantity_level=1vs1,person3_gender=female,0.013760991295220558
quantity_level=1vs1 & person3_gender=male,Interaction,0.007411942984929993,0.007222331606778697,0.007597827203139199,0.0001877477981802509,Interference (-),NEG,quantity_level=1vs1,person3_gender=male,0.012762511623105197
quantity_level=1vs1 & person2_color=black,Interaction,0.006417795203478254,0.006240875948608827,0.006590239349017259,0.0001746817002042161,Interference (-),NEG,quantity_level=1vs1,person2_color=black,0.011050703715022387
quantity_level=1vs1 & person2_color=white,Interaction,0.006284187199665208,0.006113152161243614,0.006449598746076081,0.00016822329241623349,Interference (-),NEG,quantity_level=1vs1,person2_color=white,0.010820646130247268
quantity_level=1vs10 & quantity_level=1vs5,Interaction,0.006023052779202352,0.005898620828328906,0.006139987180274236,0.00012068317597266516,Synergy (+),POS,quantity_level=1vs10,quantity_level=1vs5,0.010371002752913394
quantity_level=1vs10 & person3_color=white,Interaction,0.005772640878645298,0.005611230378740139,0.005928737555731381,0.00015875358849562092,Synergy (+),POS,quantity_level=1vs10,person3_color=white,0.009939822319129545
quantity_level=1vs1 & person2_gender=female,Interaction,0.005415876211237369,0.005258717788168897,0.005569043442348884,0.00015516282708999364,Interference (-),NEG,quantity_level=1vs1,person2_gender=female,0.009325514677561798
quantity_level=1vs1 & person2_gender=male,Interaction,0.005348769290816213,0.005186256732999759,0.005508879973524162,0.00016131162026220133,Interference (-),NEG,quantity_level=1vs1,person2_gender=male,0.009209964294402195
quantity_level=1vs10 & person3_color=black,Interaction,0.005109778941675084,0.004972312216801837,0.0052447306602490685,0.00013620922172361558,Synergy (+),POS,quantity_level=1vs10,person3_color=black,0.008798450455868204
quantity_level=1vs10 & person2_color=white,Interaction,0.004596219359129611,0.00446563327381502,0.004724161902819094,0.00012926431450203685,Synergy (+),POS,quantity_level=1vs10,person2_color=white,0.007914160040423843
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.004463070502241582,0.004369969190419359,0.004560569208917067,9.530000924885427e-05,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.007684893053738747
