Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,0.9206659,0.906667149066925,0.9354784741997719,0.01440566256642345,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.04891639
person3_color=black,Main Effect,0.878327,0.858986234664917,0.8988223046064376,0.019918034970760334,Negative (Promotes 0),NEG,person3_color=black,-,0.046666857
person2_color=black,Main Effect,0.75939685,0.7410961911082268,0.7788989946246148,0.018901401758193992,Positive (Promotes 1),POS,person2_color=black,-,0.040347915
person2_color=black & person3_color=black,Interaction,0.6384452,0.6210080951452255,0.6570249766111373,0.018008440732955933,Interference (-),NEG,person2_color=black,person3_color=black,0.03392157
person3_gender=female,Main Effect,0.5025828,0.4875354290008545,0.517388454079628,0.014926512539386733,Negative (Promotes 0),NEG,person3_gender=female,-,0.02670299
person2_gender=female,Main Effect,0.49416143,0.4800245985388756,0.5084669470787049,0.01422117426991465,Positive (Promotes 1),POS,person2_gender=female,-,0.026255552
quantity_level=1vs10,Main Effect,0.40850958,0.3865884646773338,0.43185538053512573,0.022633457928895956,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.021704739
person1_color=black & person3_color=black,Interaction,0.36906224,0.35732916817069055,0.3803617522120476,0.011516292020678526,Synergy (+),POS,person1_color=black,person3_color=black,0.01960884
person3_color=black & person3_gender=female,Interaction,0.36142102,0.34800957441329955,0.37526645213365556,0.013628438860178005,Synergy (+),POS,person3_color=black,person3_gender=female,0.01920285
person1_profession=high & person3_profession=high,Interaction,0.36131638,0.35152671560645105,0.37109462171792984,0.009783953055739397,Interference (-),NEG,person1_profession=high,person3_profession=high,0.01919729
person1_color=black,Main Effect,0.31710118,0.306768961250782,0.32820449098944665,0.010717764869332319,Negative (Promotes 0),NEG,person1_color=black,-,0.01684807
person1_color=black & person1_gender=female,Interaction,0.31077078,0.29996903985738754,0.3225382320582867,0.011284596100449573,Synergy (+),POS,person1_color=black,person1_gender=female,0.016511727
person3_profession=high,Main Effect,0.30388424,0.2941651977598667,0.31413325369358064,0.009984027966856962,Positive (Promotes 1),POS,person3_profession=high,-,0.016145835
person1_gender=female,Main Effect,0.29950035,0.2894831448793411,0.31018341779708863,0.010350136458873754,Negative (Promotes 0),NEG,person1_gender=female,-,0.01591291
person2_color=black & person2_profession=high,Interaction,0.29511237,0.28434094935655596,0.30624089315533637,0.010949971899390204,Synergy (+),POS,person2_color=black,person2_profession=high,0.015679771
person1_gender=female & person3_gender=female,Interaction,0.2790154,0.2698198273777962,0.28850823640823364,0.009344204515218724,Synergy (+),POS,person1_gender=female,person3_gender=female,0.014824514
person2_profession=high,Main Effect,0.27483362,0.2660434000194073,0.284053860604763,0.009005230292677857,Negative (Promotes 0),NEG,person2_profession=high,-,0.0146023305
person1_profession=high,Main Effect,0.25870073,0.24959381408989428,0.2678194232285023,0.009112804569303995,Positive (Promotes 1),POS,person1_profession=high,-,0.013745165
person1_profession=high & person3_color=black,Interaction,0.2535312,0.24328540414571762,0.2640094220638275,0.010362008959054939,Synergy (+),POS,person1_profession=high,person3_color=black,0.0134705
quantity_level=1vs2,Main Effect,0.24166873,0.23685678988695144,0.24657068811357022,0.004856949113309389,Negative (Promotes 0),NEG,quantity_level=1vs2,-,0.012840229
person1_gender=female & person2_gender=female,Interaction,0.23514546,0.2275841198861599,0.24297397322952746,0.007694926671683783,Synergy (+),POS,person1_gender=female,person2_gender=female,0.012493638
person3_color=black & person3_profession=high,Interaction,0.22380705,0.2148642808198929,0.23277909755706788,0.008957408368587494,Synergy (+),POS,person3_color=black,person3_profession=high,0.01189121
quantity_level=1vs1 & person3_color=black,Interaction,0.22371724,0.2145041711628437,0.23257072009146212,0.00903327446430921,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.011886439
person2_gender=female & person3_gender=female,Interaction,0.22311419,0.21600515805184842,0.23083870038390158,0.007416771166026584,Synergy (+),POS,person2_gender=female,person3_gender=female,0.011854398
person1_color=black & person2_color=black,Interaction,0.21875761,0.21030841358006,0.22783988751471043,0.008765736967325216,Synergy (+),POS,person1_color=black,person2_color=black,0.011622926
person1_profession=high & person2_gender=female,Interaction,0.2164711,0.20948596447706222,0.22361853085458278,0.007066283188760278,Synergy (+),POS,person1_profession=high,person2_gender=female,0.011501441
person2_color=black & person2_gender=female,Interaction,0.21419379,0.20562024116516114,0.22355495020747185,0.008967354521155352,Synergy (+),POS,person2_color=black,person2_gender=female,0.011380443
person1_gender=female & person2_color=black,Interaction,0.21142031,0.20271655395627022,0.22134928554296493,0.009316365793347353,Synergy (+),POS,person1_gender=female,person2_color=black,0.011233084
person1_gender=female & person3_profession=high,Interaction,0.20648271,0.19919310733675957,0.21358008906245232,0.0071934908628463745,Synergy (+),POS,person1_gender=female,person3_profession=high,0.0109707415
person1_color=black & person3_profession=high,Interaction,0.20614196,0.19914177916944026,0.2125603724271059,0.006709296628832823,Interference (-),NEG,person1_color=black,person3_profession=high,0.0109526375
person2_profession=high & person2_gender=female,Interaction,0.20248874,0.19537938460707666,0.20992189571261405,0.007271255552768696,Synergy (+),POS,person2_profession=high,person2_gender=female,0.010758536
person1_color=black & person3_gender=female,Interaction,0.19974323,0.19278708547353746,0.2069186046719551,0.007065759599208826,Synergy (+),POS,person1_color=black,person3_gender=female,0.010612663
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.19820501,0.19536799043416977,0.2009858340024948,0.0028089217841625186,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.010530935
person2_color=black & person3_profession=high,Interaction,0.1979289,0.19095810353755951,0.20552790835499762,0.0072849024087190545,Synergy (+),POS,person2_color=black,person3_profession=high,0.010516265
person3_profession=high & person3_gender=female,Interaction,0.19667503,0.18984488621354104,0.20348691157996654,0.0068210126832127516,Synergy (+),POS,person3_profession=high,person3_gender=female,0.010449645
person2_gender=female & person3_color=black,Interaction,0.19660757,0.18828039951622486,0.20458435900509359,0.008151979744434365,Synergy (+),POS,person2_gender=female,person3_color=black,0.01044606
quantity_level=1vs5,Main Effect,0.19398324,0.18317811712622642,0.20530268102884291,0.011062281951308248,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.010306626
