Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person1_profession=low,Main Effect,0.18118052466813678,0.1797255909756333,0.18276899779953357,0.00152170341195014,Positive (Promotes 1),POS,person1_profession=low,-,0.035465768023623515
person2_color=black,Main Effect,0.16626315014947424,0.1645958738353596,0.1678733469339524,0.0016387365492964018,Negative (Promotes 0),NEG,person2_color=black,-,0.03254571828224289
person2_profession=high,Main Effect,0.14251007128917398,0.14114583295570726,0.1438231069548505,0.001338636999571624,Negative (Promotes 0),NEG,person2_profession=high,-,0.027896095005959284
person1_color=black,Main Effect,0.13591895045537442,0.13455229365859123,0.13740760902032895,0.0014276576808688601,Negative (Promotes 0),NEG,person1_color=black,-,0.026605894732307483
person1_profession=high,Main Effect,0.13393732320533178,0.13250346922318648,0.13546747339398965,0.0014820020854015847,Negative (Promotes 0),NEG,person1_profession=high,-,0.02621799469455214
person2_profession=low,Main Effect,0.13145670621662486,0.12990611007900835,0.13297117790969679,0.0015325339153442197,Positive (Promotes 1),POS,person2_profession=low,-,0.02573241829588521
person2_color=white,Main Effect,0.12611388795012324,0.1248705385202395,0.1274047874369798,0.0012671244583701557,Positive (Promotes 1),POS,person2_color=white,-,0.024686571047240778
person1_color=white,Main Effect,0.11842182690381103,0.11699603770105788,0.11989896597304646,0.0014514641359942917,Positive (Promotes 1),POS,person1_color=white,-,0.023180863669520418
quantity_level=1vs5,Main Effect,0.11428882464285073,0.11156423582805504,0.11686134329523679,0.0026485537335908735,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.02237183576932631
person1_gender=male,Main Effect,0.0939015441569527,0.09234055633525025,0.09563349797863731,0.0016464708216935298,Positive (Promotes 1),POS,person1_gender=male,-,0.018381061586119827
person1_gender=female,Main Effect,0.0824198900967324,0.0812912682811079,0.08361024791697846,0.0011594898179352817,Negative (Promotes 0),NEG,person1_gender=female,-,0.016133548062394604
person3_profession=low,Main Effect,0.07967234253406706,0.07827049874926696,0.08102529373227331,0.001377397491503174,Positive (Promotes 1),POS,person3_profession=low,-,0.015595720474855346
person2_gender=female,Main Effect,0.07551101849705202,0.07399346226736546,0.07708211920935194,0.001544328470993242,Negative (Promotes 0),NEG,person2_gender=female,-,0.014781148636970286
