Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person1_profession=high,Main Effect,0.3282936239535753,0.32396165257721393,0.3330197340634272,0.004529040743106644,Negative (Promotes 0),NEG,person1_profession=high,-,0.053706705962218625
person2_color=black,Main Effect,0.30927042081936024,0.3048557712704325,0.31358948942760534,0.004366859078586416,Negative (Promotes 0),NEG,person2_color=black,-,0.05059463340690965
person2_profession=high,Main Effect,0.28674845194719834,0.2822086183037366,0.2909305893788351,0.004360985537549239,Negative (Promotes 0),NEG,person2_profession=high,-,0.046910185486963185
person1_color=black,Main Effect,0.2658911210934782,0.26168307223746534,0.27032599595890744,0.004321461860721049,Negative (Promotes 0),NEG,person1_color=black,-,0.04349806154185767
person1_gender=female,Main Effect,0.18934634547509974,0.18534099617783414,0.19347410706149745,0.004066555441831654,Negative (Promotes 0),NEG,person1_gender=female,-,0.030975833094126402
person2_gender=female,Main Effect,0.15060457558529097,0.14666717639730345,0.1544175346514432,0.003875179127069875,Negative (Promotes 0),NEG,person2_gender=female,-,0.024637931008577127
person3_profession=high,Main Effect,0.14981741046467595,0.14614567839523754,0.15370944152850066,0.003781881566631562,Negative (Promotes 0),NEG,person3_profession=high,-,0.024509155904243806
person3_gender=female,Main Effect,0.13695316563531446,0.13315792051366632,0.14097098138968975,0.0039065304380117155,Negative (Promotes 0),NEG,person3_gender=female,-,0.022404648950510798
person3_color=black,Main Effect,0.12390681553130614,0.12045101589585712,0.12729595097006385,0.003422467537103367,Negative (Promotes 0),NEG,person3_color=black,-,0.0202703507558702
quantity_level=1vs5,Main Effect,0.09608139315846377,0.09268013518678267,0.09910908504091685,0.0032144749270670916,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.015718292267326076
person2_color=black & person3_gender=female,Interaction,0.09562065537597804,0.09249032747454636,0.0987508226343633,0.003130247579908471,Synergy (+),POS,person2_color=black,person3_gender=female,0.015642918556707974
person1_gender=female & person2_gender=female,Interaction,0.08866672451282255,0.08617178869113225,0.09099693217336903,0.002412571741118391,Synergy (+),POS,person1_gender=female,person2_gender=female,0.014505300604670309
quantity_level=1vs10 & person2_gender=female,Interaction,0.07740223153714398,0.07494597767649368,0.08016503798479661,0.002609530154151468,Synergy (+),POS,quantity_level=1vs10,person2_gender=female,0.012662502670392435
person3_color=black & person3_gender=female,Interaction,0.07628984512743217,0.07398442616597395,0.07868054630767563,0.002348060070850838,Interference (-),NEG,person3_color=black,person3_gender=female,0.01248052347413729
person1_color=black & person1_profession=high,Interaction,0.07574066114990255,0.07352382859220696,0.07802459686322383,0.002250384135508432,Interference (-),NEG,person1_color=black,person1_profession=high,0.0123906805401042
person1_profession=high & person2_color=black,Interaction,0.07268685079578348,0.06994258948562097,0.07537872186104365,0.0027180661877113377,Synergy (+),POS,person1_profession=high,person2_color=black,0.011891096988106113
person1_color=black & person2_profession=high,Interaction,0.0726150235241661,0.07053640215651784,0.07478412981934204,0.0021238638314121025,Synergy (+),POS,person1_color=black,person2_profession=high,0.011879346512692162
person2_color=black & person2_gender=female,Interaction,0.07112827203614146,0.06857758742317863,0.07374511487109447,0.002583763723957924,Synergy (+),POS,person2_color=black,person2_gender=female,0.011636123619586197
person2_gender=female & person3_gender=female,Interaction,0.06889428862022405,0.06668359898378302,0.07125825688928465,0.002287328952750814,Synergy (+),POS,person2_gender=female,person3_gender=female,0.011270658433274459
person1_color=black & person3_gender=female,Interaction,0.0688676996831674,0.0662767012377656,0.07144630967085625,0.0025848042165453194,Interference (-),NEG,person1_color=black,person3_gender=female,0.01126630865575776
person1_profession=high & person2_gender=female,Interaction,0.06861431169882262,0.06644902390174842,0.07089060362963609,0.002220789863943834,Synergy (+),POS,person1_profession=high,person2_gender=female,0.01122485602623155
person2_profession=high & person3_color=black,Interaction,0.06819381543462363,0.06616866406283081,0.07016959717779163,0.0020004665574804084,Interference (-),NEG,person2_profession=high,person3_color=black,0.011156065566802036
person1_profession=high & person2_profession=high,Interaction,0.06808234536515102,0.06576530554659611,0.07022004883921773,0.0022273716463108093,Interference (-),NEG,person1_profession=high,person2_profession=high,0.011137829786975863
person1_color=black & person3_color=black,Interaction,0.06805519315464902,0.06599209828845828,0.07011506102102119,0.0020614813662814535,Interference (-),NEG,person1_color=black,person3_color=black,0.011133387861579646
person1_gender=female & person3_gender=female,Interaction,0.06691715953985516,0.06457057071181899,0.06933785345443903,0.0023836413713100232,Interference (-),NEG,person1_gender=female,person3_gender=female,0.010947212949046173
person3_profession=high & person3_gender=female,Interaction,0.06675372982735661,0.06461787311785061,0.0690280546167192,0.0022050907494342922,Interference (-),NEG,person3_profession=high,person3_gender=female,0.01092047690888509
person1_profession=high & person1_gender=female,Interaction,0.06650367758946026,0.064430868336423,0.06861786358828527,0.002093497625931133,Interference (-),NEG,person1_profession=high,person1_gender=female,0.010879569985825892
person2_profession=high & person2_gender=female,Interaction,0.06642954666054163,0.06420935940985807,0.0684812368885596,0.002135938739350765,Synergy (+),POS,person2_profession=high,person2_gender=female,0.010867442647030236
quantity_level=1vs1,Main Effect,0.06635130659500268,0.0637344256461747,0.0691696669472757,0.0027176206505504993,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.010854643080155435
person1_profession=high & person3_gender=female,Interaction,0.06579839184763331,0.0635192520604753,0.06777115075853057,0.002125949349027635,Synergy (+),POS,person1_profession=high,person3_gender=female,0.010764189816392563
quantity_level=1vs2 & person2_gender=female,Interaction,0.06500756012386996,0.0625593812137908,0.06783668640371848,0.0026386525949638404,Synergy (+),POS,quantity_level=1vs2,person2_gender=female,0.010634814879583681
person2_profession=high & person3_profession=high,Interaction,0.06331709239012379,0.061117167574977316,0.0655890346482916,0.0022359335366571448,Interference (-),NEG,person2_profession=high,person3_profession=high,0.010358265330976661
person1_color=black & person2_gender=female,Interaction,0.06297369576466884,0.061019741328622555,0.0650010247875159,0.0019906417294466745,Interference (-),NEG,person1_color=black,person2_gender=female,0.010302087872000685
quantity_level=1vs1 & person2_color=black,Interaction,0.06275126821731355,0.06031305973056187,0.06497189067587336,0.0023294154726557458,Synergy (+),POS,quantity_level=1vs1,person2_color=black,0.01026570016900528
person1_color=black & person3_profession=high,Interaction,0.06247115168801687,0.06032800843420864,0.0645479756804368,0.0021099836231140805,Interference (-),NEG,person1_color=black,person3_profession=high,0.010219874923016885
person1_gender=female & person2_profession=high,Interaction,0.06228814033826016,0.06011289281677545,0.06436048715483347,0.002123797169029013,Interference (-),NEG,person1_gender=female,person2_profession=high,0.01018993545410255
quantity_level=1vs1 & person2_gender=female,Interaction,0.06210338775288203,0.059533302224120115,0.0644396394920634,0.002453168633971641,Interference (-),NEG,quantity_level=1vs1,person2_gender=female,0.010159711130342714
person1_color=black & person2_color=black,Interaction,0.06206760645662005,0.06005714555403098,0.06405429086359096,0.001998572654779991,Synergy (+),POS,person1_color=black,person2_color=black,0.01015385754252658
person1_color=black & person1_gender=female,Interaction,0.061794703667752346,0.05983089031603355,0.06386351335443124,0.002016311519198847,Interference (-),NEG,person1_color=black,person1_gender=female,0.010109212417648797
person1_profession=high & person3_profession=high,Interaction,0.061728483188385266,0.05951136325477189,0.06384800555211272,0.0021683211486704136,Synergy (+),POS,person1_profession=high,person3_profession=high,0.010098379177053945
person2_color=black & person2_profession=high,Interaction,0.0615762375336182,0.05950969299414355,0.06396544861140521,0.002227877808630832,Interference (-),NEG,person2_color=black,person2_profession=high,0.010073472776143287
person1_gender=female & person3_profession=high,Interaction,0.05900997458862292,0.0572514561128668,0.06084427566231954,0.0017964097747263721,Synergy (+),POS,person1_gender=female,person3_profession=high,0.009653648815663054
person2_gender=female & person3_profession=high,Interaction,0.058936753979168754,0.05708976549197493,0.06076714005524607,0.001838687281635571,Interference (-),NEG,person2_gender=female,person3_profession=high,0.009641670399223003
quantity_level=1vs1 & person2_profession=high,Interaction,0.05856656242802668,0.05620722931292344,0.060950164869706086,0.0023714677783913223,Interference (-),NEG,quantity_level=1vs1,person2_profession=high,0.009581109464327426
person1_gender=female & person2_color=black,Interaction,0.05821537715434948,0.05635934186677579,0.06010138466708341,0.0018710214001538099,Synergy (+),POS,person1_gender=female,person2_color=black,0.00952365783305752
person1_profession=high & person3_color=black,Interaction,0.057656503132806035,0.05583307349547952,0.05945255563052244,0.0018097410675214573,Synergy (+),POS,person1_profession=high,person3_color=black,0.009432229670720741
person1_gender=female & person3_color=black,Interaction,0.05660959275932708,0.05515995242212505,0.05819166506182247,0.0015158563198487095,Interference (-),NEG,person1_gender=female,person3_color=black,0.009260961928995786
person2_profession=high & person3_gender=female,Interaction,0.05635601180175558,0.0544046305474151,0.058288339186049365,0.0019418543193171316,Interference (-),NEG,person2_profession=high,person3_gender=female,0.009219477730302253
person2_gender=female & person3_color=black,Interaction,0.053125163058112226,0.05151828358515019,0.05471594679718472,0.001598831606017266,Synergy (+),POS,person2_gender=female,person3_color=black,0.008690931846914048
person2_color=black & person3_color=black,Interaction,0.05217776445175839,0.05058028107568214,0.053846173223399005,0.001632946073858433,Synergy (+),POS,person2_color=black,person3_color=black,0.008535943584371196
person3_color=black & person3_profession=high,Interaction,0.051756752351375696,0.05007019159123804,0.05344637017747731,0.0016880892931196365,Synergy (+),POS,person3_color=black,person3_profession=high,0.008467068737490263
quantity_level=1vs10,Main Effect,0.05165172624319262,0.04941609803265562,0.05390537755642223,0.002244639761883306,Negative (Promotes 0),NEG,quantity_level=1vs10,-,0.008449887147904038
quantity_level=1vs2,Main Effect,0.05129507183820874,0.04909173875711585,0.05353161556192958,0.0022199384024068625,Negative (Promotes 0),NEG,quantity_level=1vs2,-,0.008391540802251867
person2_color=black & person3_profession=high,Interaction,0.050050922867418066,0.04837265029191106,0.05176469252174567,0.0016960211149173038,Synergy (+),POS,person2_color=black,person3_profession=high,0.008188006106260023
