Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person1_profession=high,Main Effect,0.028779260770218744,0.028716289570126324,0.028843434068048523,6.357224896109959e-05,Negative (Promotes 0),NEG,person1_profession=high,-,0.06208498711837768
person1_profession=low,Main Effect,0.028072947691740183,0.02800765096225397,0.02813771601783672,6.503252779137443e-05,Positive (Promotes 1),POS,person1_profession=low,-,0.060561270483367326
person2_color=white,Main Effect,0.02521702347873875,0.02515117523214595,0.025284152935931267,6.648885189265881e-05,Positive (Promotes 1),POS,person2_color=white,-,0.05440023600124678
person2_color=black,Main Effect,0.02383057084480947,0.0237674744895752,0.023892086521862588,6.230601614369384e-05,Negative (Promotes 0),NEG,person2_color=black,-,0.05140926640668322
person2_profession=high,Main Effect,0.022874533615414347,0.02281575387765877,0.022944329240652192,6.428768149671117e-05,Negative (Promotes 0),NEG,person2_profession=high,-,0.04934682430486565
person1_color=black,Main Effect,0.022279858777811863,0.022224169929400583,0.02233520189091345,5.5515980756433436e-05,Negative (Promotes 0),NEG,person1_color=black,-,0.04806394286023941
person2_profession=low,Main Effect,0.022237519145982463,0.02218095267432792,0.02230698621782238,6.301677174722943e-05,Positive (Promotes 1),POS,person2_profession=low,-,0.04797260432594859
person1_color=white,Main Effect,0.020975296365309714,0.02092091520725766,0.02102960209813871,5.434344544052484e-05,Positive (Promotes 1),POS,person1_color=white,-,0.0452496335830835
person1_gender=male,Main Effect,0.01201818889696728,0.011969643907479352,0.012066218993787774,4.8287543154211e-05,Positive (Promotes 1),POS,person1_gender=male,-,0.025926625037797035
person1_gender=female,Main Effect,0.011259842982272592,0.011216976270564939,0.011303577341564322,4.330053549969192e-05,Negative (Promotes 0),NEG,person1_gender=female,-,0.02429065889116775
quantity_level=1vs5,Main Effect,0.008879757466555756,0.008666492125750666,0.009086676281766435,0.00021009207800788427,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.019156142762913705
person3_profession=high,Main Effect,0.008369225556662122,0.008333785556046374,0.008404795293515606,3.550486873461593e-05,Negative (Promotes 0),NEG,person3_profession=high,-,0.018054781358868646
person3_profession=low,Main Effect,0.008128848127732825,0.008094203725271035,0.00816358897944532,3.469262708714199e-05,Positive (Promotes 1),POS,person3_profession=low,-,0.01753621940907501
person2_gender=female,Main Effect,0.007879413572754965,0.007832760042460647,0.007926390519823683,4.681523868151766e-05,Negative (Promotes 0),NEG,person2_gender=female,-,0.016998118682432856
person2_gender=male,Main Effect,0.00771120509970349,0.007669327954382166,0.007755577890841203,4.312496822951855e-05,Positive (Promotes 1),POS,person2_gender=male,-,0.016635245536872092
person3_gender=female,Main Effect,0.00610322598391712,0.006060233105868938,0.006144718062916276,4.22424785236691e-05,Negative (Promotes 0),NEG,person3_gender=female,-,0.013166380805171816
person3_color=white,Main Effect,0.006020766884508245,0.005987729014623507,0.0060577589533402955,3.5014969358394214e-05,Positive (Promotes 1),POS,person3_color=white,-,0.01298849325741761
person3_color=black,Main Effect,0.00598835326159973,0.005957014206506624,0.006021776656335829,3.23812249146023e-05,Negative (Promotes 0),NEG,person3_color=black,-,0.012918567925533562
person3_gender=male,Main Effect,0.005902442490303237,0.005861906632304972,0.005944267192171091,4.118027993305941e-05,Positive (Promotes 1),POS,person3_gender=male,-,0.012733234147440412
quantity_level=1vs1,Main Effect,0.004572566424806859,0.00445692945961741,0.0046965452373850325,0.00011980788888381116,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.009864316177149062
quantity_level=1vs10,Main Effect,0.003556924019153595,0.0034639805632653174,0.0036497808941637244,9.290016544920353e-05,Negative (Promotes 0),NEG,quantity_level=1vs10,-,0.007673288889293476
person1_color=black & person1_profession=high,Interaction,0.003531016226441915,0.003495780747232483,0.0035660855793032704,3.5152416035393735e-05,Interference (-),NEG,person1_color=black,person1_profession=high,0.007617398469118586
person1_color=white & person1_profession=low,Interaction,0.0034289484773329954,0.0033900439176430134,0.0034656298729189754,3.779297763798102e-05,Interference (-),NEG,person1_color=white,person1_profession=low,0.007397209530312119
person1_color=black & person1_profession=low,Interaction,0.0028001579593329496,0.0027634813713827812,0.0028351477613385097,3.583319497786424e-05,Interference (-),NEG,person1_color=black,person1_profession=low,0.006040730935469665
person1_color=black & person2_profession=high,Interaction,0.0027938551787159574,0.0027580117404569166,0.002832397485049296,3.719287229618962e-05,Synergy (+),POS,person1_color=black,person2_profession=high,0.006027134059005734
person1_color=white & person1_profession=high,Interaction,0.002689416185082278,0.002653579321643739,0.0027250387528666297,3.572971561144529e-05,Interference (-),NEG,person1_color=white,person1_profession=high,0.005801829676583474
person1_color=white & person2_profession=low,Interaction,0.002511088933523441,0.002482083344803213,0.0025398217306296174,2.8869192913202283e-05,Synergy (+),POS,person1_color=white,person2_profession=low,0.005417127470217458
person1_color=white & person2_profession=high,Interaction,0.002442605570276642,0.0024045736476971617,0.0024819563183874852,3.869133534516178e-05,Synergy (+),POS,person1_color=white,person2_profession=high,0.005269389529380543
person1_color=black & person2_profession=low,Interaction,0.0020817307550002055,0.002049798610965826,0.0021185284345215274,3.4364911777850756e-05,Synergy (+),POS,person1_color=black,person2_profession=low,0.00449088071233096
quantity_level=1vs10 & person2_color=black,Interaction,0.0019459720375121954,0.0018901591571732824,0.0019983156633517547,5.407825308923614e-05,Synergy (+),POS,quantity_level=1vs10,person2_color=black,0.0041980108469877675
person1_profession=high & person2_color=white,Interaction,0.001913079905909883,0.0018678355601746879,0.0019632223955840223,4.769341770466721e-05,Interference (-),NEG,person1_profession=high,person2_color=white,0.00412705323681389
quantity_level=1vs1 & person2_color=black,Interaction,0.0018176660754494792,0.0017673229527046669,0.0018694720858009105,5.1074566548121804e-05,Synergy (+),POS,quantity_level=1vs1,person2_color=black,0.003921218678298083
person1_profession=high & person2_profession=high,Interaction,0.0018062136105853335,0.0017545097621665686,0.0018545165183199558,5.000337807669361e-05,Synergy (+),POS,person1_profession=high,person2_profession=high,0.0038965124796489525
person1_profession=low & person2_color=black,Interaction,0.0017811275236494378,0.001738257647326772,0.0018268210818071686,4.4281717240198296e-05,Interference (-),NEG,person1_profession=low,person2_color=black,0.0038423947107215006
quantity_level=1vs1 & person2_profession=low,Interaction,0.0017210719668046195,0.001670363137193454,0.0017695022356872198,4.956954924688285e-05,Interference (-),NEG,quantity_level=1vs1,person2_profession=low,0.003712837926658586
quantity_level=1vs1 & person2_color=white,Interaction,0.001678205579947709,0.0016306955052528805,0.0017279609611047552,4.863272792593736e-05,Synergy (+),POS,quantity_level=1vs1,person2_color=white,0.003620363033120782
person1_gender=male & person2_profession=low,Interaction,0.0016709032556662114,0.0016480602049683693,0.0016937981971126873,2.2868996072158997e-05,Interference (-),NEG,person1_gender=male,person2_profession=low,0.0036046098588967883
person1_profession=high & person2_color=black,Interaction,0.0016107758092919475,0.0015721197006128115,0.001653410924575095,4.064561198114172e-05,Interference (-),NEG,person1_profession=high,person2_color=black,0.0034748979888313105
person1_profession=high & person2_profession=low,Interaction,0.0015533636653784354,0.0015087791136307906,0.0015962500333232125,4.3735459846210955e-05,Synergy (+),POS,person1_profession=high,person2_profession=low,0.003351043792444259
quantity_level=1vs1 & person2_profession=high,Interaction,0.0015167066771174253,0.0014727066682295841,0.0015602374065741941,4.3765369172305e-05,Interference (-),NEG,quantity_level=1vs1,person2_profession=high,0.0032719643239980637
quantity_level=1vs10 & person1_profession=low,Interaction,0.001495358725959819,0.001447438405938515,0.0015434059219767851,4.798375801913512e-05,Synergy (+),POS,quantity_level=1vs10,person1_profession=low,0.0032259107688631353
quantity_level=1vs10 & person2_color=white,Interaction,0.0014877107828271418,0.0014433924617901041,0.0015313416685160046,4.3974603362950215e-05,Synergy (+),POS,quantity_level=1vs10,person2_color=white,0.003209411997241951
quantity_level=1vs10 & person2_gender=male,Interaction,0.0014785681557171447,0.0014400629180443736,0.0015187642505260844,3.935066624085541e-05,Synergy (+),POS,quantity_level=1vs10,person2_gender=male,0.003189688770475137
person1_gender=female & person2_profession=low,Interaction,0.0014650247894785462,0.0014389671542350446,0.0014897929272963734,2.5412886530664356e-05,Interference (-),NEG,person1_gender=female,person2_profession=low,0.003160471907499526
