Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person2_gender=male,Main Effect,0.5365543432140637,0.5331146943385543,0.5399262094836687,0.0034057575725571776,Negative (Promotes 0),NEG,person2_gender=male,-,0.033975874358679686
person3_gender=female,Main Effect,0.5308901763284614,0.5274010491207352,0.5342775417719983,0.0034382463256315554,Negative (Promotes 0),NEG,person3_gender=female,-,0.033617206080460114
person3_color=white,Main Effect,0.507277420442549,0.5031344724940849,0.5112660599115362,0.004065793708725618,Positive (Promotes 1),POS,person3_color=white,-,0.0321219912203283
quantity_level=1vs2,Main Effect,0.47226217111581476,0.46523459819374163,0.4795222362285026,0.007143819017380482,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.02990474384024637
person3_color=black,Main Effect,0.46729946191963406,0.46334039347542205,0.4712655703240421,0.003962588424310021,Negative (Promotes 0),NEG,person3_color=black,-,0.02959049350146786
person2_color=white,Main Effect,0.45247077957550574,0.4480387276073928,0.45676698811304034,0.0043641302528237835,Negative (Promotes 0),NEG,person2_color=white,-,0.02865150669686777
person3_gender=male,Main Effect,0.40872353783432047,0.40559629976078915,0.4118186946607973,0.0031111974500040718,Positive (Promotes 1),POS,person3_gender=male,-,0.025881329159894027
quantity_level=1vs1,Main Effect,0.33893334360529886,0.32831367731493405,0.3496096688024521,0.01064799574375902,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.0214620510372173
person2_gender=female,Main Effect,0.317161380178319,0.31402886949189573,0.32032968065017436,0.003150405579139315,Positive (Promotes 1),POS,person2_gender=female,-,0.020083399455523336
person2_color=black,Main Effect,0.28217690512013927,0.2779987409452242,0.2860897438379128,0.004045501446344302,Positive (Promotes 1),POS,person2_color=black,-,0.017868100774012404
person1_profession=low,Main Effect,0.247143554978783,0.24379343927316807,0.2504730934682578,0.0033398270975448646,Negative (Promotes 0),NEG,person1_profession=low,-,0.015649707208066604
person1_color=white & person3_color=white,Interaction,0.23424385711933707,0.23160329949772146,0.23713820660638538,0.0027674535543319584,Synergy (+),POS,person1_color=white,person3_color=white,0.014832868206984083
person1_gender=female,Main Effect,0.2143073011302062,0.2117921546164278,0.21674588733216588,0.002476866357869034,Negative (Promotes 0),NEG,person1_gender=female,-,0.013570438911613992
