Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs2,Main Effect,1.6716867722337347,1.6323527179546335,1.711878631165834,0.03976295660560025,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.046318895951379696
person3_color=black,Main Effect,1.6459982691698498,1.6367292578563342,1.6558105161178474,0.009540629130756595,Negative (Promotes 0),NEG,person3_color=black,-,0.045607121999269716
person3_gender=female,Main Effect,1.6014500153251834,1.5923352656843641,1.6099969663179394,0.008830850316787653,Negative (Promotes 0),NEG,person3_gender=female,-,0.044372784341689536
person2_gender=female,Main Effect,1.1182846770985952,1.1090039573902633,1.1268319160833624,0.008913979346549583,Positive (Promotes 1),POS,person2_gender=female,-,0.030985297283497158
person2_color=black,Main Effect,1.0438121838278152,1.030991777685092,1.0559926765950358,0.012500449454971863,Positive (Promotes 1),POS,person2_color=black,-,0.028921822400316842
person1_color=black & person3_color=black,Interaction,0.8853283194917596,0.8784920919837628,0.8922619458128527,0.006884926914544953,Synergy (+),POS,person1_color=black,person3_color=black,0.024530570555723108
person1_gender=female,Main Effect,0.8803925496037007,0.8721881240256489,0.8887728606086679,0.008292368291509478,Negative (Promotes 0),NEG,person1_gender=female,-,0.024393810837525738
person2_gender=male,Main Effect,0.8316737482663237,0.8258874654826653,0.837158087389126,0.0056353109532303325,Negative (Promotes 0),NEG,person2_gender=male,-,0.02304391615180863
person2_color=black & person3_color=black,Interaction,0.7868852673741197,0.7721892181222845,0.7994110167187959,0.013610899298255708,Synergy (+),POS,person2_color=black,person3_color=black,0.021802922312098873
person3_color=white,Main Effect,0.7077190166754153,0.701845173478171,0.7130273779265215,0.005591102224175248,Positive (Promotes 1),POS,person3_color=white,-,0.019609393362848188
person1_profession=high,Main Effect,0.49288477267576764,0.4837243208646939,0.5034041137557697,0.009839896445537871,Positive (Promotes 1),POS,person1_profession=high,-,0.013656791978489286
person3_gender=male,Main Effect,0.47025946050200007,0.4648927041103993,0.4755017335614574,0.005304514725529064,Positive (Promotes 1),POS,person3_gender=male,-,0.01302989255100629
person1_color=black & person2_color=black,Interaction,0.4378185173789795,0.4269537308221012,0.450349042727728,0.011697655952813413,Synergy (+),POS,person1_color=black,person2_color=black,0.012131022802176502
quantity_level=1vs1,Main Effect,0.4334985505645666,0.41845244870584547,0.44888276770832564,0.015215159501240083,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.012011325681451648
person1_color=black,Main Effect,0.37385037858216236,0.36445003951739735,0.38347022585975193,0.009510093171177292,Positive (Promotes 1),POS,person1_color=black,-,0.010358601308899944
person1_color=white & person3_color=black,Interaction,0.34055525644995044,0.3367622561655948,0.34431589325881895,0.0037768185466120763,Synergy (+),POS,person1_color=white,person3_color=black,0.009436064070856419
person1_color=black & person3_color=white,Interaction,0.3359710684003689,0.3328949404234964,0.33912406250855115,0.003114561042527386,Synergy (+),POS,person1_color=black,person3_color=white,0.009309045939938029
person2_profession=low,Main Effect,0.3091079727902324,0.304367046873208,0.3141945903529455,0.004913771739868761,Negative (Promotes 0),NEG,person2_profession=low,-,0.008564726518880898
quantity_level=1vs5,Main Effect,0.3078316274545432,0.2979722629477526,0.31732273148585144,0.009675234269049426,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.008529361695886683
person1_gender=female & person2_gender=female,Interaction,0.2823157343630693,0.2780136295051228,0.2864539703673898,0.004220170431133485,Interference (-),NEG,person1_gender=female,person2_gender=female,0.007822370400124214
quantity_level=1vs1 & person2_color=black,Interaction,0.28177800579053064,0.2689790235745593,0.2935239701741516,0.012272473299796166,Interference (-),NEG,quantity_level=1vs1,person2_color=black,0.007807471081534631
person1_gender=female & person3_gender=female,Interaction,0.27679411124437764,0.27173140751228103,0.28186092499707177,0.00506475874239537,Interference (-),NEG,person1_gender=female,person3_gender=female,0.007669377931101045
person2_profession=high,Main Effect,0.2646008005340053,0.25702534943017996,0.2715203181478607,0.0072474843588403726,Positive (Promotes 1),POS,person2_profession=high,-,0.007331527145010353
person1_color=white & person3_color=white,Interaction,0.2592088040978093,0.25596919704251575,0.26281339307926843,0.0034220980183763405,Synergy (+),POS,person1_color=white,person3_color=white,0.007182126356509375
quantity_level=1vs2 & person1_gender=female,Interaction,0.25007774965534096,0.2430205788803165,0.25763520138395657,0.007307311251820034,Synergy (+),POS,quantity_level=1vs2,person1_gender=female,0.006929124198645833
quantity_level=1vs1 & person3_color=black,Interaction,0.2420885780181981,0.23171293485426256,0.253416990297555,0.010852027721646215,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.0067077611921634245
person1_gender=male,Main Effect,0.23708444421457334,0.23181451865070649,0.2424857087053883,0.005335595027340906,Positive (Promotes 1),POS,person1_gender=male,-,0.0065691072548189535
person2_color=black & person2_gender=female,Interaction,0.2364155796312884,0.2305747852961515,0.24244627494079743,0.005935744822322966,Interference (-),NEG,person2_color=black,person2_gender=female,0.0065505744354216085
person3_profession=low,Main Effect,0.23220401857412257,0.2261945890866336,0.23798353810774506,0.005894474510555733,Negative (Promotes 0),NEG,person3_profession=low,-,0.006433881008375413
quantity_level=1vs10,Main Effect,0.2278308819274883,0.2184842095184595,0.2370486790404601,0.009282234761000291,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.006312710664336646
person1_profession=low,Main Effect,0.22575123428104735,0.22155054556667741,0.23019086443488657,0.004320159434104576,Negative (Promotes 0),NEG,person1_profession=low,-,0.0062550880375676875
person2_color=black & person3_color=white,Interaction,0.22513779164095976,0.21981733522956895,0.2300661050267749,0.005124384898602979,Synergy (+),POS,person2_color=black,person3_color=white,0.0062380908427042085
person1_color=white,Main Effect,0.2241840511838156,0.21881111682230486,0.22962795103048023,0.005408417104087682,Negative (Promotes 0),NEG,person1_color=white,-,0.00621166471686961
