Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person3_gender=female,Main Effect,0.009220803689157243,0.009163143087832542,0.00928156345799436,5.9210185080909444e-05,Negative (Promotes 0),NEG,person3_gender=female,-,0.04521216135761224
person3_gender=male,Main Effect,0.009065198893239534,0.009006989116863606,0.00912281935668581,5.791511991110228e-05,Positive (Promotes 1),POS,person3_gender=male,-,0.04444918782751502
person2_gender=male,Main Effect,0.00870322907517032,0.008645937264068064,0.008759246260752428,5.6654498342182356e-05,Negative (Promotes 0),NEG,person2_gender=male,-,0.0426743492805915
person2_gender=female,Main Effect,0.007961618909784345,0.007909648505228387,0.008011253768188151,5.080263147988224e-05,Positive (Promotes 1),POS,person2_gender=female,-,0.039038028674253905
person2_color=white,Main Effect,0.007127219550779935,0.007072700902542443,0.007177815101579467,5.255709951851187e-05,Negative (Promotes 0),NEG,person2_color=white,-,0.03494673688150525
person2_color=black,Main Effect,0.006911837697787796,0.006853675173374062,0.006971158059897899,5.8741443261918665e-05,Positive (Promotes 1),POS,person2_color=black,-,0.03389065983884649
person3_color=white,Main Effect,0.006018603160586625,0.005960945769750829,0.006083797482736346,6.14258564927586e-05,Positive (Promotes 1),POS,person3_color=white,-,0.029510882827259062
person3_color=black,Main Effect,0.005648306808664682,0.005601086238428938,0.005700667485607985,4.979062358952341e-05,Negative (Promotes 0),NEG,person3_color=black,-,0.02769521697234916
quantity_level=1vs1,Main Effect,0.005212763678900255,0.005076114191701715,0.005358618208214369,0.00014125200825632718,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.025559628044860727
quantity_level=1vs2,Main Effect,0.003495510656338758,0.003412922008051362,0.0035804071041417784,8.37425480452081e-05,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.01713945954705445
person1_profession=high,Main Effect,0.003367443981082885,0.00333742846235832,0.003396413058171863,2.949229790677162e-05,Positive (Promotes 1),POS,person1_profession=high,-,0.016511513070652385
person1_profession=low,Main Effect,0.003080696119312541,0.003054797711666431,0.003107000588717052,2.6101438525310628e-05,Negative (Promotes 0),NEG,person1_profession=low,-,0.015105508666659266
person1_gender=female,Main Effect,0.0028471693604027737,0.0028336664071513997,0.0028612203312634726,1.3776962056036464e-05,Negative (Promotes 0),NEG,person1_gender=female,-,0.01396046211094915
