Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person1_color=black & person3_color=black,Interaction,1.2875586,1.2517090618610383,1.3244817495346068,0.036386343836784296,Synergy (+),POS,person1_color=black,person3_color=black,0.051569864
person3_gender=female,Main Effect,0.94694734,0.9214379116892815,0.9734211146831513,0.025991601496934913,Negative (Promotes 0),NEG,person3_gender=female,-,0.037927553
person3_color=black,Main Effect,0.90967447,0.8819401755928993,0.9357857212424279,0.026922772824764296,Negative (Promotes 0),NEG,person3_color=black,-,0.036434684
person2_color=black,Main Effect,0.8867557,0.8582229122519494,0.9166095867753029,0.029193337261676777,Positive (Promotes 1),POS,person2_color=black,-,0.03551673
person2_gender=female,Main Effect,0.7742429,0.7527724161744118,0.7944224402308464,0.020825012028217293,Positive (Promotes 1),POS,person2_gender=female,-,0.031010319
person1_color=black,Main Effect,0.7359146,0.7205036446452141,0.7517330348491669,0.015614695101976384,Positive (Promotes 1),POS,person1_color=black,-,0.029475177
person2_color=black & person3_color=black,Interaction,0.70764744,0.6808601975440979,0.7327050283551216,0.02592241540551188,Interference (-),NEG,person2_color=black,person3_color=black,0.028343009
quantity_level=1vs2,Main Effect,0.54780716,0.5224568679928779,0.5749361842870713,0.026239658147096667,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.021941015
person1_gender=female,Main Effect,0.54699516,0.5304770603775978,0.5644415274262429,0.016982233524322543,Negative (Promotes 0),NEG,person1_gender=female,-,0.021908492
quantity_level=1vs1,Main Effect,0.51753974,0.5060458183288574,0.528288371860981,0.011121276766061783,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.020728732
person1_color=black & person2_color=black,Interaction,0.51123214,0.49188937097787855,0.5331963583827019,0.02065349370241165,Synergy (+),POS,person1_color=black,person2_color=black,0.020476095
person1_profession=high,Main Effect,0.5036637,0.4886041857302189,0.5190986439585685,0.01524722911417481,Positive (Promotes 1),POS,person1_profession=high,-,0.020172963
