Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,0.6782279523576737,0.6688396750808918,0.6875630575623399,0.009361691240724057,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.04869705858043068
quantity_level=1vs2,Main Effect,0.40592217299057387,0.3958930427881522,0.4157843535683428,0.009945655390095315,Negative (Promotes 0),NEG,quantity_level=1vs2,-,0.02914538654519086
quantity_level=1vs10,Main Effect,0.2993041521713509,0.2899921463043241,0.3090365936043087,0.009522223649992279,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.021490166810417665
quantity_level=1vs1 & quantity_level=1vs2,Interaction,0.2550342562928603,0.24710049808434525,0.2622314761815059,0.007565489048580315,Interference (-),NEG,quantity_level=1vs1,quantity_level=1vs2,0.01831156925269341
person3_color=black,Main Effect,0.21816043142533423,0.21406426328104408,0.2219188171366182,0.003927276927787063,Negative (Promotes 0),NEG,person3_color=black,-,0.01566401277346488
person1_profession=high,Main Effect,0.19856548622665765,0.1950108737107608,0.20212366824083283,0.00355639726503601,Positive (Promotes 1),POS,person1_profession=high,-,0.014257087283438686
person1_profession=low,Main Effect,0.1864853866266877,0.18283525807400366,0.19009251971844637,0.0036286308222213542,Negative (Promotes 0),NEG,person1_profession=low,-,0.013389730938374714
person3_color=white,Main Effect,0.1695451607795005,0.1656929780260088,0.17294100611840652,0.003624014046198859,Positive (Promotes 1),POS,person3_color=white,-,0.01217341543917046
quantity_level=1vs2 & person2_gender=male,Interaction,0.1660553632731861,0.16082140264500902,0.17159816342625747,0.005388380390624226,Synergy (+),POS,quantity_level=1vs2,person2_gender=male,0.011922846477793871
quantity_level=1vs2 & person2_gender=female,Interaction,0.14790368257085673,0.14302218585098797,0.15264925387986816,0.004813534014440096,Synergy (+),POS,quantity_level=1vs2,person2_gender=female,0.010619547999130683
person3_gender=female,Main Effect,0.13721767564666587,0.13340142022399396,0.14119127090791755,0.0038949253419617996,Negative (Promotes 0),NEG,person3_gender=female,-,0.009852288107571714
