Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs1,Main Effect,1.23170679438506,1.199886706559363,1.2623223728819792,0.031217833161308106,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.04640907608605358
person1_profession=high,Main Effect,1.0942807771391523,1.0812473620415874,1.107172587066185,0.012962612512298799,Positive (Promotes 1),POS,person1_profession=high,-,0.041231046282497276
quantity_level=1vs2,Main Effect,0.9090581554053929,0.8875534314916206,0.9316001938219985,0.022023381165188982,Negative (Promotes 0),NEG,quantity_level=1vs2,-,0.034252103904257016
person3_color=black,Main Effect,0.5454001152967777,0.5339275027728424,0.557269633593903,0.011671065410530312,Negative (Promotes 0),NEG,person3_color=black,-,0.020549951955722984
person1_color=black,Main Effect,0.44968474008707304,0.43940150714002746,0.46022965631707863,0.010414074588525585,Positive (Promotes 1),POS,person1_color=black,-,0.016943523744916464
quantity_level=1vs1 & person3_color=black,Interaction,0.3871602536034834,0.37491695009945564,0.39968528370182854,0.012384166801186453,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.014587684137888036
quantity_level=1vs2 & person2_gender=female,Interaction,0.3743145130228231,0.36280701065320187,0.3859844508451923,0.011588720095995209,Synergy (+),POS,quantity_level=1vs2,person2_gender=female,0.014103673694244095
person3_gender=female,Main Effect,0.3740951932680597,0.36324935426653454,0.38425981638554946,0.010505231059507458,Negative (Promotes 0),NEG,person3_gender=female,-,0.014095410017180374
person2_profession=high & person3_color=black,Interaction,0.32234171635952585,0.3145993037169475,0.3313027356274675,0.008351715955259992,Synergy (+),POS,person2_profession=high,person3_color=black,0.012145407745117649
person2_color=black & person3_color=black,Interaction,0.2854937137687098,0.2778348210779486,0.2929989340021205,0.0075820564620859565,Interference (-),NEG,person2_color=black,person3_color=black,0.010757023948217304
quantity_level=1vs5,Main Effect,0.2832288465612891,0.27272615631898683,0.29460866544913195,0.010941254565072556,Negative (Promotes 0),NEG,quantity_level=1vs5,-,0.010671686759989425
person3_color=black & person3_gender=female,Interaction,0.2818775166077272,0.27304602124465754,0.2902243018782179,0.00858914031678018,Synergy (+),POS,person3_color=black,person3_gender=female,0.010620770442146486
person2_color=black,Main Effect,0.2776896998900781,0.2696894049001003,0.2860060903429467,0.008158342721423212,Positive (Promotes 1),POS,person2_color=black,-,0.010462979070393228
person1_gender=female,Main Effect,0.27042364796964224,0.2622252954738655,0.2787309014424719,0.008252802984303198,Positive (Promotes 1),POS,person1_gender=female,-,0.010189203884644515
person1_profession=high & person3_profession=high,Interaction,0.2501904760569547,0.2423128491141059,0.2575309344501065,0.007609042668000304,Synergy (+),POS,person1_profession=high,person3_profession=high,0.00942684484023661
person2_profession=high,Main Effect,0.2477862124956577,0.24002715614983328,0.2550531354714602,0.007512989660813457,Negative (Promotes 0),NEG,person2_profession=high,-,0.0093362553825379
quantity_level=1vs2 & person2_profession=high,Interaction,0.23525938008782413,0.2270664532574204,0.24349910365405006,0.008216325198314833,Synergy (+),POS,quantity_level=1vs2,person2_profession=high,0.008864260975279118
person3_profession=high,Main Effect,0.2264088636959132,0.21921175691810899,0.2335283309747608,0.00715828702832591,Positive (Promotes 1),POS,person3_profession=high,-,0.00853078527269673
person2_gender=female,Main Effect,0.22305954970758482,0.21624624987803795,0.23009047172563954,0.006922110923800795,Positive (Promotes 1),POS,person2_gender=female,-,0.008404587570103055
person1_profession=high & person3_gender=female,Interaction,0.21965792731462386,0.21348567076683353,0.22637506416025538,0.006444696696710925,Synergy (+),POS,person1_profession=high,person3_gender=female,0.008276418956297719
