Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs10,Main Effect,0.0030468230596096837,0.0029805317453037135,0.003113316219457894,6.639223707709013e-05,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.05326742404560384
quantity_level=1vs1,Main Effect,0.0026230276216510553,0.0025671197383314547,0.002676366560880944,5.4623411274744684e-05,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.04585823392833245
person3_color=black,Main Effect,0.002152567449254098,0.0021381335203594113,0.0021661069683290134,1.398672398480105e-05,Negative (Promotes 0),NEG,person3_color=black,-,0.03763320706942225
person3_color=white,Main Effect,0.0020582449957420924,0.002043548955865093,0.0020728074689419767,1.462925653844191e-05,Positive (Promotes 1),POS,person3_color=white,-,0.035984173295570805
person1_profession=low,Main Effect,0.0016605009584334488,0.0016500284678637406,0.0016724209587284176,1.1196245432338508e-05,Negative (Promotes 0),NEG,person1_profession=low,-,0.029030438246826572
person1_profession=high,Main Effect,0.0016465520040759357,0.0016353803030713552,0.0016576482173580366,1.113395714334069e-05,Positive (Promotes 1),POS,person1_profession=high,-,0.028786569517918626
quantity_level=1vs5,Main Effect,0.0010743191522825106,0.0010518528707682037,0.0010958840677615998,2.2015598496698068e-05,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.018782257034734785
quantity_level=1vs2,Main Effect,0.0009401747253506651,0.0009207239673442435,0.0009598201699422516,1.9548101299004053e-05,Negative (Promotes 0),NEG,quantity_level=1vs2,-,0.016437018098001608
person1_color=white,Main Effect,0.0009152705778465991,0.0009052696466744408,0.0009251179279411757,9.924140633367441e-06,Negative (Promotes 0),NEG,person1_color=white,-,0.01600162038712722
person1_color=black,Main Effect,0.0008681566110896529,0.0008596120252623346,0.0008768671276205973,8.627551179131345e-06,Positive (Promotes 1),POS,person1_color=black,-,0.015177929743918609
person3_gender=female,Main Effect,0.0007147896434849734,0.0007046627579874856,0.0007242720129717432,9.804627492128817e-06,Negative (Promotes 0),NEG,person3_gender=female,-,0.012496624286346876
quantity_level=1vs1 & person3_color=white,Interaction,0.0006992515784953846,0.000681552923418312,0.0007180957894481227,1.8271433014905387e-05,Interference (-),NEG,quantity_level=1vs1,person3_color=white,0.012224973231968089
person3_gender=male,Main Effect,0.0006422278980253185,0.0006332039656478497,0.0006508499115769753,8.822972964562777e-06,Positive (Promotes 1),POS,person3_gender=male,-,0.011228031660760092
quantity_level=1vs1 & person3_color=black,Interaction,0.000640471207508497,0.00062526915839259,0.0006570391087086602,1.588497515803513e-05,Interference (-),NEG,quantity_level=1vs1,person3_color=black,0.01119731954625732
person2_gender=male,Main Effect,0.0006029191281178444,0.0005950795178558718,0.0006119280467485774,8.424264446352822e-06,Negative (Promotes 0),NEG,person2_gender=male,-,0.01054079880397558
person2_gender=female,Main Effect,0.0005534150090910284,0.0005447765345966746,0.000561901079607322,8.56227250532369e-06,Positive (Promotes 1),POS,person2_gender=female,-,0.009675321272588093
