Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person3_color=black,Main Effect,0.5270061,0.5074801176786423,0.5460661843419075,0.01929303333163257,Negative (Promotes 0),NEG,person3_color=black,-,0.023939615
quantity_level=1vs10,Main Effect,0.50998265,0.4986730605363846,0.5208936586976052,0.011110299080610286,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.023166314
quantity_level=1vs1,Main Effect,0.4923471,0.4660407923161983,0.5200060874223709,0.02698264755308627,Negative (Promotes 0),NEG,quantity_level=1vs1,-,0.022365207
person1_profession=high,Main Effect,0.4543449,0.4369694195687771,0.47209001556038854,0.017560297995805718,Positive (Promotes 1),POS,person1_profession=high,-,0.02063893
person1_gender=female,Main Effect,0.45041317,0.43617304041981697,0.4630772739648819,0.013452116772532469,Positive (Promotes 1),POS,person1_gender=female,-,0.020460328
person2_profession=high & person3_color=black,Interaction,0.43217388,0.4184286445379257,0.4476520135998726,0.014611684530973446,Interference (-),NEG,person2_profession=high,person3_color=black,0.019631796
person3_profession=high,Main Effect,0.43176416,0.4189165234565735,0.4444702282547951,0.012776852399110805,Negative (Promotes 0),NEG,person3_profession=high,-,0.019613184
person3_gender=female,Main Effect,0.42761824,0.4145416386425495,0.44290323927998543,0.014180800318717962,Negative (Promotes 0),NEG,person3_gender=female,-,0.019424854
person2_gender=female,Main Effect,0.41924557,0.4060118027031422,0.4320902980864048,0.013039247691631312,Positive (Promotes 1),POS,person2_gender=female,-,0.019044518
person2_profession=high,Main Effect,0.41546187,0.4031589232385159,0.428254759311676,0.012547918036580064,Negative (Promotes 0),NEG,person2_profession=high,-,0.018872641
person2_color=black,Main Effect,0.40610325,0.39391818568110465,0.4177240528166294,0.01190293356776237,Negative (Promotes 0),NEG,person2_color=black,-,0.01844752
person1_color=black,Main Effect,0.40142405,0.38803609386086463,0.4158993147313595,0.013931610435247432,Positive (Promotes 1),POS,person1_color=black,-,0.018234964
person2_color=black & person3_color=black,Interaction,0.3918205,0.3777390971779823,0.4042496204376221,0.013255261629819881,Interference (-),NEG,person2_color=black,person3_color=black,0.017798716
person3_color=black & person3_profession=high,Interaction,0.35770315,0.345626100897789,0.36964230611920357,0.012008102610707283,Synergy (+),POS,person3_color=black,person3_profession=high,0.016248912
person1_gender=female & person2_color=black,Interaction,0.33413053,0.3244602642953396,0.34422303214669225,0.009881383925676335,Interference (-),NEG,person1_gender=female,person2_color=black,0.0151781095
person1_profession=high & person3_profession=high,Interaction,0.3339255,0.32357240468263626,0.34388923421502116,0.010158414766192447,Synergy (+),POS,person1_profession=high,person3_profession=high,0.015168795
person2_gender=female & person3_profession=high,Interaction,0.33369297,0.3231024906039238,0.3445098787546158,0.010703694075345993,Synergy (+),POS,person2_gender=female,person3_profession=high,0.015158233
quantity_level=1vs2 & person2_gender=female,Interaction,0.3263621,0.31351530328392985,0.33826367259025575,0.01237418465316295,Synergy (+),POS,quantity_level=1vs2,person2_gender=female,0.014825224
person1_profession=high & person3_color=black,Interaction,0.32497224,0.31302161887288094,0.335128590464592,0.011053485795855522,Interference (-),NEG,person1_profession=high,person3_color=black,0.014762088
person3_color=black & person3_gender=female,Interaction,0.32495147,0.3145876295864582,0.33596559837460516,0.01068898439407348,Synergy (+),POS,person3_color=black,person3_gender=female,0.014761144
person2_profession=high & person3_profession=high,Interaction,0.3211474,0.31139585822820665,0.33063130751252173,0.009617724642157544,Synergy (+),POS,person2_profession=high,person3_profession=high,0.014588343
person2_gender=female & person3_gender=female,Interaction,0.3204468,0.3101919189095497,0.33120438531041146,0.01050623320043087,Synergy (+),POS,person2_gender=female,person3_gender=female,0.014556516
person1_gender=female & person2_gender=female,Interaction,0.30781922,0.29779714792966844,0.31840302273631094,0.01030293740332125,Interference (-),NEG,person1_gender=female,person2_gender=female,0.0139829
person3_profession=high & person3_gender=female,Interaction,0.30439404,0.2950060196220875,0.31391796842217445,0.009455974400043476,Synergy (+),POS,person3_profession=high,person3_gender=female,0.013827309
quantity_level=1vs1 & person3_color=black,Interaction,0.30396482,0.28936185166239736,0.3193117298185825,0.01497493907809258,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.013807812
person1_color=black & person1_profession=high,Interaction,0.29091004,0.28030076548457145,0.3001619927585125,0.009930613636970537,Interference (-),NEG,person1_color=black,person1_profession=high,0.013214789
person2_gender=female & person3_color=black,Interaction,0.28773144,0.27718123868107797,0.29721906408667564,0.010018912702798838,Synergy (+),POS,person2_gender=female,person3_color=black,0.013070399
person2_color=black & person2_profession=high,Interaction,0.28387544,0.2752919338643551,0.2924885407090187,0.00859830342233181,Synergy (+),POS,person2_color=black,person2_profession=high,0.012895238
