Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
quantity_level=1vs2,Main Effect,0.5429224431877415,0.5298081046377783,0.5541520310511459,0.012171963206683789,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.041373619506546305
person3_color=black,Main Effect,0.43165839812577395,0.4282048178330688,0.4350168345391978,0.0034060083530645102,Negative (Promotes 0),NEG,person3_color=black,-,0.03289469894816146
person3_color=white,Main Effect,0.4083441451720388,0.4050443393185324,0.4116466655265615,0.003301163104014543,Positive (Promotes 1),POS,person3_color=white,-,0.031118027081138172
person3_gender=female,Main Effect,0.3751354192115692,0.37102259185625863,0.37948670091872816,0.0042320545312347635,Negative (Promotes 0),NEG,person3_gender=female,-,0.02858734298541638
person3_gender=male,Main Effect,0.2948376920889467,0.2911873659153224,0.2983428346649756,0.0035777343748265855,Positive (Promotes 1),POS,person3_gender=male,-,0.022468222932641082
quantity_level=1vs1,Main Effect,0.25743584484610593,0.2517423063932901,0.26316349063983513,0.005710592123272518,Positive (Promotes 1),POS,quantity_level=1vs1,-,0.019618000371235275
person1_gender=male,Main Effect,0.18626385707415577,0.18279146958126588,0.18999354589281664,0.0036010381557753796,Negative (Promotes 0),NEG,person1_gender=male,-,0.014194310894867506
person1_color=black,Main Effect,0.16959323492332734,0.16606883689999224,0.17304159624421903,0.0034863796721133905,Positive (Promotes 1),POS,person1_color=black,-,0.012923919540706314
person2_gender=female,Main Effect,0.15629555373884196,0.15265660829987823,0.15999917901423638,0.0036712853571790743,Negative (Promotes 0),NEG,person2_gender=female,-,0.011910564486868525
person2_gender=male,Main Effect,0.1552573174277574,0.1517577857466055,0.158610088412731,0.0034261513330627463,Positive (Promotes 1),POS,person2_gender=male,-,0.011831445278164456
person1_color=white,Main Effect,0.14329313995043022,0.13925853907832708,0.14695386209763384,0.0038476615096533773,Negative (Promotes 0),NEG,person1_color=white,-,0.010919710401725475
quantity_level=1vs10,Main Effect,0.1376377650533256,0.1329356700134345,0.1427808685413877,0.00492259926397659,Negative (Promotes 0),NEG,quantity_level=1vs10,-,0.010488740321015863
person1_gender=female,Main Effect,0.12447002425406625,0.12143742609481414,0.12779878364379893,0.003180678774492393,Positive (Promotes 1),POS,person1_gender=female,-,0.009485287425625072
person1_profession=high,Main Effect,0.10857822529783424,0.10534773772672669,0.11188735400671969,0.0032698081399964996,Positive (Promotes 1),POS,person1_profession=high,-,0.008274246601029229
