Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person3_color=black,Main Effect,1.3207412944025096,1.3106995801002888,1.331016753597437,0.010158586748574172,Negative (Promotes 0),NEG,person3_color=black,-,0.05553244345528648
person3_gender=female,Main Effect,1.1097508412833779,1.099058468318869,1.1203715059750547,0.01065651882809282,Negative (Promotes 0),NEG,person3_gender=female,-,0.04666105020279942
quantity_level=1vs2,Main Effect,1.0040435818967568,0.977833025896364,1.0278730865887493,0.025020030346192657,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.04221643835521086
quantity_level=1vs1,Main Effect,0.5834449912498842,0.5678097160774157,0.5978920307730105,0.015041157347797374,Positive (Promotes 1),POS,quantity_level=1vs1,-,0.024531773272457428
person2_gender=female,Main Effect,0.41736198254943324,0.4086554163928242,0.4271296519601032,0.009237117783639504,Negative (Promotes 0),NEG,person2_gender=female,-,0.01754857729862817
person3_color=black & person3_gender=female,Interaction,0.3902172868331592,0.3796419432789345,0.401166816550093,0.010762436635579242,Synergy (+),POS,person3_color=black,person3_gender=female,0.016407240016025157
person2_profession=high & person3_gender=female,Interaction,0.3883730527567216,0.37833547016460756,0.3985268841785835,0.010095707006987975,Synergy (+),POS,person2_profession=high,person3_gender=female,0.016329696575078677
person2_color=black & person3_color=black,Interaction,0.37768981780351446,0.36856553124035535,0.386397994364812,0.008916231562228316,Interference (-),NEG,person2_color=black,person3_color=black,0.015880504789016665
person2_color=black,Main Effect,0.35406429654829386,0.3447360414591403,0.3633341853135296,0.009299071927194674,Negative (Promotes 0),NEG,person2_color=black,-,0.014887136194601105
person1_gender=female,Main Effect,0.320138918532798,0.3120676672608064,0.3287133822997316,0.008322857519462601,Positive (Promotes 1),POS,person1_gender=female,-,0.01346069549472352
person1_color=black & person3_color=black,Interaction,0.29059333935878395,0.2827153405724333,0.29825932559846735,0.007771992513017023,Interference (-),NEG,person1_color=black,person3_color=black,0.012218409657377244
quantity_level=1vs2 & person2_gender=female,Interaction,0.28752323426787013,0.27711752247114924,0.297951931909002,0.010417204718926376,Interference (-),NEG,quantity_level=1vs2,person2_gender=female,0.01208932272863085
person3_profession=high,Main Effect,0.2578969051807923,0.2497650548973318,0.26551428723653503,0.007874616169601611,Negative (Promotes 0),NEG,person3_profession=high,-,0.010843641646507841
person1_gender=female & person2_gender=female,Interaction,0.24823076938003039,0.24147794298957884,0.2543865013887062,0.006454279199563692,Synergy (+),POS,person1_gender=female,person2_gender=female,0.010437215238806426
person2_profession=high,Main Effect,0.2424677108158325,0.2349325638071535,0.2503574523779323,0.0077124442853893915,Negative (Promotes 0),NEG,person2_profession=high,-,0.010194899256711987
person1_color=black,Main Effect,0.2399420142756288,0.2324397440274228,0.24787569924566977,0.007717977609123489,Positive (Promotes 1),POS,person1_color=black,-,0.010088702758655548
person1_color=black & person2_color=black,Interaction,0.23050487790116503,0.22401689029060665,0.23675963744881487,0.0063713735791041115,Synergy (+),POS,person1_color=black,person2_color=black,0.009691904957060482
person1_color=white,Main Effect,0.22559801921571407,0.22174123716223768,0.22953492313885748,0.0038968429883099037,Negative (Promotes 0),NEG,person1_color=white,-,0.009485589114852975
person2_color=black & person2_gender=female,Interaction,0.21845374734942155,0.21203194376189932,0.22514495043923335,0.006556503338667016,Interference (-),NEG,person2_color=black,person2_gender=female,0.009185198057856787
person2_color=black & person3_gender=female,Interaction,0.21755220489415017,0.21120589707543147,0.22336587800255747,0.006079990463563001,Interference (-),NEG,person2_color=black,person3_gender=female,0.009147291424943832
person1_profession=high,Main Effect,0.2131599951393013,0.20634097957469963,0.22023453148716812,0.006946775956234247,Positive (Promotes 1),POS,person1_profession=high,-,0.008962614727933882
person1_gender=female & person3_gender=female,Interaction,0.211071160943234,0.2053749567415437,0.21696957098676975,0.0057973071226130185,Interference (-),NEG,person1_gender=female,person3_gender=female,0.008874786727573634
person1_profession=high & person2_color=black,Interaction,0.19694565861705912,0.1911474318581865,0.20325064687246022,0.006051607507136861,Interference (-),NEG,person1_profession=high,person2_color=black,0.008280859921067073
quantity_level=1vs1 & person1_color=black,Interaction,0.18676609524957727,0.17962674161403927,0.19462169698993032,0.007497477687945522,Interference (-),NEG,quantity_level=1vs1,person1_color=black,0.00785284572214712
person1_profession=low,Main Effect,0.1860065642973177,0.18272319534035142,0.18912238192016984,0.0031995932899092083,Negative (Promotes 0),NEG,person1_profession=low,-,0.007820910164564683
person2_profession=high & person3_color=black,Interaction,0.18345169992686883,0.17714519186723973,0.1899798269028639,0.006417317517812091,Synergy (+),POS,person2_profession=high,person3_color=black,0.007713487263661095
person1_gender=female & person2_color=black,Interaction,0.18200526072103496,0.17579292082100348,0.18784206452244911,0.006024571850722818,Synergy (+),POS,person1_gender=female,person2_color=black,0.007652669673002042
person1_color=white & person3_gender=female,Interaction,0.18095745795948992,0.1765403926721807,0.18532950880864935,0.004394558068234328,Interference (-),NEG,person1_color=white,person3_gender=female,0.007608613317791224
person1_gender=male,Main Effect,0.1794921555700268,0.17614239516973362,0.18285055572419678,0.0033540802772315803,Negative (Promotes 0),NEG,person1_gender=male,-,0.007547002597786767
quantity_level=1vs1 & person2_profession=high,Interaction,0.1792783574468058,0.17326648526926733,0.18536153153944354,0.0060475231350881065,Synergy (+),POS,quantity_level=1vs1,person2_profession=high,0.007538013152057362
person2_gender=female & person3_gender=female,Interaction,0.17345364354186707,0.16811535407651113,0.17869197737924972,0.005288311651369296,Synergy (+),POS,person2_gender=female,person3_gender=female,0.007293104783597844
person1_gender=female & person3_color=black,Interaction,0.17158948310728564,0.16632321662900237,0.1764047004277145,0.005040741899356063,Synergy (+),POS,person1_gender=female,person3_color=black,0.007214723510623557
