Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person3_color=white,Main Effect,0.00789139747894155,0.00786377228479092,0.007919996415214965,2.811206521202269e-05,Positive (Promotes 1),POS,person3_color=white,-,0.05794745211898565
person3_color=black,Main Effect,0.007726344743383576,0.0076995477309341805,0.0077524942487277315,2.6473258896775494e-05,Negative (Promotes 0),NEG,person3_color=black,-,0.05673545063048172
person3_gender=female,Main Effect,0.005796975440718525,0.005771273691280417,0.005822567355591539,2.5646832155560868e-05,Negative (Promotes 0),NEG,person3_gender=female,-,0.04256786680462945
person3_gender=male,Main Effect,0.005575155697815054,0.005552066877581098,0.005598999108916272,2.3466115667587252e-05,Positive (Promotes 1),POS,person3_gender=male,-,0.04093901856003834
quantity_level=1vs10,Main Effect,0.004931503193115025,0.0048226454121278895,0.005048279088090487,0.00011281683798129889,Negative (Promotes 0),NEG,quantity_level=1vs10,-,0.03621260314415021
person1_color=black,Main Effect,0.004225857832431079,0.004201967808750541,0.004250197842778061,2.411501701375966e-05,Positive (Promotes 1),POS,person1_color=black,-,0.03103096695609422
person1_color=white,Main Effect,0.004223335639283957,0.004198690162811777,0.004247955810384888,2.463282378655559e-05,Negative (Promotes 0),NEG,person1_color=white,-,0.031012446197633162
person1_gender=male,Main Effect,0.0034856459445843156,0.003466314475102115,0.0035042612634567133,1.8973394177299128e-05,Negative (Promotes 0),NEG,person1_gender=male,-,0.02559550472733604
person1_gender=female,Main Effect,0.003366157149205358,0.0033470437920878537,0.003385594405903888,1.927530690801725e-05,Positive (Promotes 1),POS,person1_gender=female,-,0.024718084566020565
quantity_level=1vs2,Main Effect,0.00311675797264528,0.003048846562358558,0.003177427430898668,6.429043427005486e-05,Positive (Promotes 1),POS,quantity_level=1vs2,-,0.02288671732329894
quantity_level=1vs1,Main Effect,0.0024289629585880967,0.0023762282988376827,0.0024853116530434236,5.454167710287048e-05,Positive (Promotes 1),POS,quantity_level=1vs1,-,0.017836158312539107
quantity_level=1vs5,Main Effect,0.001985623489933965,0.0019452796637562124,0.002027049492245058,4.0884914244422826e-05,Negative (Promotes 0),NEG,quantity_level=1vs5,-,0.014580664884303172
person2_gender=male,Main Effect,0.0018923708712329042,0.0018767884807621299,0.0019075419456946472,1.537673246625865e-05,Positive (Promotes 1),POS,person2_gender=male,-,0.013895900028449714
person1_color=black & person3_color=white,Interaction,0.0017794768838723823,0.0017598616502155888,0.0017989432861370792,1.9540817960745217e-05,Interference (-),NEG,person1_color=black,person3_color=white,0.013066906311614066
person1_color=white & person3_color=white,Interaction,0.001775366550791459,0.0017552207568845661,0.0017939154095703215,1.9347326342877705e-05,Interference (-),NEG,person1_color=white,person3_color=white,0.013036723656382785
person2_gender=female,Main Effect,0.0017343678203571376,0.0017199767649699108,0.001747529352960023,1.3776293995056122e-05,Negative (Promotes 0),NEG,person2_gender=female,-,0.012735665196823264
person1_color=white & person3_color=black,Interaction,0.0016848304171385921,0.0016663955572788478,0.0017027325253656336,1.816848404339287e-05,Interference (-),NEG,person1_color=white,person3_color=black,0.012371906267081637
person1_color=black & person3_color=black,Interaction,0.001672697174911558,0.001654557278270985,0.001690416989125581,1.7929855427297977e-05,Interference (-),NEG,person1_color=black,person3_color=black,0.012282810454220186
