Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person3_color=black,Main Effect,0.70386666,0.6805229768157005,0.7261090323328971,0.022793027758598317,Negative (Promotes 0),NEG,person3_color=black,-,0.032358762
person3_gender=female,Main Effect,0.5938269,0.5749784409999847,0.6153145998716354,0.020168079435825326,Negative (Promotes 0),NEG,person3_gender=female,-,0.02729992
person1_color=black,Main Effect,0.47139695,0.45401911810040474,0.4866712436079979,0.016326062753796583,Positive (Promotes 1),POS,person1_color=black,-,0.021671467
person2_profession=high & person3_gender=female,Interaction,0.4713754,0.45481699556112287,0.487781235575676,0.016482120007276557,Synergy (+),POS,person2_profession=high,person3_gender=female,0.021670476
person2_color=black & person3_color=black,Interaction,0.43670446,0.4213214047253132,0.45334874391555785,0.01601366959512232,Synergy (+),POS,person2_color=black,person3_color=black,0.020076552
person1_gender=female,Main Effect,0.42580163,0.41053705364465715,0.4408759497106075,0.01516944803297518,Positive (Promotes 1),POS,person1_gender=female,-,0.019575318
person2_gender=female,Main Effect,0.40838322,0.3949496321380138,0.42177759259939196,0.013413980230689071,Negative (Promotes 0),NEG,person2_gender=female,-,0.018774545
person3_color=black & person3_gender=female,Interaction,0.40837365,0.3899842485785484,0.42579096257686616,0.017903356999158876,Synergy (+),POS,person3_color=black,person3_gender=female,0.018774105
person1_color=black & person3_color=black,Interaction,0.40336308,0.38928058221936224,0.416370066255331,0.01354474201798439,Synergy (+),POS,person1_color=black,person3_color=black,0.018543754
person2_profession=high,Main Effect,0.39823678,0.38558073341846466,0.4110841266810894,0.01275169663131237,Positive (Promotes 1),POS,person2_profession=high,-,0.018308083
person2_color=black,Main Effect,0.38377854,0.3710818596184254,0.3953715808689594,0.012144860625267012,Negative (Promotes 0),NEG,person2_color=black,-,0.017643398
person3_profession=high,Main Effect,0.38045263,0.3678553871810436,0.393744383007288,0.012944497913122188,Negative (Promotes 0),NEG,person3_profession=high,-,0.017490495
person1_profession=high,Main Effect,0.36325037,0.35023404732346536,0.3750336147844791,0.012399783730506875,Positive (Promotes 1),POS,person1_profession=high,-,0.016699659
person1_color=black & person3_gender=female,Interaction,0.35283235,0.33975272849202154,0.36553020924329754,0.012888740375638003,Synergy (+),POS,person1_color=black,person3_gender=female,0.016220711
person1_color=black & person2_color=black,Interaction,0.3515116,0.34129989743232725,0.36232826560735704,0.010514184087514894,Synergy (+),POS,person1_color=black,person2_color=black,0.016159993
person2_profession=high & person3_color=black,Interaction,0.34043735,0.3267674021422863,0.35339014083147047,0.013311369344592094,Synergy (+),POS,person2_profession=high,person3_color=black,0.015650878
quantity_level=1vs10,Main Effect,0.3274611,0.31853568851947783,0.33582399412989616,0.008644152805209165,Negative (Promotes 0),NEG,quantity_level=1vs10,-,0.015054323
person1_gender=female & person2_color=black,Interaction,0.31551787,0.3043368153274059,0.3264992892742157,0.011081236973404879,Synergy (+),POS,person1_gender=female,person2_color=black,0.014505259
