Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person3_color=white,Main Effect,0.6483432830119694,0.6443662843005138,0.6524008932831832,0.0040173044913346945,Positive (Promotes 1),POS,person3_color=white,-,0.036404621782777945
person3_gender=female,Main Effect,0.5723081774397086,0.5686784599443524,0.5757939636778661,0.003557751866756831,Negative (Promotes 0),NEG,person3_gender=female,-,0.03213523343080416
person1_profession=low,Main Effect,0.5413352436963608,0.5377826537698006,0.5446411373476827,0.003429241788941051,Negative (Promotes 0),NEG,person1_profession=low,-,0.030396096205241505
person3_gender=male,Main Effect,0.5295478559810187,0.5254432846044075,0.533689928346343,0.0041233218709677555,Positive (Promotes 1),POS,person3_gender=male,-,0.029734231722601267
person1_profession=high,Main Effect,0.4727072077983059,0.46875435331275167,0.47634804153491417,0.003796844111081249,Positive (Promotes 1),POS,person1_profession=high,-,0.026542616488513304
person2_color=white & person3_color=white,Interaction,0.40249512510551433,0.39916722304105207,0.40567825043167494,0.003255513695311435,Interference (-),NEG,person2_color=white,person3_color=white,0.022600192186471114
person3_color=black,Main Effect,0.3994550543503591,0.39571481426649463,0.4031289198446569,0.0037070527890811222,Negative (Promotes 0),NEG,person3_color=black,-,0.022429491526906684
person1_gender=female,Main Effect,0.3424009535475414,0.3387474613310065,0.3462030779303364,0.003727808299664931,Positive (Promotes 1),POS,person1_gender=female,-,0.019225890879987172
person2_color=black & person3_color=black,Interaction,0.30955072692643015,0.3059184218128162,0.3130807092008821,0.003581143694032951,Interference (-),NEG,person2_color=black,person3_color=black,0.017381343235312922
person1_gender=male,Main Effect,0.30711139149805694,0.3037243448090871,0.3104198006354232,0.003347727913168036,Negative (Promotes 0),NEG,person1_gender=male,-,0.017244374000035725
person2_color=black & person3_color=white,Interaction,0.2739462387046009,0.27178558614045956,0.2762127309377156,0.0022135723986280165,Interference (-),NEG,person2_color=black,person3_color=white,0.015382143179651767
person2_profession=low,Main Effect,0.24042223672528001,0.236799699428156,0.24375230702170902,0.003476303796776506,Negative (Promotes 0),NEG,person2_profession=low,-,0.013499762896428033
person2_profession=high,Main Effect,0.23768213983340097,0.23418360692707474,0.240873637421808,0.003345015247366634,Positive (Promotes 1),POS,person2_profession=high,-,0.013345905837041825
person2_color=white,Main Effect,0.22811954769656417,0.22474884616570664,0.23162162691700994,0.003436390375651646,Positive (Promotes 1),POS,person2_color=white,-,0.012808964128650464
person1_color=black & person3_color=white,Interaction,0.22790144999546672,0.2257160914632246,0.23002702286546983,0.0021554657011226136,Interference (-),NEG,person1_color=black,person3_color=white,0.012796717893471993
person2_color=black,Main Effect,0.20112405152740223,0.19720656891021762,0.20480596028817058,0.003799695688976479,Negative (Promotes 0),NEG,person2_color=black,-,0.011293160921264374
person1_color=white & person3_color=white,Interaction,0.19912470544700747,0.19669805752917174,0.20158101848116897,0.0024414804759986114,Interference (-),NEG,person1_color=white,person3_color=white,0.011180897187256802
person2_gender=male & person3_gender=female,Interaction,0.18180844045826866,0.17945059447479167,0.1840765309950683,0.0023129682601383122,Synergy (+),POS,person2_gender=male,person3_gender=female,0.01020858499690477
person2_gender=female & person3_gender=female,Interaction,0.17977248598070256,0.17746192355863505,0.1819002218931997,0.0022191491672823305,Synergy (+),POS,person2_gender=female,person3_gender=female,0.010094265693127269
person1_color=black & person2_color=white,Interaction,0.16589423220562555,0.16340214727111263,0.16804541417182006,0.002321633450353716,Synergy (+),POS,person1_color=black,person2_color=white,0.009314998608967841
person1_color=black & person2_color=black,Interaction,0.13999496540350903,0.13740155658731779,0.14259987000800817,0.0025991567103451907,Synergy (+),POS,person1_color=black,person2_color=black,0.007860748928147284
person2_profession=high & person3_profession=high,Interaction,0.137701638739598,0.13583423254931934,0.13953823289997994,0.0018520001753302984,Synergy (+),POS,person2_profession=high,person3_profession=high,0.007731978117973718
person2_profession=low & person3_profession=high,Interaction,0.1363286414709288,0.13408635715424172,0.13856719313283827,0.0022404179892982767,Synergy (+),POS,person2_profession=low,person3_profession=high,0.007654884011218289
person2_color=white & person3_color=black,Interaction,0.13307452402655554,0.13114815990452028,0.1349750009935534,0.0019134205445165559,Interference (-),NEG,person2_color=white,person3_color=black,0.007472164581707424
person1_color=white & person3_color=black,Interaction,0.13185662638670337,0.1301993425641973,0.13351513749942298,0.0016578974676128427,Interference (-),NEG,person1_color=white,person3_color=black,0.007403779354142511
person2_gender=female & person3_gender=male,Interaction,0.13110443884223394,0.12884595380341166,0.1333392819851742,0.00224666409088127,Interference (-),NEG,person2_gender=female,person3_gender=male,0.007361543853623536
person1_color=black & person3_color=black,Interaction,0.1308381353275867,0.12895576716898685,0.13268664066307095,0.0018654367470420513,Interference (-),NEG,person1_color=black,person3_color=black,0.007346590851125972
person1_color=black & person1_profession=low,Interaction,0.12855566797166756,0.1273156233003082,0.12986536287237826,0.0012748697860350267,Interference (-),NEG,person1_color=black,person1_profession=low,0.007218429793548949
person1_color=black & person1_profession=high,Interaction,0.12715147295807222,0.1250841338599218,0.12939219186813597,0.0021540290041070914,Interference (-),NEG,person1_color=black,person1_profession=high,0.007139583926369266
person2_profession=low & person3_profession=low,Interaction,0.11996635059987333,0.11834219350486025,0.12154334376224835,0.0016005751286940484,Synergy (+),POS,person2_profession=low,person3_profession=low,0.006736137683048838
quantity_level=1vs1 & person2_color=black,Interaction,0.11309945255436346,0.10810421138357754,0.1180337899711693,0.004964789293795881,Synergy (+),POS,quantity_level=1vs1,person2_color=black,0.0063505598067633996
person2_gender=female,Main Effect,0.10210596963840865,0.09898346049052477,0.10535997097814323,0.0031882552438092307,Positive (Promotes 1),POS,person2_gender=female,-,0.005733273257928472
person2_profession=low & person3_gender=male,Interaction,0.10114769872084205,0.09914554896313309,0.1032119051808584,0.0020331781088626585,Interference (-),NEG,person2_profession=low,person3_gender=male,0.005679466129461925
person1_gender=female & person2_gender=female,Interaction,0.09741275786535603,0.09563769387551786,0.09909069408090901,0.0017265001026955731,Interference (-),NEG,person1_gender=female,person2_gender=female,0.005469748356813228
quantity_level=1vs1,Main Effect,0.09738222502009672,0.09227778164913218,0.10256379674083782,0.005143007545852819,Positive (Promotes 1),POS,quantity_level=1vs1,-,0.005468033930655447
person1_gender=male & person2_gender=male,Interaction,0.09595896716809377,0.09433813772502861,0.09743641928891765,0.0015491407819445205,Interference (-),NEG,person1_gender=male,person2_gender=male,0.005388117680793444
quantity_level=1vs1 & person3_color=black,Interaction,0.09452281409851582,0.09030769075704882,0.09901284871006824,0.004352578976509709,Synergy (+),POS,quantity_level=1vs1,person3_color=black,0.005307477361551954
person2_profession=high & person3_gender=male,Interaction,0.09256109456521303,0.09082163702659997,0.09420197600264163,0.0016901694880208304,Interference (-),NEG,person2_profession=high,person3_gender=male,0.005197326366662326
person1_color=white & person2_color=black,Interaction,0.09237402684352425,0.09093492614016359,0.0937342802579384,0.0013996770588874038,Synergy (+),POS,person1_color=white,person2_color=black,0.005186822471836412
quantity_level=1vs5 & person3_gender=male,Interaction,0.09044754306630125,0.08721427910590515,0.09354385937758224,0.0031647901358385425,Interference (-),NEG,quantity_level=1vs5,person3_gender=male,0.005078649972609384
quantity_level=1vs2 & person2_profession=low,Interaction,0.08921357491104444,0.08597482566319037,0.09229956167308834,0.0031623680049489844,Synergy (+),POS,quantity_level=1vs2,person2_profession=low,0.0050093623819746445
person1_color=white & person1_profession=high,Interaction,0.08652796332261063,0.08544901971399438,0.08767090174810904,0.001110941017057332,Interference (-),NEG,person1_color=white,person1_profession=high,0.004858564684683512
person1_color=white & person2_color=white,Interaction,0.08643584468394715,0.08466067668186199,0.08811621021440652,0.0017277667662722665,Synergy (+),POS,person1_color=white,person2_color=white,0.004853392202315669
quantity_level=1vs10,Main Effect,0.0842716948653102,0.08063669390300017,0.08852079001501512,0.003942048056007473,Positive (Promotes 1),POS,quantity_level=1vs10,-,0.004731874701181489
person1_gender=female & person3_color=white,Interaction,0.0841727476797424,0.08238762376127985,0.08585386787645087,0.0017331220575855094,Interference (-),NEG,person1_gender=female,person3_color=white,0.0047263187943626
quantity_level=1vs1 & person3_color=white,Interaction,0.08277758520551554,0.07892581390378907,0.08725714840783405,0.004165667252022491,Synergy (+),POS,quantity_level=1vs1,person3_color=white,0.004647980106308643
person3_profession=high,Main Effect,0.08262671894513365,0.08005899504161078,0.08518252619300262,0.002561765575695922,Negative (Promotes 0),NEG,person3_profession=high,-,0.004639508931711955
quantity_level=1vs2,Main Effect,0.08031384780653318,0.0775579277120217,0.08322802682732351,0.002835049557650904,Negative (Promotes 0),NEG,quantity_level=1vs2,-,0.004509640694870055
quantity_level=1vs1 & person3_gender=male,Interaction,0.07978590501925165,0.0764354088051856,0.08299452520713838,0.00327955820097639,Interference (-),NEG,quantity_level=1vs1,person3_gender=male,0.004479996588117468
