Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person1_profession=high,Main Effect,1.5394891771906294,1.5309796188685736,1.5483450596296433,0.008682720380534859,Positive (Promotes 1),POS,person1_profession=high,-,0.038954801641571064
person3_gender=male,Main Effect,1.3934848929833035,1.3868077516735386,1.4005295744076962,0.006860911367078781,Positive (Promotes 1),POS,person3_gender=male,-,0.03526035025186072
person3_gender=female,Main Effect,1.3722788672189183,1.363664007733235,1.3806866127756603,0.008511302521212682,Negative (Promotes 0),NEG,person3_gender=female,-,0.034723758933456556
person1_gender=female,Main Effect,1.2925102421914465,1.2832396442231775,1.3013389747985968,0.009049665287709674,Positive (Promotes 1),POS,person1_gender=female,-,0.03270531605564654
person3_color=black,Main Effect,1.2513419609106042,1.2424168167916365,1.260292561585038,0.008937872396700741,Negative (Promotes 0),NEG,person3_color=black,-,0.03166360543177183
person2_color=black & person3_color=black,Interaction,1.106797831287747,1.0969685268600369,1.1171673612234219,0.010099417181692494,Interference (-),NEG,person2_color=black,person3_color=black,0.028006101383456775
person1_color=black & person3_color=black,Interaction,0.8097217417023953,0.8014848723697281,0.8180245258224492,0.008269826726360563,Interference (-),NEG,person1_color=black,person3_color=black,0.02048897147198226
person2_profession=high,Main Effect,0.7929575433454297,0.7845059521705013,0.8010194811550759,0.008256764492287294,Positive (Promotes 1),POS,person2_profession=high,-,0.020064774906425838
person2_gender=female & person3_gender=female,Interaction,0.7017225586906738,0.6936134722879556,0.7088721907874002,0.007629359249722301,Synergy (+),POS,person2_gender=female,person3_gender=female,0.017756190485921197
person1_profession=low,Main Effect,0.6492137835613189,0.6436306488079451,0.6551060324200517,0.005737691806053324,Negative (Promotes 0),NEG,person1_profession=low,-,0.016427523191657654
person3_color=white,Main Effect,0.646996085745099,0.6421505071534281,0.651957510048375,0.004903501447473424,Positive (Promotes 1),POS,person3_color=white,-,0.01637140718914737
person2_color=black,Main Effect,0.6152701661578591,0.6049357180222678,0.6246857727878026,0.00987502738276741,Negative (Promotes 0),NEG,person2_color=black,-,0.015568623432867456
person2_gender=female,Main Effect,0.5745285626734602,0.5650297088663847,0.5838962263199567,0.00943325872678602,Positive (Promotes 1),POS,person2_gender=female,-,0.01453770934408476
person1_color=black & person2_color=black,Interaction,0.5697877741604127,0.5609858236482667,0.5778757175235887,0.008444946937661013,Synergy (+),POS,person1_color=black,person2_color=black,0.014417749763409166
person1_gender=male,Main Effect,0.5601366557832017,0.5544048212845645,0.5663544905605165,0.00597483463797599,Negative (Promotes 0),NEG,person1_gender=male,-,0.01417354057533962
person2_color=black & person3_color=white,Interaction,0.5094134771067234,0.505167767984482,0.5135523001541513,0.004192266084834639,Interference (-),NEG,person2_color=black,person3_color=white,0.012890055512081193
person1_gender=female & person2_gender=female,Interaction,0.429129479278167,0.422982355031064,0.4352468784074639,0.0061322616881999414,Interference (-),NEG,person1_gender=female,person2_gender=female,0.01085857178569935
quantity_level=1vs2,Main Effect,0.41656163618917563,0.40433011819757664,0.42855551331904396,0.01211269756073366,Negative (Promotes 0),NEG,quantity_level=1vs2,-,0.010540558614936133
person2_profession=high & person3_profession=high,Interaction,0.4116588373900872,0.4059520613114076,0.4178186163359828,0.005933277512287588,Synergy (+),POS,person2_profession=high,person3_profession=high,0.010416499571497094
person1_gender=female & person3_gender=male,Interaction,0.34444552302463616,0.33852153626170606,0.3504876433419248,0.005983053540109362,Interference (-),NEG,person1_gender=female,person3_gender=male,0.008715752747439043
person2_color=white,Main Effect,0.3304631304381266,0.3254631196285491,0.33557530668277874,0.005056093527114808,Positive (Promotes 1),POS,person2_color=white,-,0.008361946213588621
person2_color=white & person3_color=black,Interaction,0.31038417664365225,0.307037222507023,0.3137795335959012,0.0033711555444391195,Interference (-),NEG,person2_color=white,person3_color=black,0.007853874007675891
person1_color=black & person1_profession=high,Interaction,0.2984500237090758,0.2938668414212032,0.3030527401056772,0.004592949342237002,Interference (-),NEG,person1_color=black,person1_profession=high,0.007551895554553559
